advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	11	1	1159989	455000	2370	604
Paweł Bejda	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	587380481330698	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	73	1	909793	216842	1580	193
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	73	1	420238	156685	2180	304
Patryk Marjan		1224502281011628	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	27	1	329684	85879	1270	162
Satronik - Pompy Ciepła		276627982527247	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	6	1	240708	96941	72	14
Witold Stępień	Witold Stępień	885512231530945	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	1	1	199999	100000	232	116
Marek Belka	Marek Marian Belka	254834855469973	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	22	1	168677	50999	592	23
Anita Sowińska	KW Wiosna Roberta Biedronia	2154797738169705	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	3	1	147095	29419	341	68
Tomasz Trela		286672948180163	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	8	1	80992	16000	184	0
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	50	1	75898	19920	279	51
Marcin Gołaszewski	Marcin Łukasz Gołaszewski 	1500359650261089	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	23	1	70977	12000	529	0
Beata Mateusiak-Pielucha - Poseł na Sejm RP	Komitet Wyborczy Prawo i Sprawiedliwość	169112936501251	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	17	1	66141	20569	465	23
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	14	1	55147	26462	81	19
Polska Fundacja im. Roberta Schumana		150617698324166	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	6	1	51515	10300	117	23
Magdalena Gałkiewicz - Partia Zieloni	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	2141505889506223	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	1	1	49999	10000	116	23
Joanna Kopcińska	KW Prawo i Sprawiedliowość	1324558754300684	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	2	1	49996	9999	127	20
Caritas Archidiecezji Łódzkiej		498095026875843	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	1	1	49993	9998	232	116
European Parliament		178362315106	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	63	1	46610	20715	82	20
Gazeta Wyborcza		63563473556	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	367	1	36353	11772	88	13
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	12	1	18422	9054	21	4
Punkt Informacji Europejskiej Europe Direct - Piotrków Trybunalski		461660897225323	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	4	1	16996	6000	92	0
Stowarzyszenie Nowoczesna Łódź	Adam Janusz Jarecki	280017966255552	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	2	1	14998	6000	46	0
Cezary Grabarczyk		1039768889387198	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	3	1	14997	3000	69	0
Tomasz Grabarczyk		1421290491475840	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	2	1	14560	5781	45	0
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	lodz_voivodeship	Łódź Voivodeship	PL	Poland	55	1	11317	4191	36	8
