advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	SK	Slovakia	83	1	9128271	4307314	48451	9943
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	SK	Slovakia	187	1	5094109	1744254	36335	5060
EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	SK	Slovakia	106	1	4762892	1625999	14893	1099
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	SK	Slovakia	262	1	4262284	1210562	30366	1399
European Commission		107898832590939	Facebook	SK	Slovakia	22	1	3429225	1451653	9150	2314
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	SK	Slovakia	61	1	3291088	1083385	27295	5966
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	SK	Slovakia	216	1	3052846	879322	26971	1399
Slovenská národná strana	Slovenská národná strana	121130481252381	Facebook	SK	Slovakia	68	1	2932897	1180991	16231	3199
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	SK	Slovakia	1140	1	2798116	482889	112824	0
Ivan ŠTEFANEC		324560137683033	Facebook	SK	Slovakia	40	1	2666818	1121952	12259	2399
Andrej Danko - predseda SNS	Slovenská národná strana	1495199624026639	Facebook	SK	Slovakia	56	1	2579943	1073999	16343	3799
Norbert Kurilla	Most-Híd (Híd-Most)	355021862017547	Facebook	SK	Slovakia	38	1	2491476	932275	11857	2299
NÁRODNÁ KOALÍCIA	NÁRODNÁ KOALÍCIA	145677979100505	Facebook	SK	Slovakia	123	1	2266876	817999	18276	1299
Zora Jaurová • Progresívne Slovensko		267456060571592	Facebook	SK	Slovakia	129	1	2190404	663387	18922	2090
Sme rodina		600235073447674	Facebook	SK	Slovakia	4	1	2049994	909999	2995	1199
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	SK	Slovakia	69	1	1902370	560887	7206	100
OBYČAJNÍ ĽUDIA a nezávislé osobnosti	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	150674111712306	Facebook	SK	Slovakia	26	1	1805677	660884	9172	2199
Martin Hojsík • Progresívne Slovensko	Hojsik Martin	147166706140048	Facebook	SK	Slovakia	59	1	1724747	514730	7433	400
Martin Beluský - kandidát na poslanca EP		2011031775831511	Facebook	SK	Slovakia	42	1	1580343	492681	9746	1398
Plamienok n.o.		174988447418	Facebook	SK	Slovakia	6	1	1549943	659977	2693	799
Nagy József		128401833854581	Facebook	SK	Slovakia	8	1	1519992	630000	2392	400
Milan Uhrík - poslanec NR SR	Kotleba - Ľudová strana Naše Slovensko	193258414360612	Facebook	SK	Slovakia	8	1	1504992	621000	8192	1900
Miroslav Žiak		396331590493376	Facebook	SK	Slovakia	98	1	1459886	339996	10101	99
Miroslav Beblavý SPOLU - občianska demokracia	SPOLU - občianska demokracia	312985238719495	Facebook	SK	Slovakia	53	1	1276947	365000	5646	100
ĽUBOŠ BLAHA	ĽUBOŠ BLAHA	2047997592105476	Facebook	SK	Slovakia	51	1	1223917	375993	5848	199
Michal Wiezik - SPOLU za zelenú Európu	SPOLU - občianska demokracia	2631817786833672	Facebook	SK	Slovakia	21	1	1137979	502000	5079	1300
Petra Krištúfková	Sme rodina	1061086993931165	Facebook	SK	Slovakia	20	1	1096964	381996	3903	489
Schwarzkopf Professional		150101695010185	Facebook	SK	Slovakia	5	1	1086266	519313	709	257
DOMA DOBRE	Pribocký Jozef	115166009100692	Facebook	SK	Slovakia	44	1	1062950	292999	6755	600
Kialo		729627343834501	Facebook	SK	Slovakia	345	1	1013867	402239	6469	1524
Ľubomír Šesták - volím č.8	Sestak Lubomir	713479689049720	Facebook	SK	Slovakia	37	1	1004962	298999	3662	0
Boris Kollar	Sme rodina	1464024763918594	Facebook	SK	Slovakia	2	1	999997	399999	1997	999
SMER - SD	SMER - SD	102146246492040	Facebook	SK	Slovakia	20	1	889979	219999	2379	99
Maroš Šefčovič		245361515516655	Facebook	SK	Slovakia	23	1	856610	189326	3860	399
Michal Šipoš - kandidát do Európskeho parlamentu		156395481064391	Facebook	SK	Slovakia	12	1	819771	319949	4887	1199
Peter Pollák	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	307556876112136	Facebook	SK	Slovakia	14	1	801963	249995	3385	499
Európsky parlament – Kancelária na Slovensku		232491033085	Facebook	SK	Slovakia	27	1	790913	291973	3872	300
Lucia Nicholsonová verí v zdravý rozum	Richard Sulik	714437508635046	Facebook	SK	Slovakia	52	1	773936	164997	5082	0
Igor Melicher - Mladí Sociálni Demokrati	Robert Bestro	2687957954762822	Facebook	SK	Slovakia	27	1	760972	232999	4672	499
Dominik Hatiar • Mladí za lepšiu Európu		1795556150546258	Facebook	SK	Slovakia	69	1	741981	177898	7588	199
Richard Sulik	Richard Sulik	184760561603680	Facebook	SK	Slovakia	50	1	718927	169995	4949	0
Pavol Dubček		282565561906912	Facebook	SK	Slovakia	16	1	614983	227999	1584	0
