advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Nikolina Brnjac	HDZ - Hrvatska demokratska zajednica	287054392229717	Facebook	karlovac_county	Karlovac County	HR	Croatia	7	1	10089	5035	99	0
Gordan Maras		451079008266520	Facebook	karlovac_county	Karlovac County	HR	Croatia	3	1	4171	837	82	0
European Parliament		178362315106	Facebook	karlovac_county	Karlovac County	HR	Croatia	29	1	4165	1958	13	3
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	karlovac_county	Karlovac County	HR	Croatia	57	1	2832	1136	7	0
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	karlovac_county	Karlovac County	HR	Croatia	21	1	1394	529	3	0
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	karlovac_county	Karlovac County	HR	Croatia	21	1	1153	443	1	0
Ruža Tomašić		1434305366791182	Facebook	karlovac_county	Karlovac County	HR	Croatia	37	1	1045	252	2	0
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	karlovac_county	Karlovac County	HR	Croatia	38	1	953	339	2	0
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	karlovac_county	Karlovac County	HR	Croatia	15	1	898	374	7	0
pametno.org	pametno.org	144815235686385	Facebook	karlovac_county	Karlovac County	HR	Croatia	21	1	824	287	1	0
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	karlovac_county	Karlovac County	HR	Croatia	19	1	569	170	1	0
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	karlovac_county	Karlovac County	HR	Croatia	8	1	498	152	1	0
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	karlovac_county	Karlovac County	HR	Croatia	1	1	481	192	0	0
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	karlovac_county	Karlovac County	HR	Croatia	39	1	435	97	2	0
Electrolux Hrvatska		1229501663771543	Facebook	karlovac_county	Karlovac County	HR	Croatia	3	1	389	194	0	0
Valter Flego	Valter Flego	441675022557503	Facebook	karlovac_county	Karlovac County	HR	Croatia	7	1	382	155	0	0
European Greens	European Greens	141366725876424	Facebook	karlovac_county	Karlovac County	HR	Croatia	11	1	380	165	0	0
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	karlovac_county	Karlovac County	HR	Croatia	6	1	357	127	0	0
Eclectica		1379977375431894	Facebook	karlovac_county	Karlovac County	HR	Croatia	1	1	357	178	1	0
Zoran Bahtijarević		2195720960680577	Facebook	karlovac_county	Karlovac County	HR	Croatia	4	1	336	157	0	0
Ranko Ostojić		414575348695604	Facebook	karlovac_county	Karlovac County	HR	Croatia	12	1	247	78	1	0
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	karlovac_county	Karlovac County	HR	Croatia	16	1	236	51	0	0
Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	karlovac_county	Karlovac County	HR	Croatia	10	1	178	68	0	0
Marijana Balić	HDZ - Hrvatska demokratska zajednica	1274752085892321	Facebook	karlovac_county	Karlovac County	HR	Croatia	6	1	166	36	0	0
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	karlovac_county	Karlovac County	HR	Croatia	3	1	148	53	0	0
