advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	f55_64	female (55-64)	IT	Italy	355	1	4014669	1644217	17718	3443
Partito Democratico		77034286895	Facebook	f55_64	female (55-64)	IT	Italy	137	1	2390901	1054024	9541	2340
Save the Children Italia		46590675335	Facebook	f55_64	female (55-64)	IT	Italy	45	1	2275464	1045797	11388	2797
WeWorld Onlus		299584710061488	Facebook	f55_64	female (55-64)	IT	Italy	315	1	2069133	828280	9700	1304
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	f55_64	female (55-64)	IT	Italy	27	1	1615393	748908	5760	1363
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	f55_64	female (55-64)	IT	Italy	73	1	749831	304287	2603	500
European Parliament		178362315106	Facebook	f55_64	female (55-64)	IT	Italy	55	1	741326	328511	2487	632
Stefano Maullu		150618724962388	Facebook	f55_64	female (55-64)	IT	Italy	33	1	583782	238455	1556	339
Oxfam Italia		150200761667597	Facebook	f55_64	female (55-64)	IT	Italy	209	1	438762	118866	5582	439
Matteo Gazzini	Matteo Gazzini	204493693449796	Facebook	f55_64	female (55-64)	IT	Italy	84	1	434781	139279	2668	344
Roberto Rosso		1735684256653359	Facebook	f55_64	female (55-64)	IT	Italy	45	1	398166	168684	2230	528
Medici Senza Frontiere		65737832194	Facebook	f55_64	female (55-64)	IT	Italy	25	1	374864	154397	1496	504
CIWF Italia		576664002355828	Facebook	f55_64	female (55-64)	IT	Italy	25	1	364340	153794	2824	656
Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	f55_64	female (55-64)	IT	Italy	30	1	356837	147344	1590	428
Aboca		295129913955200	Facebook	f55_64	female (55-64)	IT	Italy	56	1	327086	93817	732	0
Adesso Basta		1062452300584762	Facebook	f55_64	female (55-64)	IT	Italy	2	1	326125	163062	1630	326
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	f55_64	female (55-64)	IT	Italy	38	1	324632	128191	845	164
Lara Comi	Lara Comi	155619044465389	Facebook	f55_64	female (55-64)	IT	Italy	89	1	312069	94773	972	209
Nicola Danti		241424056063716	Facebook	f55_64	female (55-64)	IT	Italy	56	1	292012	90232	1608	267
Massimiliano Smeriglio	Massimiliano Smeriglio	182266801912488	Facebook	f55_64	female (55-64)	IT	Italy	60	1	291271	94450	1307	119
Enel Energia		1589410777971706	Facebook	f55_64	female (55-64)	IT	Italy	5	1	283968	129242	2684	534
Amref Health Africa - Italia		48677844864	Facebook	f55_64	female (55-64)	IT	Italy	71	1	281857	112395	1310	131
Michela Giuffrida		656848937718109	Facebook	f55_64	female (55-64)	IT	Italy	35	1	269680	88763	1026	101
Riparte il futuro		476098022442147	Facebook	f55_64	female (55-64)	IT	Italy	39	1	259056	107149	684	97
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	f55_64	female (55-64)	IT	Italy	67	1	252274	102876	1356	331
