advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Roberts Zīle		508959865842254	Facebook	m55_64	male (55-64)	LV	Latvia	19	1	80138	29458	238	31
Valdis Dombrovskis	Valdis Dombrovskis	984665731564266	Facebook	m55_64	male (55-64)	LV	Latvia	115	1	62301	14440	424	0
Inese Ikstena Eiropas Parlamenta deputāta kandidāte		2214339072152669	Facebook	m55_64	male (55-64)	LV	Latvia	19	1	53845	13921	242	23
Aleksejs Loskutovs		541229793055345	Facebook	m55_64	male (55-64)	LV	Latvia	25	1	44926	10018	202	7
Jaunā konservatīvā partija	Jaunā konservatīvā partija	595950207185585	Facebook	m55_64	male (55-64)	LV	Latvia	4	1	38275	12037	87	7
Mamikins.lv	Andrejs Mamikins	587293021433280	Facebook	m55_64	male (55-64)	LV	Latvia	8	1	36438	11535	114	14
Jaunā Vienotība	Partiju apvienība “Jaunā Vienotība”	164326166970895	Facebook	m55_64	male (55-64)	LV	Latvia	27	1	33210	10458	161	13
Ijabs Ivars		345347539390006	Facebook	m55_64	male (55-64)	LV	Latvia	8	1	29915	12390	96	15
Русский союз Латвии	Latvijas Krievu savienība	545693602214498	Facebook	m55_64	male (55-64)	LV	Latvia	4	1	26883	11250	106	19
Attīstībai / Par	partiju apvienība "Attīstībai/Par!"	634097313600056	Facebook	m55_64	male (55-64)	LV	Latvia	7	1	23267	10522	76	13
PROGRESĪVIE		184096511636333	Facebook	m55_64	male (55-64)	LV	Latvia	8	1	22898	10151	37	3
Andis Kudors	Jaunā konservatīvā partija	378991322688846	Facebook	m55_64	male (55-64)	LV	Latvia	4	1	17312	3462	172	34
Dmitrijs Golubevs	Dmitrijs Golubevs	603479506715383	Facebook	m55_64	male (55-64)	LV	Latvia	5	1	14438	5281	80	11
Krišjānis Feldmans	Jaunā konservatīvā partija	731540813660862	Facebook	m55_64	male (55-64)	LV	Latvia	4	1	12986	2597	27	0
Jānis Grasbergs	Jānis Grasbergs	329580341010027	Facebook	m55_64	male (55-64)	LV	Latvia	5	1	11059	3751	27	0
PPA "Latviešu Nacionālisti"		335814573629639	Facebook	m55_64	male (55-64)	LV	Latvia	1	1	7371	1474	14	0
Ansis Pūpols	Ansis Pūpols	534110743707105	Facebook	m55_64	male (55-64)	LV	Latvia	6	1	7339	2989	31	4
Inese Vaidere	Vaidere Inese	779811265442970	Facebook	m55_64	male (55-64)	LV	Latvia	4	1	7107	1551	37	5
Agnese Villere Eiropas Parlamenta kandidāte	Jaunā konservatīvā partija	1086674038184163	Facebook	m55_64	male (55-64)	LV	Latvia	1	1	6639	1327	13	0
Rihards Kols	Rihards Kols	960297957323800	Facebook	m55_64	male (55-64)	LV	Latvia	5	1	6618	2106	37	0
Nacionālā apvienība		118130241644848	Facebook	m55_64	male (55-64)	LV	Latvia	1	1	6530	3265	32	6
Gatis Eglītis	Jaunā konservatīvā partija	203733280310341	Facebook	m55_64	male (55-64)	LV	Latvia	2	1	6022	1277	60	11
Armands Krauze		1404923176410685	Facebook	m55_64	male (55-64)	LV	Latvia	3	1	5825	1165	18	0
Latvijas Republikas Tieslietu ministrija		2132812093618251	Facebook	m55_64	male (55-64)	LV	Latvia	1	1	5092	1018	10	0
Sandra Kalniete		363128980541199	Facebook	m55_64	male (55-64)	LV	Latvia	2	1	4889	977	10	0
