week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	NL	Netherlands	763	144	1843740	769306	13426	2524
w019	Week 19	2019-05-06	2019-05-12	NL	Netherlands	1195	231	18625268	7928087	141464	29362
w018	Week 18	2019-04-29	2019-05-05	NL	Netherlands	1233	280	11355915	4635399	94267	20461
w017	Week 17	2019-04-22	2019-04-28	NL	Netherlands	1166	277	5096406	2026185	37870	8017
w016	Week 16	2019-04-15	2019-04-21	NL	Netherlands	1384	328	12845643	4981034	102661	19306
w015	Week 15	2019-04-08	2019-04-14	NL	Netherlands	1650	512	11030742	4523299	86957	15542
w014	Week 14	2019-04-01	2019-04-07	NL	Netherlands	1344	457	8827091	3300656	77068	13733
w013	Week 13	2019-03-25	2019-03-31	NL	Netherlands	1032	368	6466571	2370931	69785	13402
w012	Week 12	2019-03-18	2019-03-24	NL	Netherlands	1024	354	7059981	2511258	73294	12730
w011	Week 11	2019-03-11	2019-03-17	NL	Netherlands	766	284	6908812	2642872	58567	10271
w010	Week 10	2019-03-04	2019-03-10	NL	Netherlands	816	228	7413370	2924332	50258	8338
w009	Week 9	2019-02-25	2019-03-03	NL	Netherlands	330	125	3074205	1138598	30271	5486
w008	Week 8	2019-02-18	2019-02-24	NL	Netherlands	226	84	1537604	648837	10012	1827
w007	Week 7	2019-02-11	2019-02-17	NL	Netherlands	158	68	714683	257222	5311	825
w006	Week 6	2019-02-04	2019-02-10	NL	Netherlands	150	62	1561627	591530	11057	2463
w005	Week 5	2019-01-28	2019-02-03	NL	Netherlands	154	46	2705641	1072845	18255	4848
w004	Week 4	2019-01-21	2019-01-27	NL	Netherlands	111	36	475211	171068	3799	493
w003	Week 3	2019-01-14	2019-01-20	NL	Netherlands	114	38	196756	62917	1803	251
w002	Week 2	2019-01-07	2019-01-13	NL	Netherlands	88	35	372374	98353	3895	369
w001	Week 1	2019-01-01	2019-01-06	NL	Netherlands	78	29	750739	295425	3943	485
