week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	PL	Poland	793	207	5029156	1759518	12978	2564
w019	Week 19	2019-05-06	2019-05-12	PL	Poland	2045	296	33350409	11407498	86938	16592
w018	Week 18	2019-04-29	2019-05-05	PL	Poland	1599	306	25773300	10105596	59862	12362
w017	Week 17	2019-04-22	2019-04-28	PL	Poland	1299	301	9201796	3319917	32711	6052
w016	Week 16	2019-04-15	2019-04-21	PL	Poland	1235	382	7471443	2639104	24415	4246
w015	Week 15	2019-04-08	2019-04-14	PL	Poland	1468	558	14929088	5573457	35655	6298
w014	Week 14	2019-04-01	2019-04-07	PL	Poland	1148	472	10355663	3840490	25781	4499
w013	Week 13	2019-03-25	2019-03-31	PL	Poland	901	396	10559899	4011081	28144	5565
w012	Week 12	2019-03-18	2019-03-24	PL	Poland	848	380	8790223	3134811	21496	3349
w011	Week 11	2019-03-11	2019-03-17	PL	Poland	661	308	6306392	2082918	16882	2552
w010	Week 10	2019-03-04	2019-03-10	PL	Poland	522	245	5877895	2252106	13490	2093
w009	Week 9	2019-02-25	2019-03-03	PL	Poland	240	137	942197	306034	3475	457
w008	Week 8	2019-02-18	2019-02-24	PL	Poland	161	74	932573	313981	2617	474
w007	Week 7	2019-02-11	2019-02-17	PL	Poland	138	64	1276429	462606	3174	764
w006	Week 6	2019-02-04	2019-02-10	PL	Poland	107	59	1589268	661093	4608	1290
w005	Week 5	2019-01-28	2019-02-03	PL	Poland	106	45	273436	86198	723	107
w004	Week 4	2019-01-21	2019-01-27	PL	Poland	86	41	833423	356104	1376	226
w003	Week 3	2019-01-14	2019-01-20	PL	Poland	87	37	933699	436529	2485	515
w002	Week 2	2019-01-07	2019-01-13	PL	Poland	66	34	183080	61739	514	105
w001	Week 1	2019-01-01	2019-01-06	PL	Poland	54	25	242705	68517	602	137
