recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-13	2019-05-13	PT	Portugal	130	53	312557	141399	632	145
rd2	Last 2 days	2019-05-12	2019-05-13	PT	Portugal	137	56	661071	298035	1332	301
rd3	Last 3 days	2019-05-11	2019-05-13	PT	Portugal	169	61	1078180	480082	2335	556
rd4	Last 4 days	2019-05-10	2019-05-13	PT	Portugal	179	68	1528625	663745	3518	802
rd5	Last 5 days	2019-05-09	2019-05-13	PT	Portugal	200	72	2920394	1305996	5416	1014
rd6	Last 6 days	2019-05-08	2019-05-13	PT	Portugal	207	75	3233147	1448838	6113	1129
rw1	Last week	2019-05-07	2019-05-13	PT	Portugal	215	79	4232833	1888769	8398	1571
rw2	Last 2 weeks	2019-04-30	2019-05-13	PT	Portugal	410	138	8297622	3737491	18965	4302
rw3	Last 3 weeks	2019-04-23	2019-05-13	PT	Portugal	934	209	12973139	5801060	38424	8100
rw4	Last 4 weeks	2019-04-16	2019-05-13	PT	Portugal	1489	294	16302565	7168006	46851	9202
rm1	Last month	2019-04-14	2019-05-13	PT	Portugal	1697	341	18308622	7975380	52581	10020
rm2	Last 2 months	2019-03-15	2019-05-13	PT	Portugal	3190	860	37838546	15430056	118325	18652
rm3	Last 3 months	2019-02-13	2019-05-13	PT	Portugal	3663	1015	46314191	18730193	146398	22630
rm6	Last 6 months	2019-01-01	2019-05-13	PT	Portugal	3876	1059	48446398	19514399	153528	23498
