advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	female	RO	Romania	91	1	15369987	6918867	33073	9816
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f	female	RO	Romania	180	1	14891796	6791690	39837	8934
România în primul rând	Future Innovation	770704223323599	Facebook	f	female	RO	Romania	94	1	14679673	6502014	17023	3985
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	f	female	RO	Romania	133	1	10903455	4646877	17409	4583
Romania #nuepsd	Future Innovation	293215748279337	Facebook	f	female	RO	Romania	34	1	6452829	2975920	4152	1745
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	f	female	RO	Romania	82	1	4666532	2067266	17623	4163
European Parliament		178362315106	Facebook	f	female	RO	Romania	90	1	4333746	1981103	20486	3713
RMDSZ	RMDSZ	102601499822802	Facebook	f	female	RO	Romania	208	1	4230930	1238835	5769	1013
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	f	female	RO	Romania	37	1	3160779	1446961	4335	1256
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	f	female	RO	Romania	39	1	2229270	1072182	8040	2104
European Commission		107898832590939	Facebook	f	female	RO	Romania	13	1	1975908	982317	5350	1380
Politice.net	politice.net	2546711162025064	Facebook	f	female	RO	Romania	12	1	1646147	790415	1601	333
Litere.net	litere.net	1504323906337545	Facebook	f	female	RO	Romania	13	1	1542015	733556	1590	353
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f	female	RO	Romania	45	1	1404558	657840	3093	830
Winkler Gyula		1560147330888040	Facebook	f	female	RO	Romania	22	1	1367371	598440	1727	440
Tikaboo Romania		617570241716349	Facebook	f	female	RO	Romania	10	1	1109904	489299	4970	989
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	f	female	RO	Romania	13	1	1083971	471383	1207	239
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	f	female	RO	Romania	30	1	1078398	436756	1725	327
Declic	Declic	686190454826244	Facebook	f	female	RO	Romania	15	1	1068421	498296	2240	565
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	f	female	RO	Romania	22	1	990223	415703	4670	1109
Departamentul Fonduri Europene al PSD	Partidul Social Democrat	1030472763816931	Facebook	f	female	RO	Romania	8	1	896673	399354	329	62
George Simion		2212856535602171	Facebook	f	female	RO	Romania	26	1	863491	338237	1808	456
Silvia Dinică		1128229287275038	Facebook	f	female	RO	Romania	21	1	808150	323259	1441	325
USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	f	female	RO	Romania	27	1	725239	256215	2168	445
Calin Popescu Tariceanu		227922987222524	Facebook	f	female	RO	Romania	12	1	677012	282615	1345	369
