advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	d127	2019-05-07	BE	Belgium	81	1	1490838	624775	4099	1066
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	d127	2019-05-07	BE	Belgium	11	1	939788	396023	8219	1738
sp.a	sp.a	57253967150	Facebook	d127	2019-05-07	BE	Belgium	122	1	724181	252152	3542	615
Facebook Brussels	Facebook	287739491272583	Facebook	d127	2019-05-07	BE	Belgium	16	1	645558	283797	5478	1381
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	d127	2019-05-07	BE	Belgium	92	1	617513	293641	2956	539
VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	d127	2019-05-07	BE	Belgium	43	1	381277	151734	5564	1374
Vlaams Belang	Vlaams Belang	56605856504	Facebook	d127	2019-05-07	BE	Belgium	4	1	346077	143039	3312	812
Open Vld	Open Vld	53668151866	Facebook	d127	2019-05-07	BE	Belgium	137	1	336641	137893	2753	390
Groen	Groen	84920854319	Facebook	d127	2019-05-07	BE	Belgium	89	1	309575	104037	1515	143
Peter Mertens	PVDA	236485149843971	Facebook	d127	2019-05-07	BE	Belgium	465	1	238310	62416	3179	419
John Crombez	sp.a	264131406977201	Facebook	d127	2019-05-07	BE	Belgium	8	1	221792	107051	1057	198
Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	d127	2019-05-07	BE	Belgium	78	1	219431	83991	544	28
Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	d127	2019-05-07	BE	Belgium	40	1	179941	50497	909	187
DéFI	DéFI	173518112695794	Facebook	d127	2019-05-07	BE	Belgium	72	1	176154	54095	1429	187
IKEA	IKEA	112961202185776	Facebook	d127	2019-05-07	BE	Belgium	13	1	172220	72111	599	175
CD&V	CD&V	52997544531	Facebook	d127	2019-05-07	BE	Belgium	40	1	158993	43427	1392	247
Kim De Witte	PVDA	315662412174661	Facebook	d127	2019-05-07	BE	Belgium	6	1	128751	33225	1160	232
Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	d127	2019-05-07	BE	Belgium	7	1	126283	58345	1763	412
MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	d127	2019-05-07	BE	Belgium	38	1	103056	33006	750	132
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	d127	2019-05-07	BE	Belgium	4	1	101023	43540	898	240
UNICEF Belgium	UNICEF Belgium	60589646095	Facebook	d127	2019-05-07	BE	Belgium	13	1	89695	34348	506	87
CD&V Limburg	CD&V Limburg	495564387205601	Facebook	d127	2019-05-07	BE	Belgium	10	1	88498	22699	729	138
sp.a West-Vlaanderen	sp.a West-Vlaanderen	269157793205215	Facebook	d127	2019-05-07	BE	Belgium	5	1	80474	35238	313	85
Brecht Warnez	Warnez Brecht Luc T	998887823550443	Facebook	d127	2019-05-07	BE	Belgium	47	1	69866	18672	434	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	d127	2019-05-07	BE	Belgium	2	1	66666	33333	332	66
