advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Blendle		181375052003138	Facebook	d059	2019-02-28	10	1	1224990	448000	12390	2400
Britain's Future	Britain's Future	1625300137516491	Facebook	d059	2019-02-28	356	1	1211520	369309	13027	3087
European Parliament		178362315106	Facebook	d059	2019-02-28	125	1	759319	303888	6319	1299
Partito Democratico		77034286895	Facebook	d059	2019-02-28	7	1	587497	282500	2922	625
Bespaarkiosk.nl		1659811130952704	Facebook	d059	2019-02-28	1	1	499999	200000	4999	1000
Rädda Barnen		72659261793	Facebook	d059	2019-02-28	8	1	360992	132000	3388	1259
Zimmylifestyle.com		235024056945953	Facebook	d059	2019-02-28	1	1	333333	166666	146	29
Fotografiska Stockholm		142320852554	Facebook	d059	2019-02-28	10	1	277726	121000	201	45
Toroczkai László		151665991681369	Facebook	d059	2019-02-28	3	1	217498	108500	335	160
Simulation Energétique		562488297524492	Facebook	d059	2019-02-28	5	1	209995	72000	1395	500
Winkler Gyula		1560147330888040	Facebook	d059	2019-02-28	1	1	199999	100000	209	105
Garçon Magazine		1064687353565185	Facebook	d059	2019-02-28	1	1	199999	100000	999	500
Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	d059	2019-02-28	7	1	139993	64000	693	0
38 Degrees	38 Degrees	200006375787	Facebook	d059	2019-02-28	32	1	130340	44476	654	95
Dr.German		1250163705065584	Facebook	d059	2019-02-28	1	1	124999	50000	111	22
ROHEM - Feuerungstechnik		155910041148920	Facebook	d059	2019-02-28	3	1	119997	60000	697	100
Milaap		315603771494	Facebook	d059	2019-02-28	5	1	110995	22000	210	83
The Labour Party	The Labour Party	25749647410	Facebook	d059	2019-02-28	7	1	106665	51333	654	270
We are the 52%	We are the 52%	466744973727718	Facebook	d059	2019-02-28	9	1	103392	36678	175	0
ACNUR Comite español		94118672764	Facebook	d059	2019-02-28	2	1	99998	20000	198	0
Greenpeace Magyarország		35634348348	Facebook	d059	2019-02-28	2	1	99998	20000	198	0
Paul Maynard MP	The Conservative Party	307082879098	Facebook	d059	2019-02-28	2	1	99998	20000	1154	231
Health Poverty Action	Health Poverty Action	208194134833	Facebook	d059	2019-02-28	16	1	92984	33000	1832	0
Mayor of London	the Greater London Authority	360322167647280	Facebook	d059	2019-02-28	1	1	83333	41666	482	96
EU Watch	EU Watch	136146920436020	Facebook	d059	2019-02-28	6	1	80137	31297	209	82
Salvatore Riccardi Hair Designer		638347189544941	Facebook	d059	2019-02-28	1	1	71428	28571	14	0
NUOC		474735916064137	Facebook	d059	2019-02-28	4	1	69996	17000	396	0
Primavera Sound	Influence Digital Ltd	156656398155	Facebook	d059	2019-02-28	64	1	65419	13714	1047	0
Agence Isolation Pour Tous		568528630290119	Facebook	d059	2019-02-28	9	1	61396	23493	607	129
European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	d059	2019-02-28	2	1	58187	28304	32	5
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	d059	2019-02-28	37	1	55920	12703	298	0
Röda Korset		111630258867610	Facebook	d059	2019-02-28	18	1	55077	12786	173	49
Vision du Monde		154763104543358	Facebook	d059	2019-02-28	2	1	54998	11000	198	0
Labour Future	Labour Future	112846662487263	Facebook	d059	2019-02-28	3	1	53610	20277	427	102
Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	d059	2019-02-28	2	1	50007	10000	499	100
Europees Parlement Nederland		270788920480	Facebook	d059	2019-02-28	2	1	49999	24999	333	166
Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	d059	2019-02-28	1	1	49999	25000	124	25
PNL Bistrița-Năsăud		709900909075368	Facebook	d059	2019-02-28	1	1	49999	10000	20	0
Winderen - Innovative Equestrian Solutions		287898658300371	Facebook	d059	2019-02-28	1	1	49999	10000	99	0
Budapest 10-es Választókerület		757956501234552	Facebook	d059	2019-02-28	1	1	49999	25000	77	15
Babeyes		1015654268572910	Facebook	d059	2019-02-28	1	1	49999	10000	99	0
Yonivers		497007406981330	Facebook	d059	2019-02-28	1	1	49999	10000	1249	249
Airinum		867962259958927	Facebook	d059	2019-02-28	1	1	49999	10000	46	9
Canto lirico ed organo per il tuo matrimonio religioso		549186505251303	Facebook	d059	2019-02-28	1	1	49999	10000	499	100
MyFoody		507054159420723	Facebook	d059	2019-02-28	1	1	49999	25000	24	0
Telia Finland		103645656349867	Facebook	d059	2019-02-28	1	1	49999	25000	124	25
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	d059	2019-02-28	132	1	46917	12170	308	75
Harald Vilimsky		547597092025909	Facebook	d059	2019-02-28	3	1	46666	17916	433	83
Medici Senza Frontiere		65737832194	Facebook	d059	2019-02-28	14	1	46214	19369	236	65
Best For Britain	Best for Britain	1863944713844924	Facebook	d059	2019-02-28	30	1	45475	20756	631	189
Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	d059	2019-02-28	6	1	44754	10551	175	0
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	d059	2019-02-28	5	1	44543	13409	207	0
Roberts Zīle		508959865842254	Facebook	d059	2019-02-28	4	1	42883	18317	100	14
Klang der Solidarität		385076005313967	Facebook	d059	2019-02-28	23	1	42076	18625	77	6
Advertising Week Europe		957474261104635	Facebook	d059	2019-02-28	10	1	40000	16382	474	104
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	d059	2019-02-28	1	1	38461	15384	384	76
National Education Union	National Education Union	241312696375349	Facebook	d059	2019-02-28	4	1	38007	18434	144	27
Cláudia Monteiro de Aguiar		231164670253617	Facebook	d059	2019-02-28	2	1	35832	17166	82	0
International Animal Rescue	International Animal Rescue 	8539814909	Facebook	d059	2019-02-28	3	1	35048	12524	144	31
Plaid Cymru	Plaid Cymru	26416930992	Facebook	d059	2019-02-28	3	1	34517	13793	223	43
Sosialidemokraatit SDP		108945982480217	Facebook	d059	2019-02-28	16	1	34419	9832	262	46
Anas Sarwar	Anas Sarwar	657070411062471	Facebook	d059	2019-02-28	2	1	33332	6666	76	0
Feudo Arancio		1430685883840905	Facebook	d059	2019-02-28	3	1	32894	16052	147	28
foodwatch France		194934737335658	Facebook	d059	2019-02-28	4	1	32499	12937	331	62
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d059	2019-02-28	4	1	32125	8562	285	63
Vereniging Eigen Huis		371735371563	Facebook	d059	2019-02-28	8	1	32072	12756	287	56
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	d059	2019-02-28	5	1	31544	10242	164	22
UDO VOIGT für Deutschland in Europa		598011190253742	Facebook	d059	2019-02-28	5	1	29774	10682	167	28
Colores Contra la Violencia		491948314339036	Facebook	d059	2019-02-28	4	1	29748	5833	115	0
Skuola.net		126578555602	Facebook	d059	2019-02-28	24	1	29425	6285	325	0
Manometal		165855190799208	Facebook	d059	2019-02-28	1	1	29411	14705	14	2
Cornwall for Europe	#ProjectHope	1066718423433441	Facebook	d059	2019-02-28	8	1	27536	5507	257	44
Der Kalif des Islam		255240542058292	Facebook	d059	2019-02-28	8	1	26466	5125	145	0
Marco Affronte		615832768499515	Facebook	d059	2019-02-28	4	1	25971	8194	81	10
Caspar the Hat	Emily Doherty	261773154498428	Facebook	d059	2019-02-28	10	1	25947	6250	255	0
350.org		12185972707	Facebook	d059	2019-02-28	5	1	25624	5125	144	22
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	d059	2019-02-28	1	1	24999	5000	334	66
HOPE not hate	HOPE not hate	91897231853	Facebook	d059	2019-02-28	1	1	24999	5000	288	57
School Cuts	National Education Union	871798409656672	Facebook	d059	2019-02-28	1	1	24999	5000	57	0
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	d059	2019-02-28	1	1	24999	5000	57	0
Maroš Šefčovič		245361515516655	Facebook	d059	2019-02-28	1	1	24999	5000	49	0
Melba Culp		902971599738051	Facebook	d059	2019-02-28	5	1	24999	5000	66	0
Fratelli d'Italia Senato		180329672596502	Facebook	d059	2019-02-28	2	1	24999	5000	49	0
Tretti		250791121791	Facebook	d059	2019-02-28	2	1	24999	9545	33	6
Fratelli d'Italia Camera		180275292801010	Facebook	d059	2019-02-28	2	1	24999	5000	49	0
Lord Iván Emiro Cañas-Gutiérrez	Lord Ivan Emiro Canas Gutierrez	269972046494377	Facebook	d059	2019-02-28	1	1	24999	5000	57	0
Vincenzo De Luca		53388213256	Facebook	d059	2019-02-28	1	1	24999	5000	49	0
BikeForPeace		195630593782513	Facebook	d059	2019-02-28	1	1	24999	12500	6	1
My Bingo		312812702771676	Facebook	d059	2019-02-28	7	1	22993	4000	693	0
INJOY Limeshain		142494922478911	Facebook	d059	2019-02-28	31	1	22638	5532	278	0
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	d059	2019-02-28	3	1	22421	4444	73	0
Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	d059	2019-02-28	1	1	22222	11111	11	0
SE Energi & Klima		169900309711559	Facebook	d059	2019-02-28	1	1	21739	8695	58	29
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	d059	2019-02-28	39	1	21155	8805	110	13
Walsall Labour	The Labour Party	1933361683443372	Facebook	d059	2019-02-28	5	1	21050	4204	188	34
