advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPD	SPD	47930567748	Facebook	hessen_DE	Hessen, Germany	8420	1	4466245	1240911	97740	4673
FDP	FDP	21289227249	Facebook	hessen_DE	Hessen, Germany	2210	1	2974863	914326	25270	1430
CDU	CDU	78502295414	Facebook	hessen_DE	Hessen, Germany	293	1	2826141	788604	27039	400
European Parliament		178362315106	Facebook	hessen_DE	Hessen, Germany	87	1	1495798	676903	11721	3545
Greenpeace Deutschland		22541752487	Facebook	hessen_DE	Hessen, Germany	502	1	1345982	480066	8266	1129
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	hessen_DE	Hessen, Germany	370	1	1165466	384309	8586	1355
DIE LINKE	DIE LINKE	47694585682	Facebook	hessen_DE	Hessen, Germany	142	1	948769	290666	3744	246
Kialo		729627343834501	Facebook	hessen_DE	Hessen, Germany	486	1	726292	241564	4486	966
INJOY Limeshain		142494922478911	Facebook	hessen_DE	Hessen, Germany	61	1	600939	149000	6439	100
Campact e.V.	Campact e.V.	82734241364	Facebook	hessen_DE	Hessen, Germany	35	1	587274	252301	3185	754
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	hessen_DE	Hessen, Germany	324	1	558463	162882	3441	242
INJOY Gießen		229145433784576	Facebook	hessen_DE	Hessen, Germany	30	1	528650	125924	5766	699
Katarina Barley	SPD	1522202731410785	Facebook	hessen_DE	Hessen, Germany	526	1	505968	134777	5600	214
Entega		198244400189055	Facebook	hessen_DE	Hessen, Germany	121	1	498247	144250	9766	1806
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	hessen_DE	Hessen, Germany	719	1	479927	114969	6566	161
European Greens		141366725876424	Facebook	hessen_DE	Hessen, Germany	49	1	445921	195150	3267	855
FDP Hessen	FDP Hessen	188188564583	Facebook	hessen_DE	Hessen, Germany	11	1	439198	129604	1081	0
Sportmedfitness		1341435309204628	Facebook	hessen_DE	Hessen, Germany	29	1	367971	90000	3671	200
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	hessen_DE	Hessen, Germany	703	1	348365	108158	10217	825
Covestro		150793518281117	Facebook	hessen_DE	Hessen, Germany	16	1	325165	143989	658	228
Klang der Solidarität		385076005313967	Facebook	hessen_DE	Hessen, Germany	83	1	318495	136015	702	91
Grüner Fisher Investments	Grüner Fisher Investments	138832469593845	Facebook	hessen_DE	Hessen, Germany	220	1	275658	78327	11233	2463
Privatinvestor Politik Spezial		414014872673187	Facebook	hessen_DE	Hessen, Germany	10	1	275324	115033	826	331
Bundesregierung		768905426534529	Facebook	hessen_DE	Hessen, Germany	5	1	269950	117249	2235	447
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	hessen_DE	Hessen, Germany	71	1	255393	92276	869	106
