advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	niedersachsen_DE	Niedersachsen, Germany	556	1	6969395	1705113	54194	901
SPD	SPD	47930567748	Facebook	niedersachsen_DE	Niedersachsen, Germany	8410	1	4962552	1426213	103980	5911
FDP	FDP	21289227249	Facebook	niedersachsen_DE	Niedersachsen, Germany	2195	1	3615282	1102875	29155	1729
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	niedersachsen_DE	Niedersachsen, Germany	438	1	2410465	722739	17052	2008
Greenpeace Deutschland		22541752487	Facebook	niedersachsen_DE	Niedersachsen, Germany	496	1	1348621	484062	7868	1148
European Parliament		178362315106	Facebook	niedersachsen_DE	Niedersachsen, Germany	90	1	1270504	577818	9825	2993
Kialo		729627343834501	Facebook	niedersachsen_DE	Niedersachsen, Germany	486	1	705272	229268	4277	894
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	niedersachsen_DE	Niedersachsen, Germany	326	1	626286	181335	4100	305
DIE LINKE	DIE LINKE	47694585682	Facebook	niedersachsen_DE	Niedersachsen, Germany	127	1	573067	212240	2168	279
Katarina Barley	SPD	1522202731410785	Facebook	niedersachsen_DE	Niedersachsen, Germany	523	1	562179	153316	5907	262
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	niedersachsen_DE	Niedersachsen, Germany	725	1	554822	130756	7643	186
Campact e.V.	Campact e.V.	82734241364	Facebook	niedersachsen_DE	Niedersachsen, Germany	35	1	448667	195884	2469	643
European Greens		141366725876424	Facebook	niedersachsen_DE	Niedersachsen, Germany	44	1	405072	189095	2751	767
Covestro		150793518281117	Facebook	niedersachsen_DE	Niedersachsen, Germany	15	1	334432	147652	686	233
Klang der Solidarität		385076005313967	Facebook	niedersachsen_DE	Niedersachsen, Germany	83	1	316843	136056	684	91
Avocadostore		312453876194	Facebook	niedersachsen_DE	Niedersachsen, Germany	12	1	287876	61512	1117	0
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	niedersachsen_DE	Niedersachsen, Germany	71	1	286357	103256	978	126
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	niedersachsen_DE	Niedersachsen, Germany	704	1	279167	90419	7078	675
IG Metall	IG Metall	249296718436	Facebook	niedersachsen_DE	Niedersachsen, Germany	21	1	258957	108027	995	285
Entega		198244400189055	Facebook	niedersachsen_DE	Niedersachsen, Germany	92	1	244567	81188	4282	962
Bundesregierung		768905426534529	Facebook	niedersachsen_DE	Niedersachsen, Germany	5	1	233276	100406	1977	395
Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	niedersachsen_DE	Niedersachsen, Germany	27	1	228676	98331	944	164
Danke, Freihandel.	VDMA	226651401514704	Facebook	niedersachsen_DE	Niedersachsen, Germany	251	1	215598	50011	2582	144
CDU CSU Europa	CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament	1790920000965539	Facebook	niedersachsen_DE	Niedersachsen, Germany	97	1	205264	70561	1536	176
Grüner Fisher Investments	Grüner Fisher Investments	138832469593845	Facebook	niedersachsen_DE	Niedersachsen, Germany	222	1	202251	58667	8242	1781
