recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-15	2019-05-15	DE	Germany	6262	650	13683490	4317498	156692	9192
rd2	Last 2 days	2019-05-14	2019-05-15	DE	Germany	6768	722	30145351	9425137	353703	20616
rd3	Last 3 days	2019-05-13	2019-05-15	DE	Germany	7886	769	46449516	14226932	584866	34020
rd4	Last 4 days	2019-05-12	2019-05-15	DE	Germany	8182	807	57335953	17730396	685365	44444
rd5	Last 5 days	2019-05-11	2019-05-15	DE	Germany	8533	852	67769587	21015097	785643	54084
rd6	Last 6 days	2019-05-10	2019-05-15	DE	Germany	8992	893	79859715	24785049	896721	64535
rw1	Last week	2019-05-09	2019-05-15	DE	Germany	13671	930	97970704	29856113	1144764	76000
rw2	Last 2 weeks	2019-05-02	2019-05-15	DE	Germany	19019	1159	196083114	57078123	2284685	152923
rw3	Last 3 weeks	2019-04-25	2019-05-15	DE	Germany	22240	1418	226293848	66062064	2675006	178290
rw4	Last 4 weeks	2019-04-18	2019-05-15	DE	Germany	24484	1724	250007386	73473558	2948070	198269
rm1	Last month	2019-04-16	2019-05-15	DE	Germany	25962	1853	261241125	76798764	3123514	210349
rm2	Last 2 months	2019-03-17	2019-05-15	DE	Germany	35495	3780	371142284	113355986	4367854	340897
rm3	Last 3 months	2019-02-15	2019-05-15	DE	Germany	37197	4054	399594571	123725292	4612515	377969
rm6	Last 6 months	2019-01-01	2019-05-15	DE	Germany	37773	4136	411728298	128278844	4696070	393141
