advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
sp.a	sp.a	57253967150	Facebook	f65_	female (65+)	BE	Belgium	199	1	1240076	401187	12213	2027
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	f65_	female (65+)	BE	Belgium	101	1	1019428	441054	8969	2160
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f65_	female (65+)	BE	Belgium	74	1	955322	434764	7714	1794
Open Vld	Open Vld	53668151866	Facebook	f65_	female (65+)	BE	Belgium	336	1	911957	343970	8262	1461
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	f65_	female (65+)	BE	Belgium	119	1	846072	363103	5645	1315
Peter Mertens	PVDA	236485149843971	Facebook	f65_	female (65+)	BE	Belgium	342	1	446859	134210	5568	615
DéFI	DéFI	173518112695794	Facebook	f65_	female (65+)	BE	Belgium	168	1	446202	110572	4475	606
European Parliament		178362315106	Facebook	f65_	female (65+)	BE	Belgium	95	1	413666	170600	2706	631
Sign for my Future	Sign for my Future	1345513882259768	Facebook	f65_	female (65+)	BE	Belgium	98	1	400871	173476	3120	769
John Crombez	sp.a	264131406977201	Facebook	f65_	female (65+)	BE	Belgium	84	1	388839	133730	2964	589
Groen	Groen	84920854319	Facebook	f65_	female (65+)	BE	Belgium	115	1	320046	113962	1712	226
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	f65_	female (65+)	BE	Belgium	14	1	313707	128842	2238	583
Mutualité chrétienne (MC)	Mutualité chrétienne (MC)	180233078762668	Facebook	f65_	female (65+)	BE	Belgium	45	1	301322	99375	1998	280
Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	f65_	female (65+)	BE	Belgium	95	1	286653	103662	2283	418
VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	f65_	female (65+)	BE	Belgium	81	1	279031	92675	3333	684
Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	f65_	female (65+)	BE	Belgium	76	1	271971	105300	4864	1110
Facebook Brussels	Facebook	287739491272583	Facebook	f65_	female (65+)	BE	Belgium	16	1	271046	118913	2318	606
CD&V	CD&V	52997544531	Facebook	f65_	female (65+)	BE	Belgium	64	1	238413	78406	1688	243
Greenpeace Belgium		73232790238	Facebook	f65_	female (65+)	BE	Belgium	86	1	183000	63029	1724	187
Gelijke kansen - Egalité des chances		1757055917947545	Facebook	f65_	female (65+)	BE	Belgium	41	1	176864	44524	1208	0
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	f65_	female (65+)	BE	Belgium	37	1	170840	79583	744	142
Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	f65_	female (65+)	BE	Belgium	13	1	160952	64413	825	208
Jan Jambon	Nieuw-Vlaamse Alliantie	60317812912	Facebook	f65_	female (65+)	BE	Belgium	5	1	115056	47689	1255	264
European Greens		141366725876424	Facebook	f65_	female (65+)	BE	Belgium	21	1	102703	43159	885	244
Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	f65_	female (65+)	BE	Belgium	87	1	89448	36441	214	11
