advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
sp.a	sp.a	57253967150	Facebook	10k_50k	10k - 50k	BE	Belgium	192	1	9599798	1919998	55407	9099
Peter Mertens	PVDA	236485149843971	Facebook	10k_50k	10k - 50k	BE	Belgium	84	1	4194625	838941	31077	5692
Groen	Groen	84920854319	Facebook	10k_50k	10k - 50k	BE	Belgium	79	1	3947380	789491	18612	2699
Open Vld	Open Vld	53668151866	Facebook	10k_50k	10k - 50k	BE	Belgium	73	1	3649274	729869	22023	3699
DéFI	DéFI	173518112695794	Facebook	10k_50k	10k - 50k	BE	Belgium	68	1	3399751	679963	26330	4899
VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	10k_50k	10k - 50k	BE	Belgium	52	1	2599879	519986	19846	4499
Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	10k_50k	10k - 50k	BE	Belgium	48	1	2398832	479776	12446	2199
John Crombez	sp.a	264131406977201	Facebook	10k_50k	10k - 50k	BE	Belgium	45	1	2249954	449999	21354	4499
European Parliament		178362315106	Facebook	10k_50k	10k - 50k	BE	Belgium	41	1	1850021	370011	11263	1899
Sign for my Future	Sign for my Future	1345513882259768	Facebook	10k_50k	10k - 50k	BE	Belgium	32	1	1599968	320000	13968	2700
CD&V	CD&V	52997544531	Facebook	10k_50k	10k - 50k	BE	Belgium	32	1	1599967	319999	9967	1699
IKEA	IKEA	112961202185776	Facebook	10k_50k	10k - 50k	BE	Belgium	30	1	1499970	300000	4570	400
Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	10k_50k	10k - 50k	BE	Belgium	29	1	1449970	289999	2870	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	10k_50k	10k - 50k	BE	Belgium	48	1	1414089	282823	3640	210
Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	10k_50k	10k - 50k	BE	Belgium	27	1	1349953	269996	14172	3699
MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	10k_50k	10k - 50k	BE	Belgium	27	1	1347861	269577	9457	1697
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	10k_50k	10k - 50k	BE	Belgium	26	1	1299974	260000	12374	3000
Kathleen Van Brempt	Kathleen Van Brempt	206193139504506	Facebook	10k_50k	10k - 50k	BE	Belgium	26	1	1299924	259990	4573	500
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	10k_50k	10k - 50k	BE	Belgium	26	1	1299901	259985	10573	1999
Gelijke kansen - Egalité des chances		1757055917947545	Facebook	10k_50k	10k - 50k	BE	Belgium	24	1	1199966	239998	2375	0
Maurits Vande Reyde	Vande Reyde Maurits Jozef	1797427180478228	Facebook	10k_50k	10k - 50k	BE	Belgium	20	1	999980	200000	4780	700
Mutualité chrétienne (MC)	Mutualité chrétienne (MC)	180233078762668	Facebook	10k_50k	10k - 50k	BE	Belgium	17	1	849983	170000	5283	900
CD&V Limburg	CD&V Limburg	495564387205601	Facebook	10k_50k	10k - 50k	BE	Belgium	17	1	849855	169974	6881	1299
Conner Rousseau	Conner Rousseau	942750852588816	Facebook	10k_50k	10k - 50k	BE	Belgium	16	1	799926	159988	6883	1599
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	10k_50k	10k - 50k	BE	Belgium	34	1	737313	147465	2377	229
