advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPD	SPD	47930567748	Facebook	m18_24	male (18-24)	DE	Germany	5070	1	8912176	2585593	198947	11865
CDU	CDU	78502295414	Facebook	m18_24	male (18-24)	DE	Germany	3170	1	5507808	1318441	48093	1157
FDP	FDP	21289227249	Facebook	m18_24	male (18-24)	DE	Germany	1716	1	5409635	1686321	47527	2541
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	m18_24	male (18-24)	DE	Germany	310	1	2831669	819757	15506	1167
Greenpeace Deutschland		22541752487	Facebook	m18_24	male (18-24)	DE	Germany	365	1	2338456	857467	11033	1584
Kialo		729627343834501	Facebook	m18_24	male (18-24)	DE	Germany	451	1	2186855	722400	13068	2685
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	m18_24	male (18-24)	DE	Germany	393	1	1532060	524167	12586	1856
DIE LINKE	DIE LINKE	47694585682	Facebook	m18_24	male (18-24)	DE	Germany	276	1	1368885	496892	5787	585
European Parliament		178362315106	Facebook	m18_24	male (18-24)	DE	Germany	90	1	1310649	554127	10144	2785
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	m18_24	male (18-24)	DE	Germany	704	1	1209624	314651	12573	309
Katarina Barley	SPD	1522202731410785	Facebook	m18_24	male (18-24)	DE	Germany	306	1	1032769	263110	13915	616
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	m18_24	male (18-24)	DE	Germany	707	1	974949	317110	21597	2449
Klang der Solidarität		385076005313967	Facebook	m18_24	male (18-24)	DE	Germany	85	1	790170	338905	1629	219
Hochschulinitiative Deutschland		883028475156898	Facebook	m18_24	male (18-24)	DE	Germany	59	1	788376	295737	3105	254
European Greens		141366725876424	Facebook	m18_24	male (18-24)	DE	Germany	62	1	739662	342459	5025	1355
Campact e.V.	Campact e.V.	82734241364	Facebook	m18_24	male (18-24)	DE	Germany	38	1	682244	297757	2732	907
IG Metall	IG Metall	249296718436	Facebook	m18_24	male (18-24)	DE	Germany	21	1	601734	253943	2251	637
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	m18_24	male (18-24)	DE	Germany	49	1	564274	212004	1770	225
Global Game Changers		241198933439420	Facebook	m18_24	male (18-24)	DE	Germany	5	1	528035	263813	1869	366
Ökologisch-Demokratische Partei (ÖDP)	Ökologisch-Demokratische Partei (ÖDP)	120655374567	Facebook	m18_24	male (18-24)	DE	Germany	34	1	447123	173270	1383	172
Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	m18_24	male (18-24)	DE	Germany	45	1	414691	163371	2205	383
Volt Deutschland	Volt Deutschland	134209407129787	Facebook	m18_24	male (18-24)	DE	Germany	526	1	357009	43848	20829	12
Bundesregierung		768905426534529	Facebook	m18_24	male (18-24)	DE	Germany	5	1	352489	153284	2909	582
ZDF heute	ZDF	112784955679	Facebook	m18_24	male (18-24)	DE	Germany	4	1	337659	144277	2748	528
FDP Bremen	FDP Bremen	152934608113175	Facebook	m18_24	male (18-24)	DE	Germany	192	1	333095	81535	5014	134
