advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Παναγιώτης Ε. Νίκας	Παναγιώτης Ε. Νίκας	627249040690694	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	58	1	818988	202910	4668	100
Adequate Consulting	Adequate	965450110143851	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	24	1	324914	75050	1879	0
Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	126	1	143120	52636	2655	0
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	118	1	142691	51372	1750	0
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	43	1	136778	29192	319	0
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	198	1	74586	18441	291	10
Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	36	1	60369	14595	121	4
Ανοιχτός Δήμος - Ενεργοί Πολίτες Καλαμάτας		1717719938515504	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	2	1	59998	15000	198	0
Βασιλική Λαζαράκου	Βασιλική Λαζαράκου 	443842809693601	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	8	1	53087	11232	111	2
Νίκη Τζαβέλα - Niki Tzavela Official	Φερονικη Τζαβελα	866035200090418	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	8	1	50368	10095	102	0
Σταύρος Θεοδωράκης		1151439938254145	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	2	1	50025	10013	99	0
Βασίλης Τζαμουράνης - Πρότυπος Δήμος	Panagiotis Cheilas	359674721310457	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	1	1	49999	10000	99	0
Βασίλειος Μπαλάφας	Μπαλαφας Βασιλειος	479750402130613	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	6	1	49154	10903	248	0
Γιώργος Δέδες		1473374086227997	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	2	1	48015	9603	95	0
Kyriakos Mitsotakis		34848567724	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	94	1	37042	15457	66	12
ΜέΡΑ25		333635613794935	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	5	1	33573	6735	67	0
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	51	1	27820	11412	44	6
European Parliament		178362315106	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	49	1	25027	11912	83	20
Πνοή Δημιουργίας		786003985088547	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	2	1	24528	4797	101	0
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	105	1	13697	4964	62	9
Βαρβάρα Αποστολοπούλου-Καλκαβούρα	Varvara Apostolopoulou Kalkavoura	429854220918807	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	14	1	11516	5508	105	0
INBOX	New Digital Media	369693523475596	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	54	1	11282	4921	12	1
Μπούχαλης Δημήτριος - Αντιδήμαρχος Οικονομικών Δήμου Καλαμάτας		389037997781388	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	1	1	9999	5000	99	0
Δημήτριος Μελάς	Σ. Παυλιδης	322928891749288	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	9	1	9182	1653	251	0
Μαζί Μπορούμε Ανεξάρτητη Παράταξη Δήμου Κορινθίων		390474504843302	Facebook	peloponnese_region	Peloponnese (region)	EL	Greece	1	1	9116	4558	90	0
