advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	45_54	45-54	IT	Italy	380	1	10234755	4140869	51006	9683
Partito Democratico		77034286895	Facebook	45_54	45-54	IT	Italy	187	1	5419036	2427896	20505	4919
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	45_54	45-54	IT	Italy	31	1	3924523	1808003	11512	2991
Save the Children Italia		46590675335	Facebook	45_54	45-54	IT	Italy	47	1	2605233	1159580	10942	2951
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	45_54	45-54	IT	Italy	78	1	2354303	957846	6016	1204
European Parliament		178362315106	Facebook	45_54	45-54	IT	Italy	94	1	2080349	794118	7720	1367
WeWorld Onlus		299584710061488	Facebook	45_54	45-54	IT	Italy	337	1	2035122	787810	11213	1638
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	45_54	45-54	IT	Italy	97	1	1408064	555667	7519	1770
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	45_54	45-54	IT	Italy	43	1	1229360	509091	2989	871
Roberto Rosso	Roberto Rosso	1735684256653359	Facebook	45_54	45-54	IT	Italy	47	1	1119925	485624	6126	1506
European Greens		141366725876424	Facebook	45_54	45-54	IT	Italy	27	1	1012618	470613	5383	1198
Medici Senza Frontiere		65737832194	Facebook	45_54	45-54	IT	Italy	25	1	959324	401688	3890	1293
Kialo		729627343834501	Facebook	45_54	45-54	IT	Italy	379	1	889179	353249	4692	1070
Matteo Gazzini	Matteo Gazzini	204493693449796	Facebook	45_54	45-54	IT	Italy	88	1	881655	266652	5356	770
Lara Comi	Lara Comi	155619044465389	Facebook	45_54	45-54	IT	Italy	89	1	784278	246211	2766	614
Stefano Maullu		150618724962388	Facebook	45_54	45-54	IT	Italy	35	1	780920	311804	2026	401
Petizioni.it		1410474395723679	Facebook	45_54	45-54	IT	Italy	32	1	667673	298525	4451	961
Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	45_54	45-54	IT	Italy	36	1	636330	280040	2609	639
Antonio Tajani	Antonio Tajani	506531149512596	Facebook	45_54	45-54	IT	Italy	59	1	600935	209893	2437	409
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	45_54	45-54	IT	Italy	21	1	539169	250552	477	79
Amref Health Africa - Italia		48677844864	Facebook	45_54	45-54	IT	Italy	103	1	528594	177492	2623	148
CIWF Italia		576664002355828	Facebook	45_54	45-54	IT	Italy	25	1	520671	218408	3943	918
Forza Italia		172265396249029	Facebook	45_54	45-54	IT	Italy	15	1	508828	193399	4592	881
Michela Giuffrida	Michela Giuffrida	656848937718109	Facebook	45_54	45-54	IT	Italy	49	1	493341	163285	1922	175
Massimiliano Smeriglio	Massimiliano Smeriglio	182266801912488	Facebook	45_54	45-54	IT	Italy	65	1	479736	158024	2028	193
