advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	rm2	Last 2 months	LU	Luxembourg	115	1	3349683	1095758	18575	1799
European Parliament		178362315106	Facebook	rm2	Last 2 months	LU	Luxembourg	98	1	3193274	1282115	15950	2407
déi gréng	déi gréng	21710789873	Facebook	rm2	Last 2 months	LU	Luxembourg	30	1	3170894	1339983	12469	3199
Greenpeace Luxembourg		67370457805	Facebook	rm2	Last 2 months	LU	Luxembourg	131	1	1975945	516429	14556	399
DP - Demokratesch Partei	DP - Demokratesch Partei	280875378609326	Facebook	rm2	Last 2 months	LU	Luxembourg	22	1	774874	229646	2568	99
déi Lénk	déi Lénk	120444648033670	Facebook	rm2	Last 2 months	LU	Luxembourg	17	1	548880	180954	2881	299
Piraten Lëtzebuerg		183148710560	Facebook	rm2	Last 2 months	LU	Luxembourg	38	1	494780	142921	3720	0
CSV	CSV	56016549775	Facebook	rm2	Last 2 months	LU	Luxembourg	32	1	356967	96999	3168	0
déi jonk gréng	Déi jonk gréng	197451906960613	Facebook	rm2	Last 2 months	LU	Luxembourg	24	1	278976	63000	2376	0
Charles Goerens		441313569220539	Facebook	rm2	Last 2 months	LU	Luxembourg	9	1	213433	48081	1271	99
European Greens		141366725876424	Facebook	rm2	Last 2 months	LU	Luxembourg	19	1	195377	70444	1465	378
Dan Kersch		231839814316073	Facebook	rm2	Last 2 months	LU	Luxembourg	7	1	149886	44946	691	0
Jonk Piraten		194441573983035	Facebook	rm2	Last 2 months	LU	Luxembourg	3	1	100906	19981	296	0
European Investment Bank		350888674962511	Facebook	rm2	Last 2 months	LU	Luxembourg	1	1	99999	50000	499	100
Kialo		729627343834501	Facebook	rm2	Last 2 months	LU	Luxembourg	246	1	71337	26842	421	91
Julia Elisabetta Pitterman		2235333396715580	Facebook	rm2	Last 2 months	LU	Luxembourg	7	1	67977	12996	692	0
Chris Bernard		764820513891336	Facebook	rm2	Last 2 months	LU	Luxembourg	13	1	52543	10111	1199	0
Unis pour les Droits Humains		1642871805813802	Facebook	rm2	Last 2 months	LU	Luxembourg	4	1	51188	25514	42	4
ADR  - Alternativ Demokratesch Reformpartei		115916035102253	Facebook	rm2	Last 2 months	LU	Luxembourg	2	1	50998	9999	198	0
déi Lénk Déifferdeng	Gary Diderich	134418416573300	Facebook	rm2	Last 2 months	LU	Luxembourg	1	1	49999	10000	99	0
Marc ANGEL		1404458223105541	Facebook	rm2	Last 2 months	LU	Luxembourg	1	1	49999	10000	99	0
Action Solidarité Tiers Monde - ASTM		161567570579610	Facebook	rm2	Last 2 months	LU	Luxembourg	1	1	49999	10000	99	0
JDL Jonk Demokraten		141096935941189	Facebook	rm2	Last 2 months	LU	Luxembourg	1	1	49998	10000	98	0
Déi Konservativ		235829416883581	Facebook	rm2	Last 2 months	LU	Luxembourg	1	1	49983	9996	498	99
Fondation IDEA asbl		439909732821172	Facebook	rm2	Last 2 months	LU	Luxembourg	1	1	49929	9986	98	0
