advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partit Nazzjonalista	Partit Nazzjonalista	159249234115841	Facebook	d122	2019-05-02	MT	Malta	6	1	212616	80809	1249	260
David Casa	David Casa	193035580892638	Facebook	d122	2019-05-02	MT	Malta	22	1	132223	30284	490	48
Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	d122	2019-05-02	MT	Malta	9	1	119996	27499	330	0
Alfred Sant	Alfred Sant	537789116260209	Facebook	d122	2019-05-02	MT	Malta	11	1	105323	39351	509	39
European Parliament		178362315106	Facebook	d122	2019-05-02	MT	Malta	9	1	88331	38666	348	50
David Stellini	David Stellini	1911257335785088	Facebook	d122	2019-05-02	MT	Malta	8	1	70866	33424	232	41
Adrian Delia	Partit Nazzjonalista	1442808799090985	Facebook	d122	2019-05-02	MT	Malta	2	1	43332	18666	52	0
Joe Sammut		433245190070343	Facebook	d122	2019-05-02	MT	Malta	15	1	41204	15982	143	32
FŻL - Forum Żgħażagħ Laburisti	FŻL - Forum Żgħażagħ Laburisti	40870184668	Facebook	d122	2019-05-02	MT	Malta	2	1	29166	5833	57	0
Miriam Dalli	Miriam Dalli	277980849002904	Facebook	d122	2019-05-02	MT	Malta	2	1	29166	5833	57	0
Alex Agius Saliba	Alex Agius Saliba	656955664383156	Facebook	d122	2019-05-02	MT	Malta	11	1	28568	10714	337	0
Francis Zammit Dimech	Francis Zammit Dimech	117406495021568	Facebook	d122	2019-05-02	MT	Malta	13	1	26614	6723	485	0
Roselyn Borg Knight	Roselyn Borg	446487702156732	Facebook	d122	2019-05-02	MT	Malta	7	1	25534	7357	132	0
Michael Briguglio	Michael Briguglio	1040577706078198	Facebook	d122	2019-05-02	MT	Malta	16	1	25210	5857	412	0
Friends of the Earth Malta	Friends of the Earth Malta	137236009675929	Facebook	d122	2019-05-02	MT	Malta	10	1	16666	4468	129	0
Ian Borg	Ian Borg	151496594943131	Facebook	d122	2019-05-02	MT	Malta	2	1	14999	6000	19	0
Luke Caruana	Alternattiva Demokratika - The Green Party	289569618166195	Facebook	d122	2019-05-02	MT	Malta	2	1	14499	3500	44	0
Roberta Metsola		406824526101449	Facebook	d122	2019-05-02	MT	Malta	4	1	12497	3999	197	0
Josef Caruana		166617437361908	Facebook	d122	2019-05-02	MT	Malta	3	1	11375	2505	46	4
Frank Psaila		458318884361628	Facebook	d122	2019-05-02	MT	Malta	8	1	10907	2454	125	0
Dr. Anthony Buttigieg	Buttigieg Anthony Emanuel	410157219370162	Facebook	d122	2019-05-02	MT	Malta	1	1	8333	1666	16	0
Live Communications for MEP Elections May 2019	Stephen Florian	962042630582450	Facebook	d122	2019-05-02	MT	Malta	4	1	6676	1974	30	0
Alternattiva Demokratika - The Green Party	Alternattiva Demokratika - The Green Party	309359272432391	Facebook	d122	2019-05-02	MT	Malta	1	1	5555	1111	11	0
Lorna Vassallo	Lorna Vassallo	690417757823946	Facebook	d122	2019-05-02	MT	Malta	2	1	3239	647	6	0
Josianne Cutajar		337620233111013	Facebook	d122	2019-05-02	MT	Malta	8	1	2471	561	24	0
VoteWatch Europe		355087424564148	Facebook	d122	2019-05-02	MT	Malta	5	1	839	397	1	0
Basmah		137973986840264	Facebook	d122	2019-05-02	MT	Malta	24	1	499	211	3	0
Mark Zerafa		2318313818387449	Facebook	d122	2019-05-02	MT	Malta	1	1	333	0	29	0
Newsbook.com.mt		350105925081605	Facebook	d122	2019-05-02	MT	Malta	2	1	297	124	7	0
I Love Crowdfunding Projects		112683756154005	Facebook	d122	2019-05-02	MT	Malta	5	1	290	72	2	0
Kialo		729627343834501	Facebook	d122	2019-05-02	MT	Malta	5	1	289	96	1	0
Institute for European Studies - University of Malta		341488652531574	Facebook	d122	2019-05-02	MT	Malta	1	1	238	47	4	0
Orbex		1415953441956155	Facebook	d122	2019-05-02	MT	Malta	2	1	203	40	3	0
SV4IE		2246467545588430	Facebook	d122	2019-05-02	MT	Malta	1	1	196	98	0	0
André Grech		692616824159461	Facebook	d122	2019-05-02	MT	Malta	1	1	166	0	16	0
Best Tech Crowdfunding Videos		615071652029076	Facebook	d122	2019-05-02	MT	Malta	21	1	132	0	11	0
Gaia		182073298490036	Facebook	d122	2019-05-02	MT	Malta	4	1	99	44	0	0
Malta - Japan Chamber of Commerce - MJCC		1570857409644871	Facebook	d122	2019-05-02	MT	Malta	1	1	83	0	8	0
Guardian Weekly		64525551258	Facebook	d122	2019-05-02	MT	Malta	4	1	67	13	0	0
Européens Sans Frontières		668031516635463	Facebook	d122	2019-05-02	MT	Malta	7	1	52	21	0	0
Get The Trolls Out		858018134275978	Facebook	d122	2019-05-02	MT	Malta	1	1	50	25	0	0
EIT InnoEnergy		344038838945608	Facebook	d122	2019-05-02	MT	Malta	6	1	34	12	0	0
Climate-KIC		403370709744295	Facebook	d122	2019-05-02	MT	Malta	1	1	33	16	0	0
ETUC		129041250601685	Facebook	d122	2019-05-02	MT	Malta	1	1	26	13	0	0
Master Chef Universal		279581679340572	Facebook	d122	2019-05-02	MT	Malta	1	1	24	4	0	0
Tuunes		992176580926495	Facebook	d122	2019-05-02	MT	Malta	6	1	24	7	0	0
Arte		656089814494677	Facebook	d122	2019-05-02	MT	Malta	3	1	21	3	0	0
Guitar Lovers		203855170399686	Facebook	d122	2019-05-02	MT	Malta	2	1	19	5	0	0
S&P Global		112495188784373	Facebook	d122	2019-05-02	MT	Malta	9	1	15	3	0	0
Talking Europe		316028505828375	Facebook	d122	2019-05-02	MT	Malta	1	1	14	2	0	0
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	d122	2019-05-02	MT	Malta	1	1	11	2	0	0
YOGA BURN		146316959083110	Facebook	d122	2019-05-02	MT	Malta	4	1	10	1	0	0
RSM MBA		110428762358678	Facebook	d122	2019-05-02	MT	Malta	3	1	9	4	0	0
FT Content Solutions		1220981994590364	Facebook	d122	2019-05-02	MT	Malta	2	1	7	1	0	0
Soviet Visuals		1160495674016675	Facebook	d122	2019-05-02	MT	Malta	3	1	6	1	0	0
EURACTIV		15299247059	Facebook	d122	2019-05-02	MT	Malta	1	1	5	1	0	0
Chug Bottles		1781974005205686	Facebook	d122	2019-05-02	MT	Malta	1	1	5	2	0	0
OZY World		365203643975275	Facebook	d122	2019-05-02	MT	Malta	1	1	3	0	0	0
Routledge Politics, IR and Strategic Studies		59321208735	Facebook	d122	2019-05-02	MT	Malta	1	1	2	0	0	0
