advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	d131	2019-05-11	PL	Poland	3	1	1336060	666533	1570	309
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	d131	2019-05-11	PL	Poland	52	1	642129	294815	2329	744
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	d131	2019-05-11	PL	Poland	39	1	292704	100346	603	159
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	d131	2019-05-11	PL	Poland	4	1	226563	85792	526	104
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	d131	2019-05-11	PL	Poland	38	1	223477	72952	976	229
European Greens		141366725876424	Facebook	d131	2019-05-11	PL	Poland	6	1	220552	103113	882	222
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	d131	2019-05-11	PL	Poland	6	1	216872	85417	504	95
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	d131	2019-05-11	PL	Poland	19	1	204282	52857	322	59
Dariusz Rosati	CommSense	238903929634988	Facebook	d131	2019-05-11	PL	Poland	19	1	161836	34295	301	52
Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	d131	2019-05-11	PL	Poland	21	1	133162	51860	453	106
Paweł Kobyliński - Poseł na Sejm RP, Kandydat do Parlamentu Europejskiego	Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu	1576591379231457	Facebook	d131	2019-05-11	PL	Poland	15	1	131981	46707	276	58
Na zdrowie		1120686571468330	Facebook	d131	2019-05-11	PL	Poland	2	1	119820	49925	69	27
Paweł Bejda	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	587380481330698	Facebook	d131	2019-05-11	PL	Poland	32	1	107097	23377	213	23
Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	d131	2019-05-11	PL	Poland	9	1	91819	34964	192	35
Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	d131	2019-05-11	PL	Poland	4	1	88035	34767	169	32
Marcin Walasek	Marcin Walasek	411040156345710	Facebook	d131	2019-05-11	PL	Poland	6	1	80994	22000	138	0
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	d131	2019-05-11	PL	Poland	12	1	75564	32378	109	29
Jarosław Duda	KKW Koalicja Europejska PO PSL SLD .N ZIELONI	100666510056063	Facebook	d131	2019-05-11	PL	Poland	7	1	66660	13332	154	31
Jarosław Wałęsa	KKW Koalicja Europejska PO PSL SLD N Zieloni	433052760111334	Facebook	d131	2019-05-11	PL	Poland	15	1	64223	14920	131	19
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	d131	2019-05-11	PL	Poland	6	1	62359	28805	90	15
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	d131	2019-05-11	PL	Poland	13	1	61198	22887	151	30
Hubert Czerniak - Włączamy myślenie	Komitet Wyborczy Wyborców Konfederacja Korwin Braun Liroy Narodowcy	798940726870349	Facebook	d131	2019-05-11	PL	Poland	2	1	59999	27000	52	10
Janusz Lewandowski	KKW Koalicja Europejska PO PSL SLD N Zieloni	75571183641	Facebook	d131	2019-05-11	PL	Poland	10	1	59757	15676	136	33
Krzysztof Brejza	KKW Koalicja Europejska PO PSL SLD .N Zieloni	120766181437537	Facebook	d131	2019-05-11	PL	Poland	8	1	56527	24067	83	21
Poseł Jakub Rutnicki	Poseł Jakub Rutnicki	222141244609992	Facebook	d131	2019-05-11	PL	Poland	10	1	54068	17448	128	37
