advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Rädda Barnen		72659261793	Facebook	50_100	50 - 100	SE	Sweden	232	1	3854311	1070053	30522	6310
Plan International Sverige		382243262003	Facebook	50_100	50 - 100	SE	Sweden	148	1	2516630	672140	19569	4044
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	50_100	50 - 100	SE	Sweden	97	1	1444092	327377	16003	3248
Centerpartiet	Centerpartiet	12690894340	Facebook	50_100	50 - 100	SE	Sweden	110	1	1356769	357421	12542	2629
Fotografiska Stockholm		142320852554	Facebook	50_100	50 - 100	SE	Sweden	6	1	1145265	505953	838	172
Moderaterna	Moderaterna	7719591155	Facebook	50_100	50 - 100	SE	Sweden	69	1	1022660	225813	10042	2058
Jörgen Warborn EU-kandidat		56002955332	Facebook	50_100	50 - 100	SE	Sweden	63	1	766676	167822	8411	1736
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	50_100	50 - 100	SE	Sweden	50	1	725585	217770	5336	1126
Liberalerna	Liberalerna	132266740623	Facebook	50_100	50 - 100	SE	Sweden	37	1	714464	266859	4640	960
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	50_100	50 - 100	SE	Sweden	57	1	609494	135561	6583	1378
Sverige för UNHCR		643137272398136	Facebook	50_100	50 - 100	SE	Sweden	32	1	538162	161742	3814	795
Saco	Saco	133910158381	Facebook	50_100	50 - 100	SE	Sweden	35	1	504730	101202	4233	882
Ebba Busch Thor		661702230515862	Facebook	50_100	50 - 100	SE	Sweden	28	1	454530	105007	3782	780
Sverigedemokraterna Värmlands län		336384546384299	Facebook	50_100	50 - 100	SE	Sweden	29	1	451546	93996	4384	895
Kristdemokraterna Stockholm	Kristdemokraterna Stockholm	176875999028086	Facebook	50_100	50 - 100	SE	Sweden	42	1	400761	99017	3892	835
Röda Korset		111630258867610	Facebook	50_100	50 - 100	SE	Sweden	35	1	368660	74751	2847	621
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	50_100	50 - 100	SE	Sweden	13	1	368346	140350	2081	423
Said till Europaparlamentet	Liberalernas riksorganisation	1509050235995572	Facebook	50_100	50 - 100	SE	Sweden	24	1	340610	96579	2753	574
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	50_100	50 - 100	SE	Sweden	19	1	322619	78624	2722	558
Socialdemokraterna i Stockholm	Socialdemokraterna i Stockholm	117056501654820	Facebook	50_100	50 - 100	SE	Sweden	18	1	318158	65730	3110	629
Unionen		175656912484553	Facebook	50_100	50 - 100	SE	Sweden	14	1	313713	103515	2287	464
The Good Show		1923750267869320	Facebook	50_100	50 - 100	SE	Sweden	5	1	311147	155574	1028	205
Uppsala kommun	Uppsala kommun	104760926229060	Facebook	50_100	50 - 100	SE	Sweden	29	1	308274	63946	2602	560
Sara Skyttedal	Sara Skyttedal	249195615122371	Facebook	50_100	50 - 100	SE	Sweden	31	1	306154	64031	2618	568
EU-kommissionen i Sverige		155824787799	Facebook	50_100	50 - 100	SE	Sweden	7	1	266715	120018	1234	246
