advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	nitra_region	Nitra Region	SK	Slovakia	1131	1	511869	99312	16615	0
Nagy József	Nagy József	128401833854581	Facebook	nitra_region	Nitra Region	SK	Slovakia	10	1	149732	62899	249	41
European Parliament		178362315106	Facebook	nitra_region	Nitra Region	SK	Slovakia	62	1	125244	59489	660	135
NÁRODNÁ KOALÍCIA	NÁRODNÁ KOALÍCIA	145677979100505	Facebook	nitra_region	Nitra Region	SK	Slovakia	27	1	113144	32922	902	42
EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	nitra_region	Nitra Region	SK	Slovakia	131	1	87220	29348	267	17
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	nitra_region	Nitra Region	SK	Slovakia	176	1	84097	30895	378	36
Milan Uhrík - poslanec NR SR	Kotleba - Ľudová strana Naše Slovensko	193258414360612	Facebook	nitra_region	Nitra Region	SK	Slovakia	8	1	72985	20024	620	136
OBYČAJNÍ ĽUDIA a nezávislé osobnosti	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	150674111712306	Facebook	nitra_region	Nitra Region	SK	Slovakia	25	1	61317	18699	206	37
Andrej Danko - predseda SNS	Slovenská národná strana	1495199624026639	Facebook	nitra_region	Nitra Region	SK	Slovakia	62	1	57207	23802	302	79
Slovenská národná strana	Slovenská národná strana	121130481252381	Facebook	nitra_region	Nitra Region	SK	Slovakia	74	1	53933	22605	275	59
European Commission		107898832590939	Facebook	nitra_region	Nitra Region	SK	Slovakia	17	1	46999	19924	125	31
Ivan ŠTEFANEC		324560137683033	Facebook	nitra_region	Nitra Region	SK	Slovakia	40	1	45277	19145	196	40
Norbert Kurilla	Most-Híd (Híd-Most)	355021862017547	Facebook	nitra_region	Nitra Region	SK	Slovakia	31	1	42706	18076	271	95
Sme rodina	Sme rodina	600235073447674	Facebook	nitra_region	Nitra Region	SK	Slovakia	5	1	41536	18155	60	23
Michal Wiezik - SPOLU za zelenú Európu	SPOLU - občianska demokracia	2631817786833672	Facebook	nitra_region	Nitra Region	SK	Slovakia	29	1	41356	17612	152	29
Miroslav Žiak		396331590493376	Facebook	nitra_region	Nitra Region	SK	Slovakia	94	1	40168	8703	209	1
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	nitra_region	Nitra Region	SK	Slovakia	258	1	39233	11493	297	13
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	nitra_region	Nitra Region	SK	Slovakia	52	1	32975	11360	248	47
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	nitra_region	Nitra Region	SK	Slovakia	177	1	32474	8652	326	10
Tárnok Balázs	Tárnok Balázs	831444983872265	Facebook	nitra_region	Nitra Region	SK	Slovakia	8	1	31080	6926	129	0
Plamienok n.o.		174988447418	Facebook	nitra_region	Nitra Region	SK	Slovakia	6	1	29930	12934	52	14
DOMA DOBRE	Pribocký Jozef	115166009100692	Facebook	nitra_region	Nitra Region	SK	Slovakia	46	1	29290	7412	146	10
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	nitra_region	Nitra Region	SK	Slovakia	72	1	28880	8705	114	1
Petra Krištúfková	Sme rodina	1061086993931165	Facebook	nitra_region	Nitra Region	SK	Slovakia	25	1	28201	9766	87	9
Most-Híd (Híd-Most)	Most-Híd (Híd-Most)	353195602108	Facebook	nitra_region	Nitra Region	SK	Slovakia	19	1	27036	7898	214	15
Miroslav Beblavý SPOLU - občianska demokracia	SPOLU - občianska demokracia	312985238719495	Facebook	nitra_region	Nitra Region	SK	Slovakia	59	1	27032	8182	101	2
