advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	65_	65+	UK	United Kingdom	3899	1	22107209	6517731	255744	35751
People's Vote UK	People's Vote	748608695327755	Facebook	65_	65+	UK	United Kingdom	3248	1	7596616	2429936	126755	20848
We are the 52%	We are the 52%	466744973727718	Facebook	65_	65+	UK	United Kingdom	278	1	6686836	2391177	20437	2656
38 Degrees	38 Degrees	200006375787	Facebook	65_	65+	UK	United Kingdom	644	1	6150209	2196282	42450	5929
Conservatives	The Conservative Party	8807334278	Facebook	65_	65+	UK	United Kingdom	1750	1	5678968	2068613	82181	10538
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	65_	65+	UK	United Kingdom	3466	1	5235028	1620252	106620	10217
The Labour Party	The Labour Party	25749647410	Facebook	65_	65+	UK	United Kingdom	617	1	4461659	1774605	41089	9401
Best For Britain	Best for Britain	1863944713844924	Facebook	65_	65+	UK	United Kingdom	749	1	4281532	1774530	64623	14515
The Brexit Party	The Brexit Party	230416667843105	Facebook	65_	65+	UK	United Kingdom	109	1	3264081	1543100	48863	14197
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	65_	65+	UK	United Kingdom	2247	1	2485988	781406	40352	3430
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	65_	65+	UK	United Kingdom	713	1	2351962	865804	44383	7907
Right To Vote	Right to Vote	408236463256774	Facebook	65_	65+	UK	United Kingdom	358	1	1657370	404488	15567	1879
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	65_	65+	UK	United Kingdom	138	1	1415093	499337	10631	2133
TheArticle	TheArticle	607840469632004	Facebook	65_	65+	UK	United Kingdom	27	1	1337566	595499	18100	4158
Alex Salmond	Slainte Media	136191876445102	Facebook	65_	65+	UK	United Kingdom	90	1	1025858	338288	5667	667
UK government	UK government	408582579294175	Facebook	65_	65+	UK	United Kingdom	18	1	1011055	456335	11796	3661
EU Watch	EU Watch	136146920436020	Facebook	65_	65+	UK	United Kingdom	35	1	759376	228794	2401	270
Scientists for EU	Scientists for EU	642444842524195	Facebook	65_	65+	UK	United Kingdom	57	1	663913	216114	4408	741
London Gov	the Greater London Authority	713179875369048	Facebook	65_	65+	UK	United Kingdom	28	1	653972	271272	7316	1546
Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	65_	65+	UK	United Kingdom	28	1	540800	205838	3745	874
Oxfam Great Britain	Oxfam GB	7214031395	Facebook	65_	65+	UK	United Kingdom	75	1	507702	175700	8457	1776
London Labour Party	The London Labour Party 	474613052643462	Facebook	65_	65+	UK	United Kingdom	89	1	493198	182934	5323	1116
Amnesty International UK		7624294394	Facebook	65_	65+	UK	United Kingdom	86	1	484597	200686	4966	1375
The Week UK	The Week	177855115588808	Facebook	65_	65+	UK	United Kingdom	122	1	480327	179951	4800	923
Andy Street	The Conservative Party	625464517632792	Facebook	65_	65+	UK	United Kingdom	574	1	479285	146128	9011	288
