advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kialo		729627343834501	Facebook	d109	2019-04-19	HR	Croatia	6	1	66133	27256	161	58
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	d109	2019-04-19	HR	Croatia	2	1	18332	3666	58	0
Valter Flego	Valter Flego	441675022557503	Facebook	d109	2019-04-19	HR	Croatia	1	1	16666	3333	29	0
Zoran Bahtijarević		2195720960680577	Facebook	d109	2019-04-19	HR	Croatia	3	1	8616	4308	24	4
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	d109	2019-04-19	HR	Croatia	2	1	7737	1547	13	0
Faktograf.hr	Faktograf.hr	1487935214842281	Facebook	d109	2019-04-19	HR	Croatia	4	1	4998	999	88	0
Antun Babić kandidat za predsjednika države		1106971599482775	Facebook	d109	2019-04-19	HR	Croatia	3	1	4726	909	24	0
Electrolux Hrvatska		1229501663771543	Facebook	d109	2019-04-19	HR	Croatia	2	1	4602	2301	3	0
Neovisni za Hrvatsku NHR - Sesvete		537156370085526	Facebook	d109	2019-04-19	HR	Croatia	1	1	4545	909	8	0
Nacionalni Portal		2081777548773198	Facebook	d109	2019-04-19	HR	Croatia	1	1	3332	1666	32	0
Predstavništvo Europske komisije u Hrvatskoj		480559052058396	Facebook	d109	2019-04-19	HR	Croatia	1	1	2940	588	5	0
Ante Pranić, gradonačelnik Grada Vrgorca		984228071666006	Facebook	d109	2019-04-19	HR	Croatia	1	1	2499	1250	22	0
The Good Lobby		1420129598280317	Facebook	d109	2019-04-19	HR	Croatia	5	1	1763	804	2	0
EU Civil Protection & Humanitarian Aid - ECHO		146955527905	Facebook	d109	2019-04-19	HR	Croatia	1	1	1529	305	3	0
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	d109	2019-04-19	HR	Croatia	1	1	1249	250	22	0
INA		258640607530666	Facebook	d109	2019-04-19	HR	Croatia	1	1	1161	232	2	0
UNICEF Europe & Central Asia		373536278864	Facebook	d109	2019-04-19	HR	Croatia	1	1	1050	420	0	0
Goran Kotur		1570501086345718	Facebook	d109	2019-04-19	HR	Croatia	2	1	999	0	88	0
Guardian Weekly		64525551258	Facebook	d109	2019-04-19	HR	Croatia	4	1	953	387	1	0
Dominik Vuletić		1858121814431190	Facebook	d109	2019-04-19	HR	Croatia	1	1	908	454	8	0
HDZ Općina Podcrkavlje		170148766471228	Facebook	d109	2019-04-19	HR	Croatia	1	1	833	166	16	0
Medjimurje.info	Taradi Gorkic	948966671820077	Facebook	d109	2019-04-19	HR	Croatia	2	1	731	229	10	0
Slobodni Infocentar Zagreb		1741621996163657	Facebook	d109	2019-04-19	HR	Croatia	1	1	714	142	12	0
Gordan Maras		451079008266520	Facebook	d109	2019-04-19	HR	Croatia	1	1	714	357	7	0
Središnja i sjeverozapadna Hrvatska		1940136549343533	Facebook	d109	2019-04-19	HR	Croatia	1	1	624	125	11	0
