advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	65_	65+	LU	Luxembourg	94	1	151962	43518	852	42
Charles Goerens		441313569220539	Facebook	65_	65+	LU	Luxembourg	30	1	80252	20588	360	18
déi gréng	déi gréng	21710789873	Facebook	65_	65+	LU	Luxembourg	19	1	79729	29888	366	85
Greenpeace Luxembourg		67370457805	Facebook	65_	65+	LU	Luxembourg	123	1	62734	16098	538	9
European Parliament		178362315106	Facebook	65_	65+	LU	Luxembourg	55	1	51899	19420	311	35
Dan Kersch		231839814316073	Facebook	65_	65+	LU	Luxembourg	34	1	44249	14543	264	0
DP - Demokratesch Partei	DP - Demokratesch Partei	280875378609326	Facebook	65_	65+	LU	Luxembourg	17	1	37177	11770	129	0
CSV	CSV	56016549775	Facebook	65_	65+	LU	Luxembourg	30	1	26121	6828	210	0
Piraten Lëtzebuerg		183148710560	Facebook	65_	65+	LU	Luxembourg	31	1	22864	7087	189	0
European Greens		141366725876424	Facebook	65_	65+	LU	Luxembourg	12	1	13402	5970	93	36
Fondation IDEA asbl		439909732821172	Facebook	65_	65+	LU	Luxembourg	1	1	13070	2614	25	0
Chris Bernard		764820513891336	Facebook	65_	65+	LU	Luxembourg	21	1	7896	1755	165	0
déi jonk gréng	Déi jonk gréng	197451906960613	Facebook	65_	65+	LU	Luxembourg	14	1	7097	1469	76	0
ADR  - Alternativ Demokratesch Reformpartei		115916035102253	Facebook	65_	65+	LU	Luxembourg	2	1	6151	1213	20	0
déi Lénk	déi Lénk	120444648033670	Facebook	65_	65+	LU	Luxembourg	3	1	5856	1504	66	9
Volt Luxembourg	Volt Luxembourg	766459183561998	Facebook	65_	65+	LU	Luxembourg	8	1	4472	1564	68	0
Marc ANGEL		1404458223105541	Facebook	65_	65+	LU	Luxembourg	1	1	4471	894	8	0
Unis pour les Droits Humains		1642871805813802	Facebook	65_	65+	LU	Luxembourg	17	1	4449	1648	6	0
JDL Jonk Demokraten		141096935941189	Facebook	65_	65+	LU	Luxembourg	1	1	4224	844	8	0
Piraten Bezierk Osten		141480992729926	Facebook	65_	65+	LU	Luxembourg	1	1	4129	825	41	8
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	65_	65+	LU	Luxembourg	57	1	3928	1701	19	4
Julia Elisabetta Pitterman		2235333396715580	Facebook	65_	65+	LU	Luxembourg	6	1	3835	750	42	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	65_	65+	LU	Luxembourg	45	1	2573	1114	6	1
ULESS - Union luxembourgeoise de l'économie sociale et solidaire		266311153561137	Facebook	65_	65+	LU	Luxembourg	2	1	2368	918	32	0
LIFE		167060196653670	Facebook	65_	65+	LU	Luxembourg	44	1	2218	453	10	0
