day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d135	2019-05-15	RO	Romania	898	181	11043538	4433505	20874	4501
d134	2019-05-14	RO	Romania	1058	187	13950410	5651069	27912	5795
d133	2019-05-13	RO	Romania	993	187	15213790	6236478	29041	6528
d132	2019-05-12	RO	Romania	864	180	12732904	5264557	21115	4759
d131	2019-05-11	RO	Romania	875	186	13848196	5784078	22518	5135
d130	2019-05-10	RO	Romania	908	197	19697686	8658751	35126	7641
d129	2019-05-09	RO	Romania	763	178	12232637	5193493	25820	5687
d128	2019-05-08	RO	Romania	669	168	13613207	5994643	28345	6845
d127	2019-05-07	RO	Romania	609	164	10864756	4732588	23010	5064
d126	2019-05-06	RO	Romania	540	141	10027272	4420400	20848	4548
d125	2019-05-05	RO	Romania	513	141	7657917	3283001	18222	4122
d124	2019-05-04	RO	Romania	477	129	9334759	4003737	21685	5505
d123	2019-05-03	RO	Romania	491	142	8222390	3603190	18051	4854
d122	2019-05-02	RO	Romania	452	144	6895650	3053907	13471	3057
d121	2019-05-01	RO	Romania	400	138	4563326	1924966	11642	3067
d120	2019-04-30	RO	Romania	404	135	2726293	1138922	5555	1200
d119	2019-04-29	RO	Romania	427	134	7843175	3564259	23625	6099
d118	2019-04-28	RO	Romania	439	142	5016210	2091424	6060	1670
d117	2019-04-27	RO	Romania	478	155	6176848	2544168	5821	1761
d116	2019-04-26	RO	Romania	524	168	5863602	2444817	8978	2383
d115	2019-04-25	RO	Romania	578	184	7704612	3190498	13848	3628
d114	2019-04-24	RO	Romania	571	196	7978355	3418223	16948	3851
d113	2019-04-23	RO	Romania	583	198	6724202	2879091	18608	4075
d112	2019-04-22	RO	Romania	543	203	5842761	2509763	14222	3235
d111	2019-04-21	RO	Romania	528	197	6052702	2627315	13847	3179
d110	2019-04-20	RO	Romania	533	211	5698332	2479689	12643	3004
d109	2019-04-19	RO	Romania	557	226	5017043	2128287	12221	2826
d108	2019-04-18	RO	Romania	539	216	6974134	2905189	14583	3260
d107	2019-04-17	RO	Romania	548	217	7378861	3146253	13410	3003
d106	2019-04-16	RO	Romania	575	210	8045852	3497569	14152	3746
