recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-16	2019-05-16	CY	Cyprus	196	44	717319	199464	4167	27
rd2	Last 2 days	2019-05-15	2019-05-16	CY	Cyprus	227	46	1753600	508510	9599	317
rd3	Last 3 days	2019-05-14	2019-05-16	CY	Cyprus	263	47	2713249	790762	13634	610
rd4	Last 4 days	2019-05-13	2019-05-16	CY	Cyprus	281	51	3422689	1013138	16194	904
rd5	Last 5 days	2019-05-12	2019-05-16	CY	Cyprus	310	55	4288375	1276610	19053	1195
rd6	Last 6 days	2019-05-11	2019-05-16	CY	Cyprus	338	59	5060790	1516230	21733	1486
rw1	Last week	2019-05-10	2019-05-16	CY	Cyprus	370	60	6298520	1947024	27589	2334
rw2	Last 2 weeks	2019-05-03	2019-05-16	CY	Cyprus	534	76	12742655	4022808	56281	5056
rw3	Last 3 weeks	2019-04-26	2019-05-16	CY	Cyprus	643	105	14306410	4449184	61820	5309
rw4	Last 4 weeks	2019-04-19	2019-05-16	CY	Cyprus	723	127	15575746	4822867	66976	5430
rm1	Last month	2019-04-17	2019-05-16	CY	Cyprus	742	138	15741701	4874816	67579	5439
rm2	Last 2 months	2019-03-18	2019-05-16	CY	Cyprus	1491	354	23278322	7539957	101036	9002
rm3	Last 3 months	2019-02-16	2019-05-16	CY	Cyprus	1697	407	26166914	8499793	111455	9680
rm6	Last 6 months	2019-01-01	2019-05-16	CY	Cyprus	1782	429	26275928	8543097	111888	9763
