advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m18_24	male (18-24)	1274	1	56374256	25101105	250372	62985
Kialo		729627343834501	Facebook	m18_24	male (18-24)	732	1	18699291	7226990	112512	25812
SPD	SPD	47930567748	Facebook	m18_24	male (18-24)	5078	1	9221927	2699632	200635	11974
European Greens		141366725876424	Facebook	m18_24	male (18-24)	277	1	9110762	4019650	47392	11715
European Commission		107898832590939	Facebook	m18_24	male (18-24)	69	1	7558741	3514859	29857	7647
People's Vote UK	People's Vote	748608695327755	Facebook	m18_24	male (18-24)	3258	1	7549980	2673622	84581	15484
Podemos	Unidas Podemos	269212336568846	Facebook	m18_24	male (18-24)	241	1	7113851	3201791	36872	9483
FDP	FDP	21289227249	Facebook	m18_24	male (18-24)	1899	1	5703281	1788900	50570	2560
CDU	CDU	78502295414	Facebook	m18_24	male (18-24)	3170	1	5507808	1318441	48093	1157
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m18_24	male (18-24)	1969	1	5267932	1856555	55103	7621
sp.a	sp.a	57253967150	Facebook	m18_24	male (18-24)	224	1	5150200	2090510	22331	4441
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m18_24	male (18-24)	76	1	4867606	2216950	35376	8914
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	m18_24	male (18-24)	124	1	4712878	1968906	16014	4777
Conservatives	The Conservative Party	8807334278	Facebook	m18_24	male (18-24)	1600	1	4486725	1685792	50561	7175
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m18_24	male (18-24)	123	1	4364122	1907965	37621	8930
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m18_24	male (18-24)	220	1	4344115	1723415	11085	2235
Partido Popular	Partido Popular	72249031214	Facebook	m18_24	male (18-24)	842	1	4063045	1534040	22678	3444
Greenpeace France		39435457457	Facebook	m18_24	male (18-24)	127	1	3697463	1702328	17062	3891
România în primul rând	Future Innovation	770704223323599	Facebook	m18_24	male (18-24)	67	1	3556658	1618206	2618	723
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m18_24	male (18-24)	66	1	3267522	1550887	6349	2847
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	m18_24	male (18-24)	310	1	3224445	971322	17678	1602
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m18_24	male (18-24)	75	1	3125922	1419391	7132	1908
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	m18_24	male (18-24)	88	1	3069537	1393965	6588	1447
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	m18_24	male (18-24)	351	1	2861397	922679	20340	5617
Parlement européen en France	Parlement européen en France	279757933824	Facebook	m18_24	male (18-24)	18	1	2823867	1120243	15250	3773
