advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Uppsala kommun	Uppsala kommun	104760926229060	Facebook	uppsala_county_SE	Uppsala County, Sweden	64	1	1339344	308489	8808	2220
Rädda Barnen		72659261793	Facebook	uppsala_county_SE	Uppsala County, Sweden	544	1	581565	187321	5077	1282
Plan International Sverige		382243262003	Facebook	uppsala_county_SE	Uppsala County, Sweden	354	1	539986	181525	4513	1095
Vattenfall Sverige		608975645850217	Facebook	uppsala_county_SE	Uppsala County, Sweden	27	1	342223	154877	4352	1162
Centerpartiet	Centerpartiet	12690894340	Facebook	uppsala_county_SE	Uppsala County, Sweden	250	1	307489	107415	3811	915
Liberalerna	Liberalerna	132266740623	Facebook	uppsala_county_SE	Uppsala County, Sweden	93	1	165635	62907	1006	277
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	uppsala_county_SE	Uppsala County, Sweden	35	1	161871	68951	1871	492
Moderaterna	Moderaterna	7719591155	Facebook	uppsala_county_SE	Uppsala County, Sweden	136	1	157515	38023	1144	275
EU-kommissionen i Sverige		155824787799	Facebook	uppsala_county_SE	Uppsala County, Sweden	20	1	151986	72611	674	160
European Commission		107898832590939	Facebook	uppsala_county_SE	Uppsala County, Sweden	15	1	146559	65306	1252	393
Sverige för UNHCR		643137272398136	Facebook	uppsala_county_SE	Uppsala County, Sweden	92	1	138513	44040	782	194
Facebook Nordic	Facebook	334318366655425	Facebook	uppsala_county_SE	Uppsala County, Sweden	5	1	133418	66229	613	123
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	uppsala_county_SE	Uppsala County, Sweden	315	1	118121	32922	766	180
European Greens		141366725876424	Facebook	uppsala_county_SE	Uppsala County, Sweden	45	1	112676	49886	1623	385
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	uppsala_county_SE	Uppsala County, Sweden	161	1	111784	36611	1652	430
Röda Korset		111630258867610	Facebook	uppsala_county_SE	Uppsala County, Sweden	69	1	111563	29571	533	158
European Parliament		178362315106	Facebook	uppsala_county_SE	Uppsala County, Sweden	63	1	108485	44130	983	213
Feministiskt initiativ	Feministiskt initiativ	112513375470294	Facebook	uppsala_county_SE	Uppsala County, Sweden	26	1	106209	40315	887	341
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	uppsala_county_SE	Uppsala County, Sweden	10	1	86456	40857	480	106
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	uppsala_county_SE	Uppsala County, Sweden	51	1	84555	28928	763	174
LO Sverige		163820136238	Facebook	uppsala_county_SE	Uppsala County, Sweden	7	1	79215	34533	705	172
Skandia		139767876088719	Facebook	uppsala_county_SE	Uppsala County, Sweden	3	1	78297	36842	298	84
Kristdemokraterna Uppsala	Kristdemokraterna Uppsala	783969528368300	Facebook	uppsala_county_SE	Uppsala County, Sweden	11	1	74177	17368	357	118
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	uppsala_county_SE	Uppsala County, Sweden	60	1	68910	16507	618	144
Saco	Saco	133910158381	Facebook	uppsala_county_SE	Uppsala County, Sweden	41	1	66539	13763	402	97
