advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Roberto Rosso	Roberto Rosso	1735684256653359	Facebook	piedmont_IT	Piedmont, Italy	52	1	6512023	2863784	36550	9384
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	piedmont_IT	Piedmont, Italy	382	1	2037237	843743	9986	1881
Partito Democratico		77034286895	Facebook	piedmont_IT	Piedmont, Italy	180	1	1486602	637548	5437	1216
Lara Comi	Lara Comi	155619044465389	Facebook	piedmont_IT	Piedmont, Italy	77	1	1204660	363514	4075	672
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	piedmont_IT	Piedmont, Italy	25	1	1018376	477761	2565	654
European Parliament		178362315106	Facebook	piedmont_IT	Piedmont, Italy	184	1	943562	402202	2990	515
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	piedmont_IT	Piedmont, Italy	97	1	857317	353811	2615	516
Bananamia		185686561464778	Facebook	piedmont_IT	Piedmont, Italy	9	1	849061	409535	890	0
Stefano Maullu		150618724962388	Facebook	piedmont_IT	Piedmont, Italy	24	1	848812	337899	2413	497
Save the Children Italia		46590675335	Facebook	piedmont_IT	Piedmont, Italy	48	1	827837	368341	3315	899
Alberto Cirio	RedAbissi	1391061901114543	Facebook	piedmont_IT	Piedmont, Italy	38	1	826863	210522	5188	455
WeWorld Onlus		299584710061488	Facebook	piedmont_IT	Piedmont, Italy	320	1	695819	267695	4087	534
Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	piedmont_IT	Piedmont, Italy	30	1	678758	304267	2684	639
European Greens		141366725876424	Facebook	piedmont_IT	Piedmont, Italy	38	1	599656	272564	2710	653
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	piedmont_IT	Piedmont, Italy	52	1	588881	251446	1420	356
Kialo		729627343834501	Facebook	piedmont_IT	Piedmont, Italy	375	1	528454	213723	2730	642
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	piedmont_IT	Piedmont, Italy	88	1	433534	174864	2512	573
Daniele Viotti		138574576313444	Facebook	piedmont_IT	Piedmont, Italy	38	1	431434	91381	1631	0
SÌ Tav SÌ Lavoro		987211228033960	Facebook	piedmont_IT	Piedmont, Italy	18	1	409504	97683	1405	0
Stefano Pasquino	Stefano Pasquino	540716416041137	Facebook	piedmont_IT	Piedmont, Italy	8	1	399992	80000	792	0
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	piedmont_IT	Piedmont, Italy	47	1	336818	135320	1062	287
Medici Senza Frontiere		65737832194	Facebook	piedmont_IT	Piedmont, Italy	25	1	336014	141708	1327	437
Monica Cerutti		331398250994	Facebook	piedmont_IT	Piedmont, Italy	6	1	331626	96326	1357	200
Partito Democratico Piemonte		347359068737044	Facebook	piedmont_IT	Piedmont, Italy	16	1	324984	77000	1584	0
Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	piedmont_IT	Piedmont, Italy	27	1	314719	132668	534	45
