advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	1k_5k	1k - 5k	171	1	107247888	50155489	737931	158799
Podemos	Unidas Podemos	269212336568846	Facebook	1k_5k	1k - 5k	87	1	58899913	26800000	434913	87000
People's Vote UK	People's Vote	748608695327755	Facebook	1k_5k	1k - 5k	137	1	24697268	10848172	296449	80696
European Greens		141366725876424	Facebook	1k_5k	1k - 5k	43	1	24299957	11100000	214957	43000
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	1k_5k	1k - 5k	65	1	24230568	11322067	52452	18686
Vlaams Belang	Vlaams Belang	56605856504	Facebook	1k_5k	1k - 5k	36	1	22399964	10400000	179964	36000
Greenpeace France		39435457457	Facebook	1k_5k	1k - 5k	25	1	19899975	9600000	124975	25000
Partido Popular	Partido Popular	72249031214	Facebook	1k_5k	1k - 5k	26	1	19899974	9500000	129974	26000
Kialo		729627343834501	Facebook	1k_5k	1k - 5k	59	1	19668793	8870784	174006	44131
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	1k_5k	1k - 5k	38	1	19099962	8300000	189962	38000
Conservatives	The Conservative Party	8807334278	Facebook	1k_5k	1k - 5k	64	1	18857049	8750830	142664	38138
Best For Britain	Best for Britain	1863944713844924	Facebook	1k_5k	1k - 5k	79	1	18003631	8200032	197024	49287
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	1k_5k	1k - 5k	96	1	16700788	7570020	48450	10322
European Commission		107898832590939	Facebook	1k_5k	1k - 5k	17	1	14999983	7300000	84983	17000
The Labour Party	The Labour Party	25749647410	Facebook	1k_5k	1k - 5k	64	1	13640587	6081963	119425	35684
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	1k_5k	1k - 5k	23	1	12510487	6064293	35176	16237
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	1k_5k	1k - 5k	83	1	11131617	5132361	133866	44058
Ciudadanos	Ciudadanos	74078667754	Facebook	1k_5k	1k - 5k	18	1	10099982	4500000	89982	18000
SPD	SPD	47930567748	Facebook	1k_5k	1k - 5k	20	1	9999980	4650000	99980	20000
sp.a	sp.a	57253967150	Facebook	1k_5k	1k - 5k	15	1	9799985	4550000	74985	15000
Un país moderno	Unidas Podemos	577723459314066	Facebook	1k_5k	1k - 5k	13	1	8999987	4100000	64987	13000
Harald Vilimsky		547597092025909	Facebook	1k_5k	1k - 5k	23	1	7999977	3550000	114977	23000
Referendum Commission		580832208630212	Facebook	1k_5k	1k - 5k	11	1	7399989	3500000	54989	11000
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	1k_5k	1k - 5k	8	1	6999992	3400000	39992	8000
The Brexit Party	The Brexit Party	230416667843105	Facebook	1k_5k	1k - 5k	46	1	6982185	3337374	111708	28380
