advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	w010	Week 10	189	1	15589224	6783555	46924	9620
Dungeon Defenders		107960282569653	Facebook	w010	Week 10	294	1	8864706	3387000	42909	4984
Kialo		729627343834501	Facebook	w010	Week 10	21	1	5249979	2305000	28465	5910
Britain's Future	Britain's Future	1625300137516491	Facebook	w010	Week 10	489	1	3411250	964436	42472	5442
People's Vote UK	People's Vote	748608695327755	Facebook	w010	Week 10	155	1	2983973	1038618	25299	3955
Sign for my Future	Sign for my Future	1345513882259768	Facebook	w010	Week 10	31	1	2171551	840285	19251	4160
Vlaams Belang	Vlaams Belang	56605856504	Facebook	w010	Week 10	3	1	1999997	900000	14997	3000
We are the 52%	We are the 52%	466744973727718	Facebook	w010	Week 10	41	1	1991754	747164	5368	727
Vattenfall Sverige		608975645850217	Facebook	w010	Week 10	25	1	1972215	890000	23552	6775
sp.a	sp.a	57253967150	Facebook	w010	Week 10	10	1	1904989	811000	12790	2500
Gul Ahmed		312754697664	Facebook	w010	Week 10	4	1	1799996	850000	5426	1068
Les Energies du Soleil		1684031805239401	Facebook	w010	Week 10	8	1	1749992	830000	22592	7800
Gazeta Wyborcza		63563473556	Facebook	w010	Week 10	8	1	1464992	671750	1641	316
Save the Children Italia		46590675335	Facebook	w010	Week 10	3	1	1200997	600000	5597	1100
5Pillars	5 Pillars	490858150969676	Facebook	w010	Week 10	2	1	1199998	600000	11569	2314
The Labour Party	The Labour Party	25749647410	Facebook	w010	Week 10	18	1	1198654	569333	8394	3139
UK government	UK government	408582579294175	Facebook	w010	Week 10	3	1	1159418	563768	14379	6926
MEO		69209479569	Facebook	w010	Week 10	3	1	1049997	409999	1996	700
Avaaz	Avaaz	8340223883	Facebook	w010	Week 10	17	1	1031487	471666	4875	1031
Winkler Gyula		1560147330888040	Facebook	w010	Week 10	2	1	1009998	502000	1054	210
Ingredientes que Suman		586540488142205	Facebook	w010	Week 10	2	1	1009998	505000	598	100
National Geographic		107307059419	Facebook	w010	Week 10	1	1	999999	499999	98	0
Bespaarkiosk.nl		1659811130952704	Facebook	w010	Week 10	1	1	999999	500000	4999	1000
Fútbol Santander		116723261685431	Facebook	w010	Week 10	1	1	999999	500000	88	0
La Prime Énergie		336155273400553	Facebook	w010	Week 10	6	1	904994	371000	7694	2100
