advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	d128	2019-05-08	LT	Lithuania	46	1	548364	241179	887	153
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	d128	2019-05-08	LT	Lithuania	42	1	453704	195121	754	122
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	d128	2019-05-08	LT	Lithuania	29	1	259780	67316	992	76
Už Ingridą		2214495192154107	Facebook	d128	2019-05-08	LT	Lithuania	15	1	197830	69666	495	44
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	d128	2019-05-08	LT	Lithuania	3	1	149997	30000	297	0
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	d128	2019-05-08	LT	Lithuania	15	1	137761	54168	524	55
Arvydas Juozaitis	Arvydas Juozaitis	458551247900215	Facebook	d128	2019-05-08	LT	Lithuania	7	1	96914	25333	576	94
Liberalai	Liberalai	81004804444	Facebook	d128	2019-05-08	LT	Lithuania	67	1	40603	11944	742	0
15min		40711908859	Facebook	d128	2019-05-08	LT	Lithuania	1	1	16666	3333	33	0
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	d128	2019-05-08	LT	Lithuania	18	1	13957	3801	180	0
Saulius Skvernelis	Saulius Skvernelis	814777171988967	Facebook	d128	2019-05-08	LT	Lithuania	1	1	12499	2500	24	0
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	d128	2019-05-08	LT	Lithuania	2	1	10832	2916	41	0
Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	d128	2019-05-08	LT	Lithuania	2	1	9090	1818	18	0
Robertas Šarknickas		880209082011396	Facebook	d128	2019-05-08	LT	Lithuania	1	1	2499	1250	24	0
Linksmas lagaminas Vaikų Šventės		293938050813587	Facebook	d128	2019-05-08	LT	Lithuania	1	1	1923	384	3	0
Tatjana Babrauskienė	Babrauskiene Tatjana	1101509610035530	Facebook	d128	2019-05-08	LT	Lithuania	1	1	1666	833	16	0
Jaunųjų konservatorių lyga	Vaitkevicius	269533485196	Facebook	d128	2019-05-08	LT	Lithuania	1	1	1666	333	33	0
VoteWatch Europe		355087424564148	Facebook	d128	2019-05-08	LT	Lithuania	7	1	1354	588	2	0
Europos Parlamento biuras Lietuvoje	Europos Parlamento biuras Lietuvoje	188014250186	Facebook	d128	2019-05-08	LT	Lithuania	1	1	1249	250	24	0
Tomas Vytautas Raskevičius	Raskevicius Tomas Vytautas	790530451326497	Facebook	d128	2019-05-08	LT	Lithuania	1	1	1249	624	12	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	d128	2019-05-08	LT	Lithuania	1	1	419	209	0	0
Talking Europe		316028505828375	Facebook	d128	2019-05-08	LT	Lithuania	2	1	286	136	1	0
Guardian Weekly		64525551258	Facebook	d128	2019-05-08	LT	Lithuania	4	1	239	47	0	0
Soonfeed		214615931960850	Facebook	d128	2019-05-08	LT	Lithuania	2	1	198	39	3	0
Mano Europa		447107772102512	Facebook	d128	2019-05-08	LT	Lithuania	1	1	124	0	11	0
