advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	0_1k	0 - 1k	SK	Slovakia	847	1	846152	0	83852	0
Eurovoľby	Richard Sulik	2376963545647566	Facebook	0_1k	0 - 1k	SK	Slovakia	127	1	126872	0	12572	0
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	0_1k	0 - 1k	SK	Slovakia	63	1	62619	0	6205	0
Netky.sk		364139677032739	Facebook	0_1k	0 - 1k	SK	Slovakia	58	1	57942	0	5742	0
EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	0_1k	0 - 1k	SK	Slovakia	50	1	49950	0	4950	0
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	0_1k	0 - 1k	SK	Slovakia	46	1	45924	0	4551	0
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	0_1k	0 - 1k	SK	Slovakia	46	1	45877	0	4546	0
Zora Jaurová • Progresívne Slovensko		267456060571592	Facebook	0_1k	0 - 1k	SK	Slovakia	41	1	40925	0	4055	0
Martin Lancz - kandidát na europoslanca 2019	 Švec František	2671787962847811	Facebook	0_1k	0 - 1k	SK	Slovakia	35	1	34964	0	3464	0
Miroslav Žiak		396331590493376	Facebook	0_1k	0 - 1k	SK	Slovakia	30	1	29970	0	2970	0
Lucia Nicholsonová verí v zdravý rozum	Richard Sulik	714437508635046	Facebook	0_1k	0 - 1k	SK	Slovakia	27	1	26973	0	2673	0
Miriam Kuzárová, kandidátka do Európskeho parlamentu	KDH	137416183351336	Facebook	0_1k	0 - 1k	SK	Slovakia	23	1	22956	0	2274	0
Sloboda a Solidarita	Richard Sulik	71030757230	Facebook	0_1k	0 - 1k	SK	Slovakia	22	1	21977	0	2177	0
Richard Sulik	Richard Sulik	184760561603680	Facebook	0_1k	0 - 1k	SK	Slovakia	19	1	18981	0	1881	0
Marcel Vrchota		182696648478744	Facebook	0_1k	0 - 1k	SK	Slovakia	18	1	17982	0	1629	0
NÁRODNÁ KOALÍCIA	NÁRODNÁ KOALÍCIA	145677979100505	Facebook	0_1k	0 - 1k	SK	Slovakia	17	1	16983	0	1683	0
European Parliament		178362315106	Facebook	0_1k	0 - 1k	SK	Slovakia	18	1	16982	0	1682	0
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	0_1k	0 - 1k	SK	Slovakia	16	1	15983	0	1583	0
Dominik Hatiar • Mladí za lepšiu Európu		1795556150546258	Facebook	0_1k	0 - 1k	SK	Slovakia	16	1	15973	0	1582	0
Andrej Danko - predseda SNS	Slovenská národná strana	1495199624026639	Facebook	0_1k	0 - 1k	SK	Slovakia	14	1	13985	0	1385	0
Slovenská národná strana	Slovenská národná strana	121130481252381	Facebook	0_1k	0 - 1k	SK	Slovakia	13	1	12987	0	1287	0
Peter Puškár	Puskar Peter	299027620531773	Facebook	0_1k	0 - 1k	SK	Slovakia	12	1	11988	0	1188	0
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	0_1k	0 - 1k	SK	Slovakia	12	1	11941	0	1183	0
Braňo Gigac	Gigac Branislav	1293379587429941	Facebook	0_1k	0 - 1k	SK	Slovakia	11	1	10988	0	1088	0
Michal Wiezik - SPOLU za zelenú Európu	SPOLU - občianska demokracia	2631817786833672	Facebook	0_1k	0 - 1k	SK	Slovakia	10	1	9990	0	990	0
Michal Považan - kandidát do Európskeho parlamentu za KDH		1183320988494283	Facebook	0_1k	0 - 1k	SK	Slovakia	10	1	9989	0	989	0
Norbert Kurilla	Most-Híd (Híd-Most)	355021862017547	Facebook	0_1k	0 - 1k	SK	Slovakia	9	1	8991	0	891	0
Ondrej Prostredník • Prostredník medzi Vami a Európou	Progresívne Slovensko	951009345100113	Facebook	0_1k	0 - 1k	SK	Slovakia	8	1	7986	0	791	0
Ivan ŠTEFANEC		324560137683033	Facebook	0_1k	0 - 1k	SK	Slovakia	7	1	6992	0	692	0
Európsky parlament – Kancelária na Slovensku		232491033085	Facebook	0_1k	0 - 1k	SK	Slovakia	6	1	5994	0	594	0
OBYČAJNÍ ĽUDIA a nezávislé osobnosti	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	150674111712306	Facebook	0_1k	0 - 1k	SK	Slovakia	6	1	5993	0	594	0
Martin Hojsík • Progresívne Slovensko	Hojsik Martin	147166706140048	Facebook	0_1k	0 - 1k	SK	Slovakia	6	1	5957	0	590	0
Robert Hajšel	Krcmarikova Katarina	822009714820627	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	4995	0	495	0
Miroslav Beblavý SPOLU - občianska demokracia	SPOLU - občianska demokracia	312985238719495	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	4995	0	495	0
Ľubomír Šesták - volím č.8	Sestak Lubomir	713479689049720	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	4995	0	495	0
noviny.sk - spravodajstvo TV JOJ		141402462565998	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	4995	0	495	0
ĽUBOŠ BLAHA	ĽUBOŠ BLAHA	2047997592105476	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	4994	0	494	0
JUDr. Miroslav Radačovský, ex sudca - kandidát na poslanca EP	Radačovský Michal	730919327293761	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	3995	0	395	0
DOMA DOBRE	Pribocký Jozef	115166009100692	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	3995	0	395	0
Antonio Parziale - Váš hlas v Európe	Európska Demokratická Strana	1485999664946680	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	3995	0	395	0
Doprava	DOPRAVA	184971192157634	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	2997	0	297	0
Magyar Kereszténydemokrata Szövetség	Magyar Kereszténydemokrata Szövetség	124771041038345	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	2997	0	297	0
Alena Longauerová - eurokandidátka pre ľudí	Longauerova Alena	2304669143086323	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	2996	0	296	0
Mestské zastupiteľstvo Žilina		1491107161212989	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	2996	0	296	0
CHISTEE		208209426609776	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	2996	0	297	0
Martin Beluský - kandidát na poslanca EP	Kotleba - Ľudová strana Naše Slovensko	2011031775831511	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	2974	0	294	0
EURACTIV.sk		53798312370	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	2869	0	284	0
Peter Pollák	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	307556876112136	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Rastislav Masnyk	Sme rodina	421272045293538	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Lenka Humajová	Humajová Lenka	365779347344031	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Café Európa		116570825042936	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Kresťanská únia		558882197954288	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Televízne noviny TV Markíza		170612431409	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Pre krásne bývanie		1735416053450841	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Špecialista na investovanie		1842909915928969	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	176	0
EKO-drogéria Ecoterra Trnava		631546643720522	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	197	0
Tomáš Popovič		2079942508762990	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Dóza - obchod bez obalu		829123407442564	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	198	0
Kamala		1767544630221422	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	176	0
Dominik Hatiar2		863166610690134	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	197	0
Michal Liptaj kandidát do Európskeho parlamentu		211966999713636	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1997	0	197	0
