advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
MSZP	MSZP	115388925185513	Facebook	d133	2019-05-13	HU	Hungary	39	1	1954251	777054	2391	953
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	d133	2019-05-13	HU	Hungary	35	1	1194871	515439	801	199
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	d133	2019-05-13	HU	Hungary	64	1	1016774	397205	1846	722
Fidesz	Fidesz	9844779306	Facebook	d133	2019-05-13	HU	Hungary	6	1	949996	450000	2940	1392
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	d133	2019-05-13	HU	Hungary	10	1	852507	395098	2052	917
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	d133	2019-05-13	HU	Hungary	22	1	612177	259182	526	196
European Greens		141366725876424	Facebook	d133	2019-05-13	HU	Hungary	12	1	315614	139960	1076	296
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	d133	2019-05-13	HU	Hungary	10	1	224997	99999	528	190
Comedy Central Magyarország	Comedy Central Magyarország	287863594432	Facebook	d133	2019-05-13	HU	Hungary	1	1	199999	100000	309	154
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	d133	2019-05-13	HU	Hungary	3	1	166665	83333	412	206
Vágó Gábor	LMP - Lehet Más a Politika	453253875264	Facebook	d133	2019-05-13	HU	Hungary	8	1	165712	71714	358	135
Ökopolisz Alapítvány	Ökopolisz Alapítvány	244669668913278	Facebook	d133	2019-05-13	HU	Hungary	8	1	147218	73609	353	172
Fekete-Győr András	Momentum Mozgalom	128573907819549	Facebook	d133	2019-05-13	HU	Hungary	3	1	133665	66666	206	87
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	d133	2019-05-13	HU	Hungary	8	1	125402	45808	250	50
Gyurcsány Ferenc	Demokratikus Koalíció	187301974635606	Facebook	d133	2019-05-13	HU	Hungary	4	1	84090	39318	144	28
Demeter Márta	LMP - Lehet Más a Politika	1372750529476614	Facebook	d133	2019-05-13	HU	Hungary	7	1	75950	32226	147	29
Magyar Kétfarkú Kutya Párt	Magyar Kétfarkú Kutya Párt	14792493292	Facebook	d133	2019-05-13	HU	Hungary	7	1	71618	21757	56	13
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	d133	2019-05-13	HU	Hungary	10	1	68997	16500	294	61
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	d133	2019-05-13	HU	Hungary	7	1	62994	27406	296	135
Dr. Molnár Csaba	Demokratikus Koalíció	306318386058001	Facebook	d133	2019-05-13	HU	Hungary	6	1	61589	12318	260	52
MSZP Budapest	MSZP Budapest	414715951917446	Facebook	d133	2019-05-13	HU	Hungary	12	1	56145	12113	174	43
Sneider Tamás	Országgyűlés Hivatala Jobbik Frakció	329107800543535	Facebook	d133	2019-05-13	HU	Hungary	1	1	49999	24999	154	77
Ádám Kósa Mep	Adam Kosa, Member of the European Parliament	237088069704442	Facebook	d133	2019-05-13	HU	Hungary	1	1	45454	18181	140	56
Karácsony Gergely	Párbeszéd Magyarországért	193944440638410	Facebook	d133	2019-05-13	HU	Hungary	3	1	40832	16666	56	16
Dr. Tóth Bertalan	MSZP	1425355697692924	Facebook	d133	2019-05-13	HU	Hungary	4	1	33610	13055	41	15
