advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	f45_54	female (45-54)	LT	Lithuania	43	1	1163402	498755	1914	300
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	f45_54	female (45-54)	LT	Lithuania	35	1	981123	442640	1343	337
European Parliament		178362315106	Facebook	f45_54	female (45-54)	LT	Lithuania	22	1	570743	253156	2985	683
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	f45_54	female (45-54)	LT	Lithuania	74	1	391758	143298	1169	90
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	f45_54	female (45-54)	LT	Lithuania	96	1	320817	79047	1195	31
Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	f45_54	female (45-54)	LT	Lithuania	48	1	156680	33734	731	39
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	f45_54	female (45-54)	LT	Lithuania	32	1	139936	51886	522	50
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	f45_54	female (45-54)	LT	Lithuania	16	1	107349	39893	377	49
Už Ingridą		2214495192154107	Facebook	f45_54	female (45-54)	LT	Lithuania	39	1	88145	25034	467	11
Darbo partija	Darbo partija	264116120225	Facebook	f45_54	female (45-54)	LT	Lithuania	19	1	75925	20930	210	7
Tomas Tomilinas - naujienos		530620843630609	Facebook	f45_54	female (45-54)	LT	Lithuania	18	1	66539	23948	271	12
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)		198988713464683	Facebook	f45_54	female (45-54)	LT	Lithuania	13	1	62724	25883	203	26
Prof. Dr. Stanislovas Tomas, Advokatas		1049345465226776	Facebook	f45_54	female (45-54)	LT	Lithuania	4	1	55265	21700	130	41
Arvydas Juozaitis	Arvydas Juozaitis	458551247900215	Facebook	f45_54	female (45-54)	LT	Lithuania	11	1	54717	13413	265	33
Liberalai	Liberalai	81004804444	Facebook	f45_54	female (45-54)	LT	Lithuania	83	1	47887	13476	630	0
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	f45_54	female (45-54)	LT	Lithuania	45	1	47318	12794	695	0
Saulius Skvernelis	Saulius Skvernelis	814777171988967	Facebook	f45_54	female (45-54)	LT	Lithuania	4	1	45841	18992	199	30
Petras Auštrevičius		1482024028702535	Facebook	f45_54	female (45-54)	LT	Lithuania	11	1	45810	21789	229	29
Bronis Ropė		216419471860983	Facebook	f45_54	female (45-54)	LT	Lithuania	8	1	38957	7766	117	0
Kialo		729627343834501	Facebook	f45_54	female (45-54)	LT	Lithuania	344	1	38433	15864	246	58
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	f45_54	female (45-54)	LT	Lithuania	14	1	34133	7807	110	0
Viktoras Uspaskich	Darbo partija	160851767470	Facebook	f45_54	female (45-54)	LT	Lithuania	8	1	29858	11167	247	35
Lietuvos Centro Partija (LCP)		102161476501915	Facebook	f45_54	female (45-54)	LT	Lithuania	3	1	24587	12113	131	23
Vilija Blinkevičiūtė	Lietuvos socialdemokratų partija - LSDP	1551002341778947	Facebook	f45_54	female (45-54)	LT	Lithuania	6	1	23600	4669	106	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f45_54	female (45-54)	LT	Lithuania	54	1	22266	10433	53	15
