advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	w009	Week 9	LU	Luxembourg	9	1	158328	36666	939	111
Charles Goerens		441313569220539	Facebook	w009	Week 9	LU	Luxembourg	12	1	61431	17392	205	10
Piraten Lëtzebuerg		183148710560	Facebook	w009	Week 9	LU	Luxembourg	2	1	33722	7316	81	0
Chris Bernard		764820513891336	Facebook	w009	Week 9	LU	Luxembourg	2	1	6605	1321	130	0
Christian Welter		420265522049953	Facebook	w009	Week 9	LU	Luxembourg	1	1	3332	1666	33	0
Piratepartei Bezierk Norden		494284087327520	Facebook	w009	Week 9	LU	Luxembourg	1	1	2499	500	49	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	w009	Week 9	LU	Luxembourg	6	1	690	211	4	1
EPP Group in the European Parliament		291699857688	Facebook	w009	Week 9	LU	Luxembourg	1	1	634	253	0	0
Le Monde		14892757589	Facebook	w009	Week 9	LU	Luxembourg	6	1	557	222	0	0
Kialo		729627343834501	Facebook	w009	Week 9	LU	Luxembourg	3	1	550	208	2	0
Council of the European Union		147547541961576	Facebook	w009	Week 9	LU	Luxembourg	1	1	454	227	2	0
Greens/EFA in the European Parliament		150527751674751	Facebook	w009	Week 9	LU	Luxembourg	2	1	355	71	0	0
Pirate Gemeng Munneref		1635877273225433	Facebook	w009	Week 9	LU	Luxembourg	1	1	333	0	33	0
Assistance au Financement Humanitaire		2057244924390350	Facebook	w009	Week 9	LU	Luxembourg	1	1	327	0	28	0
Bali Hope		1311505702264274	Facebook	w009	Week 9	LU	Luxembourg	2	1	181	35	2	0
Abajosergy		530984576994045	Facebook	w009	Week 9	LU	Luxembourg	1	1	175	35	0	0
ALDE Group – Liberals and Democrats in the European Parliament	ALDE Group in the European Parliament. 	123910440019	Facebook	w009	Week 9	LU	Luxembourg	1	1	130	65	0	0
Vive l'Europe		348179586023286	Facebook	w009	Week 9	LU	Luxembourg	1	1	109	54	1	0
Klang der Solidarität		385076005313967	Facebook	w009	Week 9	LU	Luxembourg	1	1	106	21	0	0
Mädels.reisen		2029674127313803	Facebook	w009	Week 9	LU	Luxembourg	1	1	104	0	10	0
Touche pas à ma planète		2174582836142717	Facebook	w009	Week 9	LU	Luxembourg	4	1	92	18	1	0
Lap - Find Family & Friends		254495005225189	Facebook	w009	Week 9	LU	Luxembourg	2	1	69	22	0	0
Petition For A New Nobel Prize For The Fight Against Climate Change	Helene Costa - Petition For A New Nobel Prize For the Fight Against Climate Change	2412593152099304	Facebook	w009	Week 9	LU	Luxembourg	2	1	58	11	1	0
Stowarzyszenie Emigrant Polski		982054681893463	Facebook	w009	Week 9	LU	Luxembourg	1	1	47	9	0	0
Melba Culp		902971599738051	Facebook	w009	Week 9	LU	Luxembourg	5	1	44	14	0	0
Ami Horowitz		42597808880	Facebook	w009	Week 9	LU	Luxembourg	3	1	44	11	0	0
PROGRESĪVIE		184096511636333	Facebook	w009	Week 9	LU	Luxembourg	2	1	37	13	0	0
Milaap		315603771494	Facebook	w009	Week 9	LU	Luxembourg	3	1	34	6	0	0
EU Citizens Alliance		1122069994636814	Facebook	w009	Week 9	LU	Luxembourg	1	1	29	5	0	0
Soviet Visuals		1160495674016675	Facebook	w009	Week 9	LU	Luxembourg	10	1	28	5	0	0
VoteWatch Europe		355087424564148	Facebook	w009	Week 9	LU	Luxembourg	1	1	27	5	0	0
Shopwoah		369904360221896	Facebook	w009	Week 9	LU	Luxembourg	2	1	25	4	0	0
YOGA BURN		146316959083110	Facebook	w009	Week 9	LU	Luxembourg	4	1	24	4	0	0
Tafani's		306374169790036	Facebook	w009	Week 9	LU	Luxembourg	1	1	23	4	0	0
Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	w009	Week 9	LU	Luxembourg	2	1	18	6	0	0
The Munk Debates		259282224084288	Facebook	w009	Week 9	LU	Luxembourg	1	1	18	3	0	0
Banque mondiale		155174084508744	Facebook	w009	Week 9	LU	Luxembourg	7	1	15	1	0	0
FT Content Solutions		1220981994590364	Facebook	w009	Week 9	LU	Luxembourg	2	1	15	3	0	0
Antoine Deymier - Objectif Trader		262641694144122	Facebook	w009	Week 9	LU	Luxembourg	1	1	12	0	1	0
Chug Bottles		1781974005205686	Facebook	w009	Week 9	LU	Luxembourg	1	1	11	5	0	0
Musicians Against Climate Change		1760259647637432	Facebook	w009	Week 9	LU	Luxembourg	2	1	8	1	0	0
Sumatran Orangutan Society (SOS)	Sumatran Orangutan Society	352804059518	Facebook	w009	Week 9	LU	Luxembourg	1	1	7	1	0	0
LANG		300117257365907	Facebook	w009	Week 9	LU	Luxembourg	1	1	6	1	0	0
Columbia University in the City of New York		102471088936	Facebook	w009	Week 9	LU	Luxembourg	1	1	6	2	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	w009	Week 9	LU	Luxembourg	2	1	5	1	0	0
THTC - The Hemp Trading Company		30239959348	Facebook	w009	Week 9	LU	Luxembourg	2	1	5	1	0	0
RSM MBA		110428762358678	Facebook	w009	Week 9	LU	Luxembourg	3	1	5	2	0	0
CreativeTees		687860694745364	Facebook	w009	Week 9	LU	Luxembourg	1	1	4	0	0	0
ETUC		129041250601685	Facebook	w009	Week 9	LU	Luxembourg	1	1	3	1	0	0
XTB Online Trading		138239466852	Facebook	w009	Week 9	LU	Luxembourg	1	1	3	0	0	0
Il Primato Nazionale	Il Primato Nazionale	587689174620699	Facebook	w009	Week 9	LU	Luxembourg	1	1	2	1	0	0
Middle East Monitor	Middle East Monitor	152879306925	Facebook	w009	Week 9	LU	Luxembourg	1	1	2	0	0	0
Lettuce Networks		323302384460728	Facebook	w009	Week 9	LU	Luxembourg	1	1	1	0	0	0
AlternaWeb		1928282787425397	Facebook	w009	Week 9	LU	Luxembourg	1	1	1	0	0	0
European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	w009	Week 9	LU	Luxembourg	1	1	1	0	0	0
Columbia Alumni Association		195421575197	Facebook	w009	Week 9	LU	Luxembourg	2	1	1	0	0	0
Open Society Foundations		18983389920	Facebook	w009	Week 9	LU	Luxembourg	1	1	0	0	0	0
Deutschland.de		31292782350	Facebook	w009	Week 9	LU	Luxembourg	1	1	0	0	0	0
African Union USA		507866149701811	Facebook	w009	Week 9	LU	Luxembourg	1	1	0	0	0	0
Stanford Graduate School of Business		208357009185713	Facebook	w009	Week 9	LU	Luxembourg	1	1	0	0	0	0
TransformingTransport		1635700990066863	Facebook	w009	Week 9	LU	Luxembourg	1	1	0	0	0	0
Harvard Business Review		10423517786	Facebook	w009	Week 9	LU	Luxembourg	1	1	0	0	0	0
Gentle Dental Clinic Crete		387716078000099	Facebook	w009	Week 9	LU	Luxembourg	1	1	0	0	0	0
