advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Europees Parlement Nederland		270788920480	Facebook	50k_100k	50k - 100k	NL	Netherlands	13	1	1299986	649999	8986	3299
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	50k_100k	50k - 100k	NL	Netherlands	10	1	999990	500000	4990	1000
Stichting Vluchteling		120034538112114	Facebook	50k_100k	50k - 100k	NL	Netherlands	10	1	999989	500000	13989	5499
Oxfam Novib		115289021825188	Facebook	50k_100k	50k - 100k	NL	Netherlands	10	1	999979	499994	18989	4099
Lilian Marijnissen	SP	844559615710915	Facebook	50k_100k	50k - 100k	NL	Netherlands	8	1	799988	399998	4491	1199
European Parliament		178362315106	Facebook	50k_100k	50k - 100k	NL	Netherlands	13	1	700119	350063	3993	1100
GroenLinks	GroenLinks	175740570505	Facebook	50k_100k	50k - 100k	NL	Netherlands	7	1	699987	349997	5992	2699
SP	SP	128393027527	Facebook	50k_100k	50k - 100k	NL	Netherlands	6	1	599994	300000	4494	1799
D66	D66	52985377549	Facebook	50k_100k	50k - 100k	NL	Netherlands	6	1	599981	299993	3993	1399
Bas Eickhout	GroenLinks	208578955894331	Facebook	50k_100k	50k - 100k	NL	Netherlands	4	1	399995	199999	3495	1599
asr		512252945544565	Facebook	50k_100k	50k - 100k	NL	Netherlands	3	1	299997	150000	1497	300
Rotterdam		336575811655	Facebook	50k_100k	50k - 100k	NL	Netherlands	3	1	299997	150000	1497	300
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	50k_100k	50k - 100k	NL	Netherlands	3	1	299996	149999	1996	699
Blendle		181375052003138	Facebook	50k_100k	50k - 100k	NL	Netherlands	3	1	299996	149999	2496	1099
De Goede Zaak	DeGoedeZaak	264564577356897	Facebook	50k_100k	50k - 100k	NL	Netherlands	3	1	299957	149980	696	99
Henk Jan Ormel	CDA	823537391322678	Facebook	50k_100k	50k - 100k	NL	Netherlands	3	1	298260	149131	1088	198
Kialo		729627343834501	Facebook	50k_100k	50k - 100k	NL	Netherlands	76	1	288190	144096	1540	464
Prove Them Wrong	Prove Them Wrong	435711596958375	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199998	100000	598	100
VVD		121264564551002	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199998	100000	998	200
Malik Azmani	Malik Azmani	1734459723547461	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199998	100000	597	99
Gemeente Westland		364447323689536	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199998	100000	1498	600
Natuur & Milieu		156571571036057	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199998	100000	1498	600
VVD Noord-Holland		286480434837730	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199998	100000	1998	1000
Stem op een Vrouw		1329572193784367	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199998	100000	997	199
CDA Gelderland		133724653386228	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199998	100000	998	200
Stichting De Noordzee		128160633899802	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199997	100000	997	200
Greenpeace Nederland		288295911466	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	199995	99998	997	199
Dungeon Defenders		107960282569653	Facebook	50k_100k	50k - 100k	NL	Netherlands	19	1	169389	84695	425	69
The Bamboo Brush Society		1152885191422950	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	150164	75083	749	150
Avaaz	Avaaz	8340223883	Facebook	50k_100k	50k - 100k	NL	Netherlands	3	1	113275	56638	654	131
