advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	45_54	45-54	PL	Poland	492	1	2704014	1006592	10516	2105
Gazeta Wyborcza		63563473556	Facebook	45_54	45-54	PL	Poland	394	1	1857186	583959	4150	644
Patryk Jaki		199877710116314	Facebook	45_54	45-54	PL	Poland	237	1	1214596	471470	5488	1221
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	45_54	45-54	PL	Poland	20	1	798451	344673	1500	310
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	45_54	45-54	PL	Poland	109	1	656365	297154	4454	981
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	45_54	45-54	PL	Poland	38	1	582250	231623	1578	421
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	45_54	45-54	PL	Poland	74	1	495187	187483	1069	231
European Parliament		178362315106	Facebook	45_54	45-54	PL	Poland	40	1	447490	208744	1174	353
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	45_54	45-54	PL	Poland	29	1	402704	195485	574	100
Paweł Kobyliński - Poseł na Sejm RP, Kandydat do Parlamentu Europejskiego	Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu	1576591379231457	Facebook	45_54	45-54	PL	Poland	39	1	391575	124636	961	217
Kialo		729627343834501	Facebook	45_54	45-54	PL	Poland	354	1	374555	153835	2435	598
PolEXIT		2001582129931761	Facebook	45_54	45-54	PL	Poland	17	1	336166	131902	717	151
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	45_54	45-54	PL	Poland	55	1	300136	96604	1096	271
Amnesty International Polska		57544755889	Facebook	45_54	45-54	PL	Poland	67	1	266232	89152	866	241
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	45_54	45-54	PL	Poland	32	1	256137	88155	580	116
Dariusz Rosati	CommSense	238903929634988	Facebook	45_54	45-54	PL	Poland	40	1	237803	54373	597	101
Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	45_54	45-54	PL	Poland	39	1	235563	83826	624	153
Greenpeace Polska		32104614789	Facebook	45_54	45-54	PL	Poland	50	1	228928	93718	740	165
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	45_54	45-54	PL	Poland	31	1	220159	83920	786	160
Satronik - Pompy Ciepła		276627982527247	Facebook	45_54	45-54	PL	Poland	6	1	216550	88217	129	25
Paweł Bejda	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	587380481330698	Facebook	45_54	45-54	PL	Poland	84	1	213440	58588	565	91
Sylwia Spurek		1967695263556184	Facebook	45_54	45-54	PL	Poland	18	1	210785	82666	416	111
Kospel S.A.		105979422814402	Facebook	45_54	45-54	PL	Poland	3	1	200622	89139	776	155
Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	45_54	45-54	PL	Poland	26	1	198793	77063	712	159
Parlament Europejski - Biuro w Polsce		405326618416	Facebook	45_54	45-54	PL	Poland	19	1	189610	78176	292	40
