advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	w020	Week 20	PL	Poland	114	1	4900885	2120550	30888	6487
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	w020	Week 20	PL	Poland	48	1	2109874	672334	8240	1750
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	w020	Week 20	PL	Poland	11	1	1961629	836755	3768	956
European Greens		141366725876424	Facebook	w020	Week 20	PL	Poland	15	1	1563508	744234	5645	1228
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	w020	Week 20	PL	Poland	54	1	1340071	459709	3258	810
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	w020	Week 20	PL	Poland	49	1	917148	298483	3661	802
Michał Boni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	693499534003775	Facebook	w020	Week 20	PL	Poland	42	1	775415	207071	1794	238
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	w020	Week 20	PL	Poland	15	1	636819	253349	3110	729
Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	w020	Week 20	PL	Poland	25	1	544338	202941	1901	468
Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	w020	Week 20	PL	Poland	15	1	513830	213087	1315	372
Paweł Kobyliński - Poseł na Sejm RP, Kandydat do Parlamentu Europejskiego	Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu	1576591379231457	Facebook	w020	Week 20	PL	Poland	17	1	498475	174744	1142	232
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	w020	Week 20	PL	Poland	17	1	437775	202396	848	100
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	w020	Week 20	PL	Poland	19	1	431892	98380	784	128
Kamila Gasiuk-Pihowicz	Kamila Gasiuk-Pihowicz	150412465290475	Facebook	w020	Week 20	PL	Poland	21	1	417368	122576	1310	352
Partia Zieloni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	48391402694	Facebook	w020	Week 20	PL	Poland	11	1	384724	136912	1764	325
Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości 	612725748801524	Facebook	w020	Week 20	PL	Poland	15	1	320477	106853	584	111
Beata Mateusiak-Pielucha - Poseł na Sejm RP	Komitet Wyborczy Prawo i Sprawiedliwość	169112936501251	Facebook	w020	Week 20	PL	Poland	18	1	307648	92124	655	88
Janusz Korwin-Mikke	KWW Konfederacja KORWiN Braun Liroy Narodowcy	277681892059	Facebook	w020	Week 20	PL	Poland	3	1	299789	149896	2440	488
Adam Bielan	Adam Bielan	228951150597089	Facebook	w020	Week 20	PL	Poland	6	1	278933	124441	509	162
Jarosław Duda	KKW Koalicja Europejska PO PSL SLD .N ZIELONI	100666510056063	Facebook	w020	Week 20	PL	Poland	13	1	278265	55255	641	104
Parlament Europejski - Biuro w Polsce		405326618416	Facebook	w020	Week 20	PL	Poland	7	1	271947	89036	203	17
Sylwia Spurek		1967695263556184	Facebook	w020	Week 20	PL	Poland	4	1	260996	114999	394	139
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	w020	Week 20	PL	Poland	13	1	256274	102317	389	109
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	w020	Week 20	PL	Poland	13	1	254848	74129	620	115
Paweł Pudłowski	Selectivv	404295586445224	Facebook	w020	Week 20	PL	Poland	20	1	253172	59923	978	143
Łukasz Kohut	KW Wiosna Roberta Biedronia 	1465965073732774	Facebook	w020	Week 20	PL	Poland	4	1	236425	110285	421	149
Gazeta Wyborcza		63563473556	Facebook	w020	Week 20	PL	Poland	20	1	225763	52940	739	69
Greenpeace Polska		32104614789	Facebook	w020	Week 20	PL	Poland	7	1	224945	77986	440	69
Poseł Jakub Rutnicki	KKW Koalicja Europejska PO PSL SLD .N Zieloni	222141244609992	Facebook	w020	Week 20	PL	Poland	15	1	218407	60184	592	127
Parlament Europejski - Biuro we Wrocławiu	Parlament Europejski - Biuro we Wrocławiu	426735034064813	Facebook	w020	Week 20	PL	Poland	1	1	199995	99998	1162	232
Paweł Bejda	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	587380481330698	Facebook	w020	Week 20	PL	Poland	28	1	192576	50656	646	86
Krzysztof Brejza	KKW Koalicja Europejska PO PSL SLD .N Zieloni	120766181437537	Facebook	w020	Week 20	PL	Poland	7	1	185079	83925	285	93
Hubert Czerniak - Włączamy myślenie	Komitet Wyborczy Wyborców Konfederacja Korwin Braun Liroy Narodowcy	798940726870349	Facebook	w020	Week 20	PL	Poland	4	1	180996	66000	324	60
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	w020	Week 20	PL	Poland	5	1	175322	72673	418	57
Jan Olbrycht	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	153098244704447	Facebook	w020	Week 20	PL	Poland	12	1	171465	40654	423	65
Dariusz Rosati	CommSense	238903929634988	Facebook	w020	Week 20	PL	Poland	14	1	170373	39361	432	63
Janusz Lewandowski	KKW Koalicja Europejska PO PSL SLD N Zieloni	75571183641	Facebook	w020	Week 20	PL	Poland	9	1	169816	70652	491	167
Andrzej Buła	KKW Koalicja Europejska PO PSL SLD .N Zieloni	158877910847285	Facebook	w020	Week 20	PL	Poland	11	1	167624	57323	396	42
Amnesty International Polska		57544755889	Facebook	w020	Week 20	PL	Poland	8	1	163188	76436	320	126
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	w020	Week 20	PL	Poland	25	1	160120	45170	856	4
Urszula Pasławska	KWW Koalicja Europejska PO PSL SLD .N Zieloni	149179815186721	Facebook	w020	Week 20	PL	Poland	4	1	159403	34870	369	69
Razem Warmińsko-Mazurskie	KKW Lewica Razem – Razem, Unia Pracy, RSS	875023585928027	Facebook	w020	Week 20	PL	Poland	3	1	149997	29999	69	0
Dominika Chorosińska	Komitet Wyborczy Prawo i Sprawiedliwość	580557092422382	Facebook	w020	Week 20	PL	Poland	6	1	149162	35833	532	106
Jarosław Wałęsa	KKW Koalicja Europejska PO PSL SLD N Zieloni	433052760111334	Facebook	w020	Week 20	PL	Poland	13	1	143967	40863	315	29
Janka Ochojska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	573994789747274	Facebook	w020	Week 20	PL	Poland	11	1	136800	30161	304	23
