advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Greens		141366725876424	Facebook	d135	2019-05-15	104	1	3968623	1753026	22709	5148
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	d135	2019-05-15	104	1	3929180	1733156	5544	1314
FDP	FDP	21289227249	Facebook	d135	2019-05-15	1671	1	3330842	1008316	32785	1549
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	d135	2019-05-15	802	1	2978489	863534	28398	2447
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	d135	2019-05-15	360	1	2351762	974658	11873	2196
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	d135	2019-05-15	115	1	1901984	788213	7963	2729
Partito Democratico	Partito Democratico	77034286895	Facebook	d135	2019-05-15	129	1	1802221	723870	4973	956
România în primul rând	Future Innovation	770704223323599	Facebook	d135	2019-05-15	32	1	1681605	729422	2004	453
sp.a	sp.a	57253967150	Facebook	d135	2019-05-15	194	1	1659758	638037	7112	1434
Parlement européen en France	Parlement européen en France	279757933824	Facebook	d135	2019-05-15	72	1	1617769	705000	9047	2211
SPÖ	SPÖ	77393060080	Facebook	d135	2019-05-15	600	1	1551107	516428	13981	2109
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	d135	2019-05-15	165	1	1544011	554791	4028	261
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	d135	2019-05-15	131	1	1477029	505136	8400	1536
Open Vld	Open Vld	53668151866	Facebook	d135	2019-05-15	205	1	1474070	494551	8864	1830
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	d135	2019-05-15	20	1	1470679	618065	2547	1104
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	d135	2019-05-15	37	1	1468700	613839	1333	426
Make.org	Make.org	122037308191612	Facebook	d135	2019-05-15	20	1	1394368	627970	6577	1469
Kialo		729627343834501	Facebook	d135	2019-05-15	33	1	1377471	278500	11346	2135
Sign for my Future	Sign for my Future	1345513882259768	Facebook	d135	2019-05-15	61	1	1330651	547166	11567	3199
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	d135	2019-05-15	11	1	1283329	553333	2463	613
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	d135	2019-05-15	7	1	1241665	590000	6948	1475
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	d135	2019-05-15	25	1	1229992	532500	2426	520
Fidesz	Fidesz	9844779306	Facebook	d135	2019-05-15	7	1	1149995	525000	2785	1392
Kyriakos Mitsotakis		34848567724	Facebook	d135	2019-05-15	27	1	1119326	458800	1736	256
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	d135	2019-05-15	775	1	1101322	336995	17035	2215
