advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partido Popular	Partido Popular	72249031214	Facebook	extremadura_ES	Extremadura, Spain	493	1	2785519	908460	21977	1798
Ciudadanos	Ciudadanos	74078667754	Facebook	extremadura_ES	Extremadura, Spain	383	1	2732602	804208	37805	2145
Podemos	Unidas Podemos	269212336568846	Facebook	extremadura_ES	Extremadura, Spain	188	1	2125217	966396	12605	3405
PSOE	PSOE	189318235003	Facebook	extremadura_ES	Extremadura, Spain	314	1	1166083	472171	3294	604
Guillermo Fernández Vara	Guillermo Fernández Vara	56504926071	Facebook	extremadura_ES	Extremadura, Spain	11	1	943118	426564	1404	83
PSOE Extremadura	PSOE Extremadura	187170858138979	Facebook	extremadura_ES	Extremadura, Spain	10	1	557068	201415	971	0
European Parliament		178362315106	Facebook	extremadura_ES	Extremadura, Spain	100	1	466556	212400	1639	355
Juan Antonio Morales	Juan Antonio Morales	245685148845187	Facebook	extremadura_ES	Extremadura, Spain	10	1	459735	121948	1700	200
Un país moderno	Unidas Podemos	577723459314066	Facebook	extremadura_ES	Extremadura, Spain	40	1	302425	134849	1839	388
Iberf Formación Agraria		1374326459524978	Facebook	extremadura_ES	Extremadura, Spain	2	1	249998	110000	198	0
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	extremadura_ES	Extremadura, Spain	38	1	206875	92161	350	117
Save the Children España	Save the Children España	57845333112	Facebook	extremadura_ES	Extremadura, Spain	23	1	193287	91685	874	192
Greenpeace España	Greenpeace España	133044800622	Facebook	extremadura_ES	Extremadura, Spain	175	1	182660	69830	581	79
España Ciudadana		349800235527721	Facebook	extremadura_ES	Extremadura, Spain	18	1	154856	67865	783	187
Partido Socialista Europeo		442423976113917	Facebook	extremadura_ES	Extremadura, Spain	34	1	130355	58415	214	15
Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	extremadura_ES	Extremadura, Spain	221	1	117902	45024	900	165
Podemos Recuperar Badajoz		433544440139500	Facebook	extremadura_ES	Extremadura, Spain	6	1	115994	23000	594	0
Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	extremadura_ES	Extremadura, Spain	11	1	104890	47129	587	114
Ayuda LGTB		315021912539118	Facebook	extremadura_ES	Extremadura, Spain	51	1	94751	39390	596	118
Avaaz	Avaaz	8340223883	Facebook	extremadura_ES	Extremadura, Spain	13	1	89069	40448	322	73
Stop Cambio Climático		124967441456981	Facebook	extremadura_ES	Extremadura, Spain	32	1	85820	35459	268	46
Apodemia		115927088504184	Facebook	extremadura_ES	Extremadura, Spain	13	1	80243	34181	38	0
Pablo Iglesias	Unidas Podemos	414809308591481	Facebook	extremadura_ES	Extremadura, Spain	4	1	78331	39165	2837	567
Respeto LGTB		2315084548728652	Facebook	extremadura_ES	Extremadura, Spain	243	1	75676	26580	957	35
Ingredientes que Suman		586540488142205	Facebook	extremadura_ES	Extremadura, Spain	13	1	73328	33618	186	40
