advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	niedersachsen_DE	Niedersachsen, Germany	556	1	6969395	1705113	54194	901
SPD	SPD	47930567748	Facebook	niedersachsen_DE	Niedersachsen, Germany	8561	1	5398416	1555222	106605	6189
FDP	FDP	21289227249	Facebook	niedersachsen_DE	Niedersachsen, Germany	2647	1	4167838	1228572	47356	1893
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	niedersachsen_DE	Niedersachsen, Germany	724	1	3996759	1197124	33528	3010
European Parliament		178362315106	Facebook	niedersachsen_DE	Niedersachsen, Germany	110	1	1557596	707722	11386	3345
Greenpeace Deutschland		22541752487	Facebook	niedersachsen_DE	Niedersachsen, Germany	522	1	1421880	519636	8248	1227
Kialo		729627343834501	Facebook	niedersachsen_DE	Niedersachsen, Germany	527	1	883834	268273	6167	1278
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	niedersachsen_DE	Niedersachsen, Germany	326	1	783973	245693	4874	452
Katarina Barley	SPD	1522202731410785	Facebook	niedersachsen_DE	Niedersachsen, Germany	621	1	767661	209468	7443	435
DIE LINKE	DIE LINKE	47694585682	Facebook	niedersachsen_DE	Niedersachsen, Germany	175	1	702420	267377	2950	424
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	niedersachsen_DE	Niedersachsen, Germany	712	1	574241	136148	7518	194
Campact e.V.	Campact e.V.	82734241364	Facebook	niedersachsen_DE	Niedersachsen, Germany	36	1	505576	220169	2872	697
Covestro		150793518281117	Facebook	niedersachsen_DE	Niedersachsen, Germany	19	1	479737	205672	1402	430
European Greens		141366725876424	Facebook	niedersachsen_DE	Niedersachsen, Germany	44	1	432448	195509	3216	841
IG Metall	IG Metall	249296718436	Facebook	niedersachsen_DE	Niedersachsen, Germany	22	1	329313	151526	1587	379
Klang der Solidarität		385076005313967	Facebook	niedersachsen_DE	Niedersachsen, Germany	82	1	315419	135772	681	91
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	niedersachsen_DE	Niedersachsen, Germany	73	1	305812	112506	1025	134
Avocadostore		312453876194	Facebook	niedersachsen_DE	Niedersachsen, Germany	12	1	287876	61512	1117	0
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	niedersachsen_DE	Niedersachsen, Germany	704	1	279167	90419	7078	675
Grüner Fisher Investments	Grüner Fisher Investments	138832469593845	Facebook	niedersachsen_DE	Niedersachsen, Germany	291	1	235954	67835	9602	1961
Ökologisch-Demokratische Partei (ÖDP)	Ökologisch-Demokratische Partei (ÖDP)	120655374567	Facebook	niedersachsen_DE	Niedersachsen, Germany	42	1	233964	101307	721	119
Bundesregierung		768905426534529	Facebook	niedersachsen_DE	Niedersachsen, Germany	5	1	233276	100406	1977	395
Volt Deutschland	Volt Deutschland	134209407129787	Facebook	niedersachsen_DE	Niedersachsen, Germany	908	1	230807	42560	8141	6
Entega		198244400189055	Facebook	niedersachsen_DE	Niedersachsen, Germany	88	1	230771	78429	4181	947
Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	niedersachsen_DE	Niedersachsen, Germany	27	1	228676	98331	944	164
Danke, Freihandel.	VDMA	226651401514704	Facebook	niedersachsen_DE	Niedersachsen, Germany	253	1	226138	52671	2570	144
ABOUT YOU	ABOUT YOU	689801517732186	Facebook	niedersachsen_DE	Niedersachsen, Germany	5	1	224902	99509	2073	414
CDU CSU Europa	CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament	1790920000965539	Facebook	niedersachsen_DE	Niedersachsen, Germany	97	1	205264	70561	1536	176
CDU in Niedersachsen	CDU in Niedersachsen	109460782417586	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	201592	70319	1512	303
ABB Formula E		490941397612413	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	168784	67514	390	195
Artikel Eins - Initiative für Menschenwürde e.V.		947010102081338	Facebook	niedersachsen_DE	Niedersachsen, Germany	5	1	160092	70144	129	19
Hochschulinitiative Deutschland		883028475156898	Facebook	niedersachsen_DE	Niedersachsen, Germany	57	1	156993	57550	637	49
Dungeon Defenders		107960282569653	Facebook	niedersachsen_DE	Niedersachsen, Germany	270	1	150089	58734	589	57
SPD-Bundestagsfraktion	SPD-Bundestagsfraktion	144380008933707	Facebook	niedersachsen_DE	Niedersachsen, Germany	47	1	141274	30519	546	33
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	niedersachsen_DE	Niedersachsen, Germany	2	1	139310	65225	563	139
AfD	AfD	540404695989874	Facebook	niedersachsen_DE	Niedersachsen, Germany	18	1	136456	55780	826	233
Global Game Changers		241198933439420	Facebook	niedersachsen_DE	Niedersachsen, Germany	5	1	133219	66554	490	96
FDP Burgdorf-Uetze	FDP OV Burgdorf-Uetze	1931006000456181	Facebook	niedersachsen_DE	Niedersachsen, Germany	67	1	131933	19000	6633	0
Tiemo Wölken		1747943185455863	Facebook	niedersachsen_DE	Niedersachsen, Germany	7	1	130856	31972	1042	109
smava		139818439366989	Facebook	niedersachsen_DE	Niedersachsen, Germany	23	1	130365	62756	902	194
SOS-Kinderdörfer weltweit		56497026719	Facebook	niedersachsen_DE	Niedersachsen, Germany	34	1	124663	51142	1339	217
Stoffgewickelt		371431596728634	Facebook	niedersachsen_DE	Niedersachsen, Germany	11	1	121817	59195	227	58
UNO-Flüchtlingshilfe	UNO-Flüchtlingshilfe	236934790401	Facebook	niedersachsen_DE	Niedersachsen, Germany	136	1	120326	34696	1821	241
Arbeitgeberverband Gesamtmetall	Arbeitgeberverband Gesamtmetall	169367889785454	Facebook	niedersachsen_DE	Niedersachsen, Germany	127	1	116062	34496	1375	41
Friedrich-Naumann-Stiftung für die Freiheit		140889782312	Facebook	niedersachsen_DE	Niedersachsen, Germany	82	1	112436	28764	1278	189
Küsten GRÜN	BÜNDNIS 90 / DIE GRÜNEN KV Wilhelmshaven	257513501590942	Facebook	niedersachsen_DE	Niedersachsen, Germany	7	1	107031	21234	1322	176
Elbers Hof		145664535604537	Facebook	niedersachsen_DE	Niedersachsen, Germany	11	1	101989	26000	1489	100
TOMS		290301287805503	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	100944	39121	596	147
Deutsche Post	Deutsche Post	485303194814631	Facebook	niedersachsen_DE	Niedersachsen, Germany	8	1	94244	39673	262	46
UDO VOIGT für Deutschland in Europa		598011190253742	Facebook	niedersachsen_DE	Niedersachsen, Germany	35	1	92902	35092	377	39
Grüne Hannover	BÜNDNIS 90/DIE GRÜNEN Stadtverband Hannover	387862064617610	Facebook	niedersachsen_DE	Niedersachsen, Germany	7	1	90993	27000	1493	200
CineStar		120809951287634	Facebook	niedersachsen_DE	Niedersachsen, Germany	7	1	90287	39549	417	83
Junge Union Deutschlands	Junge Union Deutschlands	46098347293	Facebook	niedersachsen_DE	Niedersachsen, Germany	35	1	89763	23599	528	33
UBS		218020061613734	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	88108	44054	440	88
Frosch		223829854355699	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	87359	43680	87	43
Laut gegen Nazis		53848679944	Facebook	niedersachsen_DE	Niedersachsen, Germany	20	1	83787	17031	588	103
Reservix	Reservix GmbH	135158439833197	Facebook	niedersachsen_DE	Niedersachsen, Germany	27	1	83151	18492	301	0
Udo Bullmann		68936775929	Facebook	niedersachsen_DE	Niedersachsen, Germany	27	1	78552	28051	367	38
DEMOCRACY Deutschland	DEMOCRACY Deutschland e.V. 	1453504428281386	Facebook	niedersachsen_DE	Niedersachsen, Germany	9	1	75720	26286	248	66
Tilman Kuban	Tilman Kuban	1661082517523622	Facebook	niedersachsen_DE	Niedersachsen, Germany	5	1	75697	21140	809	100
MDM Deutsche Münze		126866220711392	Facebook	niedersachsen_DE	Niedersachsen, Germany	12	1	75131	28859	760	136
FinanzAgenda	Union Investment	276690259403364	Facebook	niedersachsen_DE	Niedersachsen, Germany	82	1	74126	17085	952	25
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	niedersachsen_DE	Niedersachsen, Germany	55	1	72655	15968	435	8
Tierschutz hier	Rudolf Görg 	2309063122705796	Facebook	niedersachsen_DE	Niedersachsen, Germany	34	1	72527	15570	765	116
Lena Düpont		241903739847716	Facebook	niedersachsen_DE	Niedersachsen, Germany	7	1	71776	13962	689	0
Kinder in Gefahr - DVCK e.V.		556019341220640	Facebook	niedersachsen_DE	Niedersachsen, Germany	3	1	71209	27883	436	107
Facebook	Facebook	197589525931	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	70375	35188	351	70
ZDF heute	ZDF	112784955679	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	70145	29852	580	111
BDI - Bundesverband der Deutschen Industrie	BDI - Bundesverband der Deutschen Industrie	186206440652	Facebook	niedersachsen_DE	Niedersachsen, Germany	108	1	67156	15489	1183	42
CDU/CSU-Bundestagsfraktion		190784743602	Facebook	niedersachsen_DE	Niedersachsen, Germany	41	1	63668	22924	521	34
Junge Liberale JuLis	Junge Liberale	110976485656573	Facebook	niedersachsen_DE	Niedersachsen, Germany	15	1	61065	23020	586	158
SPD Niedersachsen	SPD Niedersachsen	76866574484	Facebook	niedersachsen_DE	Niedersachsen, Germany	2	1	59998	15000	198	0
Manuel Heise		1874602935952368	Facebook	niedersachsen_DE	Niedersachsen, Germany	3	1	59643	14929	286	0
MENSCHLICHE WELT	Menschliche Welt	245758938922923	Facebook	niedersachsen_DE	Niedersachsen, Germany	66	1	59534	13636	726	44
ZDF	ZDF	154149027994068	Facebook	niedersachsen_DE	Niedersachsen, Germany	2	1	59510	24903	151	59
nucao		1285780774784882	Facebook	niedersachsen_DE	Niedersachsen, Germany	16	1	56733	22573	253	35
Impact Hub Amsterdam		138540482884259	Facebook	niedersachsen_DE	Niedersachsen, Germany	3	1	56073	20376	66	9
Deutschland3000		1672408719723194	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	54706	21882	54	10
WWF Deutschland		218786540044	Facebook	niedersachsen_DE	Niedersachsen, Germany	6	1	53446	24479	564	136
ver.di	la red	252085013582	Facebook	niedersachsen_DE	Niedersachsen, Germany	48	1	51727	17274	690	105
Henrik Hamann		336612176987417	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	49999	10000	499	100
Oberbürgermeisterkandidat Michael von den Berg		256112225304710	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	49999	10000	99	0
Urgewald		173088689389030	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	49999	10000	99	0
Stadtwerke Aurich		1730780393800583	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	49894	9979	98	0
Katapult - Magazin		1511448562405225	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	49166	18039	465	90
Mehr Wirtschaft wagen	Arbeitgeberverband Gesamtmetall	1805769829749530	Facebook	niedersachsen_DE	Niedersachsen, Germany	64	1	48411	13397	659	31
Piratenpartei	Piratenpartei	149871337782	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	48354	19342	483	96
Voltark		116846268711544	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	48010	19826	129	47
ExxonMobil		925007000949719	Facebook	niedersachsen_DE	Niedersachsen, Germany	10	1	47437	19602	340	128
Of Fathers and Sons		568872616777229	Facebook	niedersachsen_DE	Niedersachsen, Germany	22	1	47036	11587	147	14
Sommeruniversität der Friedrich-Ebert-Stiftung		122835944458099	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	46644	18658	46	9
SPD Osnabrück	SPD Osnabrück	188290874515638	Facebook	niedersachsen_DE	Niedersachsen, Germany	3	1	45921	8831	262	0
DGB Bundesvorstand		147245511963527	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	44227	17691	44	8
hallo nachbar		1887933271453851	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	44185	8837	440	88
Jusos Nienburg	SPD-Unterbezirk Nienburg	253819871459590	Facebook	niedersachsen_DE	Niedersachsen, Germany	11	1	43681	10927	1082	0
Bundesministerium für Arbeit und Soziales	Bundesministerium für Arbeit und Soziales	108268845888673	Facebook	niedersachsen_DE	Niedersachsen, Germany	8	1	43053	14244	296	57
Markus Koch		770830049649415	Facebook	niedersachsen_DE	Niedersachsen, Germany	2	1	42571	16988	94	42
Plan International Deutschland		23216224900	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	42438	16124	133	46
VICE Deutschland		434856276671984	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	42031	19881	160	53
Siedler Verlag		545921772214198	Facebook	niedersachsen_DE	Niedersachsen, Germany	4	1	41920	15726	97	18
KfW		2267695033248801	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	41911	16764	419	83
Europe Direct Informationszentrum Ostfriesland		168918329940581	Facebook	niedersachsen_DE	Niedersachsen, Germany	1	1	41572	8314	82	0
