advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPD	SPD	47930567748	Facebook	d098	2019-04-08	DE	Germany	1134	1	5770855	1511533	150530	9498
Katarina Barley	SPD	1522202731410785	Facebook	d098	2019-04-08	DE	Germany	6	1	509978	224992	1793	299
CDU/CSU-Bundestagsfraktion		190784743602	Facebook	d098	2019-04-08	DE	Germany	23	1	389941	137987	2676	99
European Parliament		178362315106	Facebook	d098	2019-04-08	DE	Germany	59	1	303342	132808	2731	835
Artikel Eins - Initiative für Menschenwürde e.V.		947010102081338	Facebook	d098	2019-04-08	DE	Germany	5	1	171069	69854	163	21
Bundesregierung		768905426534529	Facebook	d098	2019-04-08	DE	Germany	1	1	166654	66662	1666	333
Trenntstadt Berlin		115640571822180	Facebook	d098	2019-04-08	DE	Germany	2	1	99998	20000	198	0
Klang der Solidarität		385076005313967	Facebook	d098	2019-04-08	DE	Germany	54	1	90482	40743	223	34
Hochschulinitiative Deutschland		883028475156898	Facebook	d098	2019-04-08	DE	Germany	9	1	79933	20983	890	0
KfW		2267695033248801	Facebook	d098	2019-04-08	DE	Germany	1	1	71375	28550	713	142
wachsverpackt		811583129176833	Facebook	d098	2019-04-08	DE	Germany	19	1	54765	9348	1319	81
MDM Deutsche Münze		126866220711392	Facebook	d098	2019-04-08	DE	Germany	3	1	51935	9988	696	99
World Vision Deutschland e.V.		136260152219	Facebook	d098	2019-04-08	DE	Germany	2	1	49850	9970	98	0
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	d098	2019-04-08	DE	Germany	1	1	49721	9944	98	0
Udo Bullmann		68936775929	Facebook	d098	2019-04-08	DE	Germany	14	1	46739	16518	224	12
ExxonMobil		925007000949719	Facebook	d098	2019-04-08	DE	Germany	8	1	42916	17806	313	124
Bud Spencer & Terence Hill		478719615593928	Facebook	d098	2019-04-08	DE	Germany	2	1	39530	17893	95	16
DEMOCRACY Deutschland	DEMOCRACY Deutschland e.V. 	1453504428281386	Facebook	d098	2019-04-08	DE	Germany	2	1	36665	13999	99	39
Privatinvestor Politik Spezial		414014872673187	Facebook	d098	2019-04-08	DE	Germany	3	1	36353	15152	97	36
Global Game Changers		241198933439420	Facebook	d098	2019-04-08	DE	Germany	4	1	33477	16726	128	25
Greenpeace Deutschland		22541752487	Facebook	d098	2019-04-08	DE	Germany	1	1	33332	16666	83	16
Frosch		223829854355699	Facebook	d098	2019-04-08	DE	Germany	1	1	33312	16656	33	16
Kialo		729627343834501	Facebook	d098	2019-04-08	DE	Germany	6	1	32298	14705	384	80
Campact e.V.	Campact e.V.	82734241364	Facebook	d098	2019-04-08	DE	Germany	5	1	28540	13785	144	28
FXCM Deutschland		135468543147955	Facebook	d098	2019-04-08	DE	Germany	7	1	28426	13984	630	127
