advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	d036	2019-02-05	DK	Denmark	92	1	29501	8554	220	51
Folkets Klimamarch København		577025295827304	Facebook	d036	2019-02-05	DK	Denmark	1	1	16666	3333	223	44
Gitte Willumsen - Folketingskandidat for Venstre	Willumsen Gitte	1751959911736210	Facebook	d036	2019-02-05	DK	Denmark	4	1	15412	5688	70	17
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	d036	2019-02-05	DK	Denmark	11	1	15399	3439	59	16
World Animal Protection Danmark		33588644626	Facebook	d036	2019-02-05	DK	Denmark	5	1	9977	4129	118	26
Benny Engelbrecht		270431402967189	Facebook	d036	2019-02-05	DK	Denmark	2	1	8249	2250	21	4
Læger uden Grænser (MSF)		99632942471	Facebook	d036	2019-02-05	DK	Denmark	22	1	6026	1183	33	9
Finlow VVS A/S		198770727303156	Facebook	d036	2019-02-05	DK	Denmark	2	1	5109	2189	9	1
Dyrenes Beskyttelse		200709746630443	Facebook	d036	2019-02-05	DK	Denmark	4	1	4999	1093	50	12
Morten Løkkegaard		143232155749217	Facebook	d036	2019-02-05	DK	Denmark	2	1	2713	1142	15	2
Charlotte Munch - Politiker		210317432480139	Facebook	d036	2019-02-05	DK	Denmark	1	1	2497	499	6	0
Nanna Bonde	Ottosen Nanna Bonde	470433920022890	Facebook	d036	2019-02-05	DK	Denmark	3	1	2495	873	32	0
Folkekirkens Nødhjælps Ungdom - NU		247233348655576	Facebook	d036	2019-02-05	DK	Denmark	8	1	2463	558	31	7
Den Blå Planet		167018996755220	Facebook	d036	2019-02-05	DK	Denmark	1	1	2222	1111	7	1
Susanna Dyre-Greensite		178957012989198	Facebook	d036	2019-02-05	DK	Denmark	4	1	2207	416	29	5
Røde Kors		65929129383	Facebook	d036	2019-02-05	DK	Denmark	5	1	1739	478	8	2
Afrika Kontakt		194452460650048	Facebook	d036	2019-02-05	DK	Denmark	2	1	1428	285	19	3
Peter Seier Christensen	Peter Seier Christensen	1104790642968068	Facebook	d036	2019-02-05	DK	Denmark	2	1	1212	242	3	1
DCA - Nationalt Center for Fødevarer og Jordbrug		1576457052577638	Facebook	d036	2019-02-05	DK	Denmark	1	1	666	333	4	0
Henrik Vinther		735451349926508	Facebook	d036	2019-02-05	DK	Denmark	1	1	370	185	2	0
Mette Thiesen	Mette Thiesen	718327901589937	Facebook	d036	2019-02-05	DK	Denmark	3	1	236	74	2	0
Love the Sea		243073559696147	Facebook	d036	2019-02-05	DK	Denmark	1	1	195	39	3	0
Inger Staahl Jensen i Europa-Parlamentet		586553418054920	Facebook	d036	2019-02-05	DK	Denmark	1	1	187	0	2	0
Ditte Helene Rasmussen		1695279804109365	Facebook	d036	2019-02-05	DK	Denmark	1	1	142	0	1	0
eToro		193863317737	Facebook	d036	2019-02-05	DK	Denmark	1	1	89	44	0	0
Folketingskandidat - Claus Bøgh Svenningsen		1392451360871381	Facebook	d036	2019-02-05	DK	Denmark	2	1	76	0	1	0
Simple Feast		571176036346620	Facebook	d036	2019-02-05	DK	Denmark	1	1	72	36	0	0
By Rose Maria		1512223189099633	Facebook	d036	2019-02-05	DK	Denmark	1	1	54	11	0	0
Le Monde		14892757589	Facebook	d036	2019-02-05	DK	Denmark	5	1	11	4	0	0
Soviet Visuals		1160495674016675	Facebook	d036	2019-02-05	DK	Denmark	6	1	4	0	0	0
Columbia University in the City of New York		102471088936	Facebook	d036	2019-02-05	DK	Denmark	1	1	4	1	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d036	2019-02-05	DK	Denmark	1	1	1	0	0	0
Harvard Business Review		10423517786	Facebook	d036	2019-02-05	DK	Denmark	1	1	1	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d036	2019-02-05	DK	Denmark	2	1	0	0	0	0
Sosialidemokraatit SDP		108945982480217	Facebook	d036	2019-02-05	DK	Denmark	1	1	0	0	0	0
Open Society Foundations		18983389920	Facebook	d036	2019-02-05	DK	Denmark	1	1	0	0	0	0
FT Content Solutions		1220981994590364	Facebook	d036	2019-02-05	DK	Denmark	2	1	0	0	0	0
Petition For A New Nobel Prize For The Fight Against Climate Change	Helene Costa - Petition For A New Nobel Prize For the Fight Against Climate Change	2412593152099304	Facebook	d036	2019-02-05	DK	Denmark	1	1	0	0	0	0
YOGA BURN		146316959083110	Facebook	d036	2019-02-05	DK	Denmark	1	1	0	0	0	0
RSM MBA		110428762358678	Facebook	d036	2019-02-05	DK	Denmark	1	1	0	0	0	0
Andrew Zbik - Lane Cove - Labor		1599877663573922	Facebook	d036	2019-02-05	DK	Denmark	1	1	0	0	0	0
Columbia Alumni Association		195421575197	Facebook	d036	2019-02-05	DK	Denmark	2	1	0	0	0	0
OZY		1393911800825140	Facebook	d036	2019-02-05	DK	Denmark	1	1	0	0	0	0
