advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	aragon	Aragón	ES	Spain	4544	1	6297985	604469	441116	100
Ciudadanos	Ciudadanos	74078667754	Facebook	aragon	Aragón	ES	Spain	705	1	4281783	1083484	61540	2089
Jorge Azcón	Partido Popular Ayuntamiento de Zaragoza	1005758609559650	Facebook	aragon	Aragón	ES	Spain	350	1	1490650	360000	35450	200
Podemos	Unidas Podemos	269212336568846	Facebook	aragon	Aragón	ES	Spain	143	1	1459632	627525	2875	893
Partido Popular	Partido Popular	72249031214	Facebook	aragon	Aragón	ES	Spain	673	1	1443285	386970	19464	321
Podemos Aragón	Podemos Equo	570770963015441	Facebook	aragon	Aragón	ES	Spain	8	1	864761	335899	2089	600
Pilar Alegría 2019	PSOE Aragón	1603193216419322	Facebook	aragon	Aragón	ES	Spain	360	1	605640	62000	35640	0
Colores Contra la Violencia		491948314339036	Facebook	aragon	Aragón	ES	Spain	22	1	564427	141084	1983	0
Elena Allué ZGZ	Partido Aragonés	1066267686904935	Facebook	aragon	Aragón	ES	Spain	16	1	274993	67001	1885	100
Ciudadanos Aragón	Ciudadanos Aragón	246074155529623	Facebook	aragon	Aragón	ES	Spain	9	1	220991	44000	891	0
Cs Zaragoza	Ciudadanos Zaragoza	362982070559555	Facebook	aragon	Aragón	ES	Spain	4	1	159996	35000	396	0
Espacio Municipalista por Teruel	PODEMOS - EQUO	259729308314802	Facebook	aragon	Aragón	ES	Spain	4	1	154996	31000	796	100
Puyalón de Cuchas	Puyalon de Cuchas	265047063604121	Facebook	aragon	Aragón	ES	Spain	14	1	133815	25599	1329	0
Zaragoza en Común	Zaragoza en Común	1404651893174804	Facebook	aragon	Aragón	ES	Spain	12	1	111988	31000	1188	0
Partido Popular de Aragón		132850536742025	Facebook	aragon	Aragón	ES	Spain	2	1	99998	20000	198	0
IU Aragón	IU Aragón	178663732095	Facebook	aragon	Aragón	ES	Spain	6	1	89994	27000	594	0
Arturo Aliaga López	PAR	696833660500986	Facebook	aragon	Aragón	ES	Spain	4	1	74165	20606	787	99
Ganar Teruel	Ganar Teruel	1564635077131450	Facebook	aragon	Aragón	ES	Spain	2	1	54998	11000	198	0
Centro de Documentación del Agua y el Medio Ambiente		310143055680901	Facebook	aragon	Aragón	ES	Spain	3	1	51997	10000	297	0
Denuncia Ciudadana La 17 Z Televisión		1649749408633121	Facebook	aragon	Aragón	ES	Spain	2	1	50897	10000	188	0
Victor Salvo		1763577623922354	Facebook	aragon	Aragón	ES	Spain	1	1	49999	10000	88	0
Cs Huesca	Ciudadanos Aragón	406590509518850	Facebook	aragon	Aragón	ES	Spain	4	1	34996	16000	396	0
Cs Teruel	Ciudadanos Aragón	1547534802182236	Facebook	aragon	Aragón	ES	Spain	5	1	25689	7901	490	0
Un país moderno	Unidas Podemos	577723459314066	Facebook	aragon	Aragón	ES	Spain	38	1	24957	11617	128	27
Izquierda Unida Utebo		182483486226	Facebook	aragon	Aragón	ES	Spain	4	1	20996	7000	396	0
