advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPÖ	SPÖ	77393060080	Facebook	rd3	Last 3 days	AT	Austria	614	1	4647062	1541660	42796	6262
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	rd3	Last 3 days	AT	Austria	1344	1	2719863	599551	58103	1428
Die Grünen	Die Grünen	21759893033	Facebook	rd3	Last 3 days	AT	Austria	61	1	2250054	824727	19882	4189
European Parliament		178362315106	Facebook	rd3	Last 3 days	AT	Austria	19	1	1235435	487852	8246	1624
Stadt Wien	Stadt Wien	110971788921077	Facebook	rd3	Last 3 days	AT	Austria	50	1	1043487	419749	5112	1050
Andreas Schieder	SPÖ	290881691011354	Facebook	rd3	Last 3 days	AT	Austria	51	1	621883	194289	6430	1042
kontrast.at	kontrast.at	1079650008770485	Facebook	rd3	Last 3 days	AT	Austria	30	1	586240	209584	3609	548
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	rd3	Last 3 days	AT	Austria	117	1	566292	130333	6019	493
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	rd3	Last 3 days	AT	Austria	528	1	514277	127180	7636	131
European Greens		141366725876424	Facebook	rd3	Last 3 days	AT	Austria	14	1	510123	223106	3930	778
Othmar Karas	Volkspartei	395638503864459	Facebook	rd3	Last 3 days	AT	Austria	350	1	474379	92866	12433	323
Europäisches Parlament Österreich		124468054313069	Facebook	rd3	Last 3 days	AT	Austria	34	1	451599	186119	1872	634
1Europa	Peter Glawischnig	320389701908367	Facebook	rd3	Last 3 days	AT	Austria	20	1	331041	79285	2510	340
Die neue SPÖ Tirol	SPÖ Tirol	172040642860223	Facebook	rd3	Last 3 days	AT	Austria	34	1	321687	78615	2738	0
Werner Kogler	Die Grünen	133612666671985	Facebook	rd3	Last 3 days	AT	Austria	6	1	267383	93977	2671	514
Claudia Gamon	NEOS	447992848717452	Facebook	rd3	Last 3 days	AT	Austria	15	1	265983	61999	1884	99
Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	rd3	Last 3 days	AT	Austria	19	1	260359	102945	2159	492
NR KLUB JETZT	NR KLUB JETZT	833013456857401	Facebook	rd3	Last 3 days	AT	Austria	19	1	259981	54000	3481	400
Sarah Wiener	Die Grünen	970529566390833	Facebook	rd3	Last 3 days	AT	Austria	7	1	254035	92057	2105	714
OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	rd3	Last 3 days	AT	Austria	12	1	248323	59666	1023	0
Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	rd3	Last 3 days	AT	Austria	4	1	234996	95000	621	75
