advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	telsiai_county_LT	Telšiai County, Lithuania	44	1	562397	252863	842	174
European Parliament		178362315106	Facebook	telsiai_county_LT	Telšiai County, Lithuania	52	1	431595	185479	1899	469
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	telsiai_county_LT	Telšiai County, Lithuania	43	1	337932	147376	503	82
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	telsiai_county_LT	Telšiai County, Lithuania	68	1	216707	78036	565	36
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	telsiai_county_LT	Telšiai County, Lithuania	96	1	133474	32899	600	12
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	telsiai_county_LT	Telšiai County, Lithuania	28	1	109640	44988	352	82
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	telsiai_county_LT	Telšiai County, Lithuania	32	1	106771	39803	323	25
Darbo partija	Darbo partija	264116120225	Facebook	telsiai_county_LT	Telšiai County, Lithuania	19	1	56246	20277	252	14
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)	TS-LKD	198988713464683	Facebook	telsiai_county_LT	Telšiai County, Lithuania	18	1	38067	14670	140	12
Prof. Dr. Stanislovas Tomas, Advokatas		1049345465226776	Facebook	telsiai_county_LT	Telšiai County, Lithuania	4	1	37354	14179	82	27
Europos Komisijos atstovybė Lietuvoje		76783564232	Facebook	telsiai_county_LT	Telšiai County, Lithuania	5	1	35039	17519	82	15
Bronis Ropė		216419471860983	Facebook	telsiai_county_LT	Telšiai County, Lithuania	9	1	33698	6722	92	0
European Commission		107898832590939	Facebook	telsiai_county_LT	Telšiai County, Lithuania	11	1	30785	13682	94	12
Kialo		729627343834501	Facebook	telsiai_county_LT	Telšiai County, Lithuania	321	1	29473	12091	167	38
Arvydas Juozaitis	Arvydas Juozaitis	458551247900215	Facebook	telsiai_county_LT	Telšiai County, Lithuania	10	1	28569	7390	110	14
Liberalai	Liberalai	81004804444	Facebook	telsiai_county_LT	Telšiai County, Lithuania	43	1	26745	7149	304	6
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	telsiai_county_LT	Telšiai County, Lithuania	18	1	25259	5553	94	0
Už Ingridą		2214495192154107	Facebook	telsiai_county_LT	Telšiai County, Lithuania	4	1	25250	10350	121	0
Tomas Tomilinas - naujienos		530620843630609	Facebook	telsiai_county_LT	Telšiai County, Lithuania	13	1	21855	8517	93	5
Aušra Maldeikienė		1650670061877646	Facebook	telsiai_county_LT	Telšiai County, Lithuania	13	1	21207	6248	137	16
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	telsiai_county_LT	Telšiai County, Lithuania	26	1	17558	4115	181	0
Petras Auštrevičius		1482024028702535	Facebook	telsiai_county_LT	Telšiai County, Lithuania	8	1	15383	7365	71	9
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	telsiai_county_LT	Telšiai County, Lithuania	46	1	14787	6876	33	9
Vilija Blinkevičiūtė	Lietuvos socialdemokratų partija - LSDP	1551002341778947	Facebook	telsiai_county_LT	Telšiai County, Lithuania	6	1	13094	2601	43	0
Lietuvos žinios		295643800462487	Facebook	telsiai_county_LT	Telšiai County, Lithuania	1	1	12643	6321	6	0
