advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FDP	FDP	21289227249	Facebook	rd1	Yesterday	DE	Germany	1982	1	3756590	1068785	48179	1549
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd1	Yesterday	DE	Germany	1455	1	3324162	869534	60321	2347
European Parliament		178362315106	Facebook	rd1	Yesterday	DE	Germany	21	1	1615380	725923	8760	2009
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	rd1	Yesterday	DE	Germany	10	1	1358330	623333	6780	1741
DIE LINKE	DIE LINKE	47694585682	Facebook	rd1	Yesterday	DE	Germany	204	1	867336	300489	4703	335
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	rd1	Yesterday	DE	Germany	142	1	593672	211932	3413	423
Greenpeace Deutschland		22541752487	Facebook	rd1	Yesterday	DE	Germany	231	1	581687	188893	4678	587
ABOUT YOU	ABOUT YOU	689801517732186	Facebook	rd1	Yesterday	DE	Germany	3	1	499999	224999	3749	749
Volt Deutschland	Volt Deutschland	134209407129787	Facebook	rd1	Yesterday	DE	Germany	819	1	493071	89021	18107	20
European Greens		141366725876424	Facebook	rd1	Yesterday	DE	Germany	11	1	487234	212913	3694	738
Campact e.V.	Campact e.V.	82734241364	Facebook	rd1	Yesterday	DE	Germany	30	1	475913	194329	2771	581
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	rd1	Yesterday	DE	Germany	42	1	292813	61999	2121	33
IG Metall	IG Metall	249296718436	Facebook	rd1	Yesterday	DE	Germany	6	1	291665	137833	1527	305
Ökologisch-Demokratische Partei (ÖDP)	Ökologisch-Demokratische Partei (ÖDP)	120655374567	Facebook	rd1	Yesterday	DE	Germany	19	1	274450	122535	731	127
AfD	AfD	540404695989874	Facebook	rd1	Yesterday	DE	Germany	15	1	177496	68749	1055	266
ver.di	la red	252085013582	Facebook	rd1	Yesterday	DE	Germany	48	1	143104	51499	1958	356
