advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sosialidemokraatit SDP		108945982480217	Facebook	m65_	male (65+)	FI	Finland	229	1	1333524	502380	9199	2003
Kokoomus	Kokoomus	201285237101	Facebook	m65_	male (65+)	FI	Finland	766	1	206747	30434	9305	247
Piia Kurki	Piia Kurki	270567833058986	Facebook	m65_	male (65+)	FI	Finland	33	1	106753	24630	1086	153
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	m65_	male (65+)	FI	Finland	41	1	103979	37765	1140	232
European Parliament		178362315106	Facebook	m65_	male (65+)	FI	Finland	53	1	87381	29806	863	169
Svenska folkpartiet i Finland - RKP	Svenska folkpartiet i Finland - RKP	191883307265	Facebook	m65_	male (65+)	FI	Finland	50	1	76454	22375	521	13
Petri Sarvamaa	Petri Sarvamaa	164624737027350	Facebook	m65_	male (65+)	FI	Finland	18	1	66243	14737	764	135
WWF Suomi		119054448115588	Facebook	m65_	male (65+)	FI	Finland	25	1	63019	30703	274	60
Vihreät - De Gröna	Vihreät - De Gröna	33722070600	Facebook	m65_	male (65+)	FI	Finland	87	1	51665	18302	238	32
Liike Nyt		194677504471503	Facebook	m65_	male (65+)	FI	Finland	25	1	50214	12433	450	78
Viite - Tieteen ja teknologian vihreät		73631194779	Facebook	m65_	male (65+)	FI	Finland	6	1	44808	17662	69	8
Neste		1083597725003936	Facebook	m65_	male (65+)	FI	Finland	1	1	44457	17783	444	88
Eurovaaliehdokas Kari Kallonen	Kallonen Kari Markku	2130226653737235	Facebook	m65_	male (65+)	FI	Finland	32	1	43971	10016	620	34
Elsi Katainen		190042298268350	Facebook	m65_	male (65+)	FI	Finland	35	1	43889	9970	544	24
Finlands svenska socialdemokrater - FSD		174819292560785	Facebook	m65_	male (65+)	FI	Finland	24	1	37895	7975	285	36
Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	m65_	male (65+)	FI	Finland	107	1	36099	5859	1338	0
Camilla Gunell till EU 2019	Socialdemokraterna på Åland	360575481205047	Facebook	m65_	male (65+)	FI	Finland	18	1	35895	7823	389	60
Antton Rönnholm	Antton Rönnholm	575908612596562	Facebook	m65_	male (65+)	FI	Finland	36	1	35116	10519	391	43
Teuvo Hakkarainen	Riekkovaara Niko Tapani	198979100169761	Facebook	m65_	male (65+)	FI	Finland	7	1	34763	7726	99	0
Paula Aikio-Tallgren EU-vaaliehdokas	Pohjoisen asian osaajat ry	510346432432044	Facebook	m65_	male (65+)	FI	Finland	43	1	32878	9370	583	13
Henna Virkkunen	Henna Virkkunen	120537424633927	Facebook	m65_	male (65+)	FI	Finland	54	1	27579	8000	363	6
Karri Ollila Europarlamenttiin 2019	Karri Ollila	300059733998436	Facebook	m65_	male (65+)	FI	Finland	22	1	26287	6727	354	19
Olli Kotro Euroopan parlamenttiin 2019	Kauko Niko Aleksanteri	2211654885785838	Facebook	m65_	male (65+)	FI	Finland	21	1	24746	7217	423	35
Janne Kaisanlahti		309381625805373	Facebook	m65_	male (65+)	FI	Finland	27	1	23999	4987	454	10
Harri Salonen		610646839145678	Facebook	m65_	male (65+)	FI	Finland	30	1	22012	5885	335	0
