advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kokoomus	Kokoomus	201285237101	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	91	1	73718	2840	6199	4
Etelä-Pohjanmaan vihreät		199931586695495	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	1	1	49999	10000	499	100
Sosialidemokraatit SDP		108945982480217	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	270	1	38176	14823	246	53
Aku Autio, eduskuntavaaliehdokas		343943635698964	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	7	1	23760	7392	514	0
Mikko Savola		129144617101783	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	4	1	16270	4728	273	0
European Parliament		178362315106	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	90	1	16170	7324	136	46
Kristillisdemokraatti Pentti Ahopelto Alavus		1864068310518405	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	4	1	10122	1625	358	0
Pohjanmaan Vasemmisto		150360151687243	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	4	1	8110	1222	319	0
Keskusta	Suomen Keskusta	55312855747	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	9	1	7829	3837	78	0
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	15	1	6708	1937	93	4
Tuomas Ojajärvi		1480877175509481	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	2	1	6062	1212	120	0
Elsi Katainen		190042298268350	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	29	1	5755	1379	71	0
Kansanedustajaehdokas Juha Mäenpää		645375872239978	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	1	1	4999	1000	99	0
Lasse Hautala		265380614163554	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	1	1	4970	994	98	0
Vihreät - De Gröna	Vihreät - De Gröna	33722070600	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	99	1	4320	1610	28	4
WWF Suomi		119054448115588	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	25	1	4095	1923	15	3
Lotta Alhonnoro		897371603607419	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	5	1	3894	718	101	0
Tobias Simon - Vihreät De Grönä		600039880201042	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	7	1	3886	0	385	0
Tuija Leivo-Rintakorpi nro 109 eduskuntaan Vaasan vaalipiiristä		1185687531598211	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	2	1	3845	1771	43	0
Henna Virkkunen	Henna Virkkunen	120537424633927	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	34	1	3335	822	52	0
Leena Zittling - Eurovaaliehdokas 2019 - KOK	Miettinen Pasi Olavi	804330503290879	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	8	1	3106	1098	102	0
Perussuomalaiset	Perussuomalaiset	181106108341	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	13	1	2887	1031	26	6
Anna Sirkiä	Anna Sirkiä	115751458577078	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	19	1	2700	535	55	0
Laura Ala-Kokko		115745171909257	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	4	1	2699	539	53	0
Heli Hämäläinen - Vihreät		394230034302293	Facebook	southern_ostrobothnia	Southern Ostrobothnia	FI	Finland	2	1	2519	915	86	0
