advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
2 Min Ecologie		433170297221149	Facebook	d056	2019-02-25	FR	France	10	1	440090	186563	7580	1696
Mon Energie Verte		252140872017180	Facebook	d056	2019-02-25	FR	France	18	1	57982	10000	1782	0
Kialo		729627343834501	Facebook	d056	2019-02-25	FR	France	2	1	51166	10233	98	2
Revue Immobilière & Fiscale		130043227657008	Facebook	d056	2019-02-25	FR	France	6	1	29994	6000	594	0
350.org		12185972707	Facebook	d056	2019-02-25	FR	France	5	1	25622	5124	144	22
Épargne Malin		1864684416941008	Facebook	d056	2019-02-25	FR	France	2	1	17945	7691	640	128
Le Monde		14892757589	Facebook	d056	2019-02-25	FR	France	6	1	16006	6395	17	2
Europe des Nations et des Libertés		496157854120224	Facebook	d056	2019-02-25	FR	France	1	1	14281	7141	71	14
Festival Amnesty International Au Cinéma pour les Droits Humains		1263015460431177	Facebook	d056	2019-02-25	FR	France	7	1	13495	3494	55	0
Agence Isolation Pour Tous		568528630290119	Facebook	d056	2019-02-25	FR	France	6	1	12760	3916	82	24
Albioma		2029944603927727	Facebook	d056	2019-02-25	FR	France	4	1	12389	5831	27	4
Klang der Solidarität		385076005313967	Facebook	d056	2019-02-25	FR	France	12	1	11804	5270	24	1
VeganbottleGo		320828511985253	Facebook	d056	2019-02-25	FR	France	1	1	6665	2666	13	6
LIFE		167060196653670	Facebook	d056	2019-02-25	FR	France	1	1	6249	1249	12	0
Eco et Moi		249837975886193	Facebook	d056	2019-02-25	FR	France	4	1	5327	999	131	0
The Migrant Project in France - Farsi		554702365036526	Facebook	d056	2019-02-25	FR	France	1	1	4999	2499	30	0
Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	d056	2019-02-25	FR	France	1	1	4543	908	8	0
Ultra Premium Direct		241324402728111	Facebook	d056	2019-02-25	FR	France	11	1	4333	1464	52	10
MediaNews		1849142045325091	Facebook	d056	2019-02-25	FR	France	8	1	3496	624	98	0
Diffuz Solidaire		135590433555491	Facebook	d056	2019-02-25	FR	France	5	1	3355	705	46	16
Matthieu Chamussy		531097396924288	Facebook	d056	2019-02-25	FR	France	1	1	3333	1666	33	0
Biocoop Regain La Rochelle		147543612663128	Facebook	d056	2019-02-25	FR	France	1	1	2499	500	49	0
Un citoyen 2019		415805709187581	Facebook	d056	2019-02-25	FR	France	3	1	2255	1085	14	2
Abajosergy		530984576994045	Facebook	d056	2019-02-25	FR	France	1	1	2175	435	4	0
Golden News		259599074587234	Facebook	d056	2019-02-25	FR	France	2	1	1998	0	198	0
