advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m35_44	male (35-44)	HR	Croatia	41	1	912960	433950	2923	690
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	m35_44	male (35-44)	HR	Croatia	62	1	581321	257157	876	43
Valter Flego	Valter Flego	441675022557503	Facebook	m35_44	male (35-44)	HR	Croatia	61	1	432490	117656	1253	148
Kialo		729627343834501	Facebook	m35_44	male (35-44)	HR	Croatia	317	1	228109	96389	1149	291
European Greens		141366725876424	Facebook	m35_44	male (35-44)	HR	Croatia	40	1	224722	93044	563	142
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	m35_44	male (35-44)	HR	Croatia	28	1	223405	71090	442	15
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	m35_44	male (35-44)	HR	Croatia	27	1	211590	53430	606	53
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	m35_44	male (35-44)	HR	Croatia	30	1	204279	67969	510	93
pametno.org	pametno.org	144815235686385	Facebook	m35_44	male (35-44)	HR	Croatia	24	1	202394	83128	342	11
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	m35_44	male (35-44)	HR	Croatia	45	1	200686	72886	704	46
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	m35_44	male (35-44)	HR	Croatia	66	1	188163	53486	841	8
Ruža Tomašić		1434305366791182	Facebook	m35_44	male (35-44)	HR	Croatia	40	1	167999	45524	399	0
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	m35_44	male (35-44)	HR	Croatia	21	1	164980	49601	411	41
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	m35_44	male (35-44)	HR	Croatia	12	1	101706	35189	190	22
Eclectica		1379977375431894	Facebook	m35_44	male (35-44)	HR	Croatia	1	1	89908	44954	400	80
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	m35_44	male (35-44)	HR	Croatia	10	1	65016	19809	154	9
Bandić Milan 365 - Stranka rada i solidarnosti		350640391803012	Facebook	m35_44	male (35-44)	HR	Croatia	1	1	54589	21835	48	9
Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	m35_44	male (35-44)	HR	Croatia	16	1	51160	21833	268	19
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	m35_44	male (35-44)	HR	Croatia	3	1	49801	20683	40	0
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	m35_44	male (35-44)	HR	Croatia	22	1	47682	10762	306	27
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	m35_44	male (35-44)	HR	Croatia	16	1	47628	14577	150	0
Nova ljevica	Markovina Dragan	706769699498076	Facebook	m35_44	male (35-44)	HR	Croatia	18	1	45264	11021	230	14
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m35_44	male (35-44)	HR	Croatia	34	1	45047	13349	97	7
Zoran Bahtijarević		2195720960680577	Facebook	m35_44	male (35-44)	HR	Croatia	4	1	42579	20166	122	22
Nikolina Brnjac	HDZ - Hrvatska demokratska zajednica	287054392229717	Facebook	m35_44	male (35-44)	HR	Croatia	10	1	41681	10046	125	0
