advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm1	Last month	HR	Croatia	29	1	7825549	3580170	23854	5789
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	rm1	Last month	HR	Croatia	68	1	6108723	2689898	8089	478
Valter Flego	Valter Flego	441675022557503	Facebook	rm1	Last month	HR	Croatia	72	1	3487193	1033184	10600	1334
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	rm1	Last month	HR	Croatia	36	1	2435964	830000	6109	979
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	rm1	Last month	HR	Croatia	40	1	1912388	703285	5654	534
pametno.org	pametno.org	144815235686385	Facebook	rm1	Last month	HR	Croatia	28	1	1769340	696800	2876	88
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	rm1	Last month	HR	Croatia	75	1	1458925	384000	7302	89
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	rm1	Last month	HR	Croatia	23	1	1174977	301000	3094	267
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	rm1	Last month	HR	Croatia	19	1	1109368	314781	2927	288
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	rm1	Last month	HR	Croatia	13	1	1015986	335999	2213	267
Eclectica		1379977375431894	Facebook	rm1	Last month	HR	Croatia	1	1	999999	500000	4449	890
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	rm1	Last month	HR	Croatia	19	1	961980	303999	1859	0
European Greens		141366725876424	Facebook	rm1	Last month	HR	Croatia	15	1	885369	400226	4138	1082
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	rm1	Last month	HR	Croatia	11	1	614989	186000	1412	89
Bandić Milan 365 - Stranka rada i solidarnosti		350640391803012	Facebook	rm1	Last month	HR	Croatia	1	1	499996	199999	444	89
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	rm1	Last month	HR	Croatia	16	1	488317	136666	1402	0
Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	rm1	Last month	HR	Croatia	10	1	465989	152999	1237	89
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rm1	Last month	HR	Croatia	25	1	455621	116904	1003	19
Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	rm1	Last month	HR	Croatia	28	1	424971	131999	2695	0
Kialo		729627343834501	Facebook	rm1	Last month	HR	Croatia	148	1	375677	150870	1486	341
Nikolina Brnjac	HDZ - Hrvatska demokratska zajednica	287054392229717	Facebook	rm1	Last month	HR	Croatia	10	1	339990	80000	979	0
Nova ljevica	Markovina Dragan	706769699498076	Facebook	rm1	Last month	HR	Croatia	15	1	324985	80000	1677	89
Ruža Tomašić		1434305366791182	Facebook	rm1	Last month	HR	Croatia	8	1	319992	96999	737	0
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	rm1	Last month	HR	Croatia	3	1	299997	120000	264	0
Zoran Bahtijarević		2195720960680577	Facebook	rm1	Last month	HR	Croatia	4	1	299417	134709	811	142
Slobodna Dalmacija	Slobodna Dalmacija	100267330025110	Facebook	rm1	Last month	HR	Croatia	14	1	291985	60999	1385	0
Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	rm1	Last month	HR	Croatia	15	1	281984	103999	1732	89
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	rm1	Last month	HR	Croatia	17	1	268983	65000	1941	89
Goran Pauk	HDZ - Hrvatska demokratska zajednica	581489628528785	Facebook	rm1	Last month	HR	Croatia	4	1	259996	115000	1141	189
Ruža Kovačević Bilić	Hrvatska narodna stranka - liberalni demokrati (HNS)	2268602929863854	Facebook	rm1	Last month	HR	Croatia	6	1	210900	44981	582	0
Domagoj Maroević	HDZ - Hrvatska demokratska zajednica	377283356332665	Facebook	rm1	Last month	HR	Croatia	4	1	209996	75000	352	0
Stjepan Adanić	HDZ - Hrvatska demokratska zajednica	408695383042330	Facebook	rm1	Last month	HR	Croatia	6	1	205994	41000	572	0
Ladislav Ilčić	Ladislav Ilčić	621823571235813	Facebook	rm1	Last month	HR	Croatia	3	1	199997	70000	264	0
Sunčana Glavak	HDZ - Hrvatska demokratska zajednica	482597361772021	Facebook	rm1	Last month	HR	Croatia	9	1	199990	51999	869	0
Marijana Balić	HDZ - Hrvatska demokratska zajednica	1274752085892321	Facebook	rm1	Last month	HR	Croatia	8	1	184881	42977	703	0
Joško Klisović	Klisovic Josko	1262594650584725	Facebook	rm1	Last month	HR	Croatia	17	1	167981	35999	1682	0
HKS - Hrvatska konzervativna stranka	HKS - Hrvatska konzervativna stranka	789855157727222	Facebook	rm1	Last month	HR	Croatia	10	1	159990	43999	924	0
HDZ - Hrvatska demokratska zajednica	HDZ - Hrvatska demokratska zajednica	406059206159790	Facebook	rm1	Last month	HR	Croatia	4	1	154996	31000	396	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	rm1	Last month	HR	Croatia	13	1	142220	50987	626	22
Željana Zovko		1203134436474667	Facebook	rm1	Last month	HR	Croatia	7	1	139993	37000	616	0
BIOM	BIOM	138743669505642	Facebook	rm1	Last month	HR	Croatia	11	1	137901	29979	1088	0
Electrolux Hrvatska		1229501663771543	Facebook	rm1	Last month	HR	Croatia	2	1	133915	66958	91	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	rm1	Last month	HR	Croatia	4	1	130330	58704	233	46
Faktograf.hr	Faktograf.hr	1487935214842281	Facebook	rm1	Last month	HR	Croatia	13	1	122487	33499	1101	0
Hrvoje Zekanović	Hrvoje Zekanović	167619146997356	Facebook	rm1	Last month	HR	Croatia	3	1	100497	20000	220	0
Dubravka Suica	HDZ - Hrvatska demokratska zajednica	195096520662445	Facebook	rm1	Last month	HR	Croatia	2	1	99997	20000	187	0
Bulešić 4 EU		2550012408361701	Facebook	rm1	Last month	HR	Croatia	2	1	99862	19972	186	0
HNS Dubrovačko-neretvanske županije	Hrvatska narodna stranka - liberalni demokrati (HNS)	161469323948491	Facebook	rm1	Last month	HR	Croatia	3	1	69940	19971	296	0
Gong	Gong	135611546456409	Facebook	rm1	Last month	HR	Croatia	8	1	65990	30999	704	0
Model European Union Zagreb - MEUZ	Divea Studio	521874817895935	Facebook	rm1	Last month	HR	Croatia	4	1	61996	15000	396	0
Davor Škrlec	Zastupnik u Europskom parlamentu Davor Škrlec	1507744276110325	Facebook	rm1	Last month	HR	Croatia	2	1	59998	14999	187	0
Predrag Mišić	HKS - Hrvatska konzervativna stranka	301664597159836	Facebook	rm1	Last month	HR	Croatia	2	1	59998	15000	176	0
Dalija Orešković - START		1984286805018866	Facebook	rm1	Last month	HR	Croatia	6	1	58994	11000	594	0
