advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m35_44	male (35-44)	HU	Hungary	67	1	3391230	1580084	6777	3037
Fidesz	Fidesz	9844779306	Facebook	m35_44	male (35-44)	HU	Hungary	99	1	1759448	822900	5453	2665
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	m35_44	male (35-44)	HU	Hungary	83	1	1494608	610174	1293	410
European Parliament		178362315106	Facebook	m35_44	male (35-44)	HU	Hungary	90	1	1203378	540380	4166	1209
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	m35_44	male (35-44)	HU	Hungary	103	1	1099432	469139	2627	1046
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	m35_44	male (35-44)	HU	Hungary	64	1	1084550	472469	816	262
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	m35_44	male (35-44)	HU	Hungary	174	1	1022137	391095	2072	747
MSZP	MSZP	115388925185513	Facebook	m35_44	male (35-44)	HU	Hungary	99	1	579161	219967	856	309
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	m35_44	male (35-44)	HU	Hungary	27	1	481120	204095	931	432
Kialo		729627343834501	Facebook	m35_44	male (35-44)	HU	Hungary	304	1	442933	180383	2659	702
European Greens		141366725876424	Facebook	m35_44	male (35-44)	HU	Hungary	44	1	412109	189552	1662	396
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	m35_44	male (35-44)	HU	Hungary	59	1	398798	173395	665	242
Mi Hazánk Mozgalom	Mi Hazánk Mozgalom	620030171664750	Facebook	m35_44	male (35-44)	HU	Hungary	29	1	341050	130943	637	201
Vágó Gábor	LMP - Lehet Más a Politika	453253875264	Facebook	m35_44	male (35-44)	HU	Hungary	36	1	303584	133531	567	174
Jakab Péter	Országgyűlés Hivatala Jobbik Frakció	781150971947219	Facebook	m35_44	male (35-44)	HU	Hungary	17	1	289440	107878	535	200
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	m35_44	male (35-44)	HU	Hungary	33	1	270712	95405	826	322
Greenpeace Magyarország		35634348348	Facebook	m35_44	male (35-44)	HU	Hungary	96	1	253102	98078	837	32
Clear-Lights.net		275503246276066	Facebook	m35_44	male (35-44)	HU	Hungary	40	1	250040	89824	1626	177
Demeter Márta	LMP - Lehet Más a Politika	1372750529476614	Facebook	m35_44	male (35-44)	HU	Hungary	22	1	241769	96101	365	94
Dúró Dóra		191946490841225	Facebook	m35_44	male (35-44)	HU	Hungary	28	1	223152	85365	558	193
Ökopolisz Alapítvány	Ökopolisz Alapítvány	244669668913278	Facebook	m35_44	male (35-44)	HU	Hungary	16	1	188359	91168	495	232
Erepublik		26897053321	Facebook	m35_44	male (35-44)	HU	Hungary	4	1	165486	81109	818	160
Toroczkai László		151665991681369	Facebook	m35_44	male (35-44)	HU	Hungary	14	1	159069	71157	178	47
PestiSracok.hu	PestiSrácok.hu	264517713636590	Facebook	m35_44	male (35-44)	HU	Hungary	28	1	157061	36636	493	106
Bana Tibor	Országgyűlés Hivatala Jobbik Frakció	184890488198962	Facebook	m35_44	male (35-44)	HU	Hungary	32	1	155663	58491	183	73
