day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d137	2019-05-17	IT	Italy	3143	663	17691158	6427781	94273	8556
d136	2019-05-16	IT	Italy	3508	712	20306247	7170548	112592	9771
d135	2019-05-15	IT	Italy	3338	703	18712482	6536395	95855	9526
d134	2019-05-14	IT	Italy	3112	690	19015719	6864905	90472	10427
d133	2019-05-13	IT	Italy	2847	659	16512612	6029932	78748	9943
d132	2019-05-12	IT	Italy	2741	654	13349284	4909939	65327	7623
d131	2019-05-11	IT	Italy	2749	653	12023311	4345975	61360	6480
d130	2019-05-10	IT	Italy	2765	671	12516037	4429231	72391	7560
d129	2019-05-09	IT	Italy	2479	657	11486046	4065645	58424	5796
d128	2019-05-08	IT	Italy	2266	600	13015303	4746211	70345	10470
d127	2019-05-07	IT	Italy	2086	574	9822533	3551038	47037	5593
d126	2019-05-06	IT	Italy	1952	552	12151581	4641760	58714	8524
d125	2019-05-05	IT	Italy	1796	541	8687172	3186363	37181	4451
d124	2019-05-04	IT	Italy	1763	555	7907248	2829043	37543	4070
d123	2019-05-03	IT	Italy	1714	566	8498420	3111998	53691	7807
d122	2019-05-02	IT	Italy	1717	578	8106924	2945455	48646	6363
d121	2019-05-01	IT	Italy	1547	561	5011989	1695899	25088	2010
d120	2019-04-30	IT	Italy	1694	601	7203441	2747141	35840	4305
d119	2019-04-29	IT	Italy	1546	574	4961777	1806462	23327	2564
d118	2019-04-28	IT	Italy	1397	522	3756667	1381750	16460	1696
d117	2019-04-27	IT	Italy	1350	531	3858788	1472194	16738	1735
d116	2019-04-26	IT	Italy	1345	524	4396863	1712410	19384	3196
d115	2019-04-25	IT	Italy	1296	515	4598427	1743082	21078	2797
d114	2019-04-24	IT	Italy	1242	506	4435906	1645871	19286	3167
d113	2019-04-23	IT	Italy	1173	500	2939011	1041258	12875	1389
d112	2019-04-22	IT	Italy	1090	506	1811753	618536	8638	536
d111	2019-04-21	IT	Italy	1131	527	1790783	610753	8950	708
d110	2019-04-20	IT	Italy	1173	562	1742495	593087	9872	744
d109	2019-04-19	IT	Italy	1225	596	4330692	1759669	28144	4378
d108	2019-04-18	IT	Italy	1232	609	1723480	588734	10081	556
d107	2019-04-17	IT	Italy	1279	640	2094817	671666	12209	569
d106	2019-04-16	IT	Italy	1405	721	2445105	825439	15755	878
d105	2019-04-15	IT	Italy	1588	812	3161452	1051136	19946	903
d104	2019-04-14	IT	Italy	1560	809	3310271	1118178	17741	1101
d103	2019-04-13	IT	Italy	1641	875	4983937	1758015	26164	2228
d102	2019-04-12	IT	Italy	1843	915	6927266	2580383	35468	3915
d101	2019-04-11	IT	Italy	1733	906	5793742	2111491	37423	4373
d100	2019-04-10	IT	Italy	1649	899	4757581	1726217	29651	2785
d099	2019-04-09	IT	Italy	1622	870	4876297	1704084	28876	2774
d098	2019-04-08	IT	Italy	1566	840	4074003	1393203	22737	1580
d097	2019-04-07	IT	Italy	1456	803	4126461	1470041	18722	1650
d096	2019-04-06	IT	Italy	1501	827	4815775	1729639	21495	2012
d095	2019-04-05	IT	Italy	1565	844	6062632	2172322	32279	4063
d094	2019-04-04	IT	Italy	1500	827	5301604	1837638	30249	3131
d093	2019-04-03	IT	Italy	1374	756	4016458	1397983	21737	1707
d092	2019-04-02	IT	Italy	1312	716	3163998	1043425	19897	1207
d091	2019-04-01	IT	Italy	1271	699	3586071	1115938	19700	908
d090	2019-03-31	IT	Italy	1387	695	3441313	1175701	17312	1156
d089	2019-03-30	IT	Italy	1408	721	3413374	1150412	18232	1151
d088	2019-03-29	IT	Italy	1479	732	5954741	2311658	30875	3363
d087	2019-03-28	IT	Italy	1443	690	5579810	2065194	26273	2349
d086	2019-03-27	IT	Italy	1353	652	5379159	2160772	25330	2967
d085	2019-03-26	IT	Italy	1329	645	4509496	1651417	19967	1923
d084	2019-03-25	IT	Italy	1301	659	3675329	1293880	18592	1926
