advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alfred Sant	Alfred Sant	537789116260209	Facebook	w004	Week 4	MT	Malta	1	1	99996	49998	498	99
Josef Caruana		166617437361908	Facebook	w004	Week 4	MT	Malta	3	1	96855	26612	264	24
Roberta Metsola		406824526101449	Facebook	w004	Week 4	MT	Malta	13	1	73150	25881	1015	12
Frank Psaila		458318884361628	Facebook	w004	Week 4	MT	Malta	1	1	42850	8570	75	0
PD Martin Cauchi Inglott		181379916072401	Facebook	w004	Week 4	MT	Malta	2	1	16665	8333	165	0
Joe Sammut		433245190070343	Facebook	w004	Week 4	MT	Malta	3	1	12492	2499	247	0
Riformi		1930216103678232	Facebook	w004	Week 4	MT	Malta	1	1	9999	5000	99	0
		0	Facebook	w004	Week 4	MT	Malta	1	1	4998	999	98	0
Lorna Vassallo	Lorna Vassallo	690417757823946	Facebook	w004	Week 4	MT	Malta	1	1	3762	752	7	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	w004	Week 4	MT	Malta	3	1	773	356	3	0
Acacia Car Rentals		198061050534528	Facebook	w004	Week 4	MT	Malta	2	1	480	96	0	0
FT Transact		643057169228509	Facebook	w004	Week 4	MT	Malta	1	1	367	183	2	0
Flora & Fauna		303798486465804	Facebook	w004	Week 4	MT	Malta	4	1	365	157	3	0
TENCEL		164249401288	Facebook	w004	Week 4	MT	Malta	1	1	170	68	0	0
Treevotion		312276899356713	Facebook	w004	Week 4	MT	Malta	5	1	149	40	0	0
EIT InnoEnergy		344038838945608	Facebook	w004	Week 4	MT	Malta	4	1	90	38	0	0
Global Investments - Real Estate		743034529413104	Facebook	w004	Week 4	MT	Malta	1	1	84	16	0	0
Financial Times		8860325749	Facebook	w004	Week 4	MT	Malta	2	1	82	16	1	0
Soviet Visuals		1160495674016675	Facebook	w004	Week 4	MT	Malta	8	1	61	11	1	0
Orbex		1415953441956155	Facebook	w004	Week 4	MT	Malta	1	1	50	10	0	0
Le Monde		14892757589	Facebook	w004	Week 4	MT	Malta	5	1	50	20	0	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	w004	Week 4	MT	Malta	4	1	35	0	3	0
FT Content Solutions		1220981994590364	Facebook	w004	Week 4	MT	Malta	2	1	29	5	0	0
Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	w004	Week 4	MT	Malta	1	1	21	4	0	0
Andrew Zbik - Lane Cove - Labor		1599877663573922	Facebook	w004	Week 4	MT	Malta	2	1	21	2	0	0
OBV		78976852029	Facebook	w004	Week 4	MT	Malta	1	1	19	0	1	0
Banque mondiale		155174084508744	Facebook	w004	Week 4	MT	Malta	6	1	14	5	0	0
YOGA BURN		146316959083110	Facebook	w004	Week 4	MT	Malta	2	1	10	2	0	0
Wedonthavetime.org		1374925102519271	Facebook	w004	Week 4	MT	Malta	1	1	9	4	0	0
Circling Europe		503234379789523	Facebook	w004	Week 4	MT	Malta	1	1	8	1	0	0
International Growth Centre	London School of Economics and Political Science	121645431208100	Facebook	w004	Week 4	MT	Malta	1	1	7	1	0	0
OZY		1393911800825140	Facebook	w004	Week 4	MT	Malta	1	1	7	1	0	0
Milaap		315603771494	Facebook	w004	Week 4	MT	Malta	1	1	6	1	0	0
Radware		173342156042274	Facebook	w004	Week 4	MT	Malta	1	1	6	1	0	0
Best Shopping Deals		519091928553063	Facebook	w004	Week 4	MT	Malta	1	1	5	1	0	0
Joel Erway		248070895357097	Facebook	w004	Week 4	MT	Malta	1	1	4	0	0	0
Factlab		284903821711955	Facebook	w004	Week 4	MT	Malta	2	1	3	0	0	0
PLANADVISER		1825875921073929	Facebook	w004	Week 4	MT	Malta	1	1	3	1	0	0
Don Brown MP		567814099965388	Facebook	w004	Week 4	MT	Malta	1	1	3	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	w004	Week 4	MT	Malta	2	1	0	0	0	0
CleanChoice Energy		1270054533067724	Facebook	w004	Week 4	MT	Malta	1	1	0	0	0	0
