advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rw1	Last week	NL	Netherlands	25	1	4352598	1949483	28147	9212
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	rw1	Last week	NL	Netherlands	10	1	1978563	959999	7665	1557
Facebook	Facebook	726281677519881	Facebook	rw1	Last week	NL	Netherlands	5	1	1871330	935666	16377	7466
Henk Jan Ormel	CDA	823537391322678	Facebook	rw1	Last week	NL	Netherlands	25	1	1488000	561028	7069	1372
SP	SP	128393027527	Facebook	rw1	Last week	NL	Netherlands	45	1	1341602	504033	8239	1529
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	rw1	Last week	NL	Netherlands	34	1	1199962	497591	8928	2293
European Greens		141366725876424	Facebook	rw1	Last week	NL	Netherlands	17	1	1160863	486047	12344	2610
GroenLinks	GroenLinks	175740570505	Facebook	rw1	Last week	NL	Netherlands	42	1	1142513	425389	11464	2380
Oxfam Novib		115289021825188	Facebook	rw1	Last week	NL	Netherlands	33	1	969141	405514	16500	4633
Prove Them Wrong	Prove Them Wrong	435711596958375	Facebook	rw1	Last week	NL	Netherlands	28	1	960690	370831	3028	291
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	rw1	Last week	NL	Netherlands	10	1	805136	390358	3917	1211
VVD		121264564551002	Facebook	rw1	Last week	NL	Netherlands	13	1	797988	303999	3038	749
De Goede Zaak	DeGoedeZaak	264564577356897	Facebook	rw1	Last week	NL	Netherlands	12	1	636481	285951	2347	299
Malik Azmani	Malik Azmani	1734459723547461	Facebook	rw1	Last week	NL	Netherlands	53	1	524894	149611	5238	177
CDA	CDA	320374518118	Facebook	rw1	Last week	NL	Netherlands	5	1	522250	241800	3277	624
Europees Parlement Nederland		270788920480	Facebook	rw1	Last week	NL	Netherlands	7	1	300660	60000	1859	299
D66	D66	52985377549	Facebook	rw1	Last week	NL	Netherlands	7	1	293555	110923	1958	416
Jeroen Lenaers		316960281776479	Facebook	rw1	Last week	NL	Netherlands	13	1	216942	87106	1998	200
Jacques Michel Bloi - VVD #13 voor Europa	Bloi Jacques M	1435938086636544	Facebook	rw1	Last week	NL	Netherlands	4	1	188885	37777	374	0
Theo Alkemade	Alkemade Theodoor C W M	298059754467115	Facebook	rw1	Last week	NL	Netherlands	11	1	181989	70499	1739	169
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rw1	Last week	NL	Netherlands	34	1	161988	53592	1611	4
Ben & Jerry's		147006749798	Facebook	rw1	Last week	NL	Netherlands	4	1	128571	60714	821	185
VluchtelingenWerk Nederland		107872495911431	Facebook	rw1	Last week	NL	Netherlands	3	1	116664	23333	231	0
Daan Versteeg	Versteeg Daniel R	1010657719133321	Facebook	rw1	Last week	NL	Netherlands	39	1	113868	20205	3492	0
Bas Eickhout	GroenLinks	208578955894331	Facebook	rw1	Last week	NL	Netherlands	9	1	110312	51783	1314	499
