advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Romania #nuepsd	Future Innovation	293215748279337	Facebook	braila_county	Brăila County	RO	Romania	14	1	117680	47251	49	24
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	braila_county	Brăila County	RO	Romania	218	1	74891	36605	243	49
PNL Brăila	Purice Marian	789998757706140	Facebook	braila_county	Brăila County	RO	Romania	11	1	71853	14880	123	21
România în primul rând	Future Innovation	770704223323599	Facebook	braila_county	Brăila County	RO	Romania	65	1	66474	28474	143	33
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	braila_county	Brăila County	RO	Romania	5	1	52086	26043	273	54
Antoneta Ioniță		560400854158794	Facebook	braila_county	Brăila County	RO	Romania	2	1	14998	6000	41	0
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	braila_county	Brăila County	RO	Romania	90	1	12611	5715	27	8
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	braila_county	Brăila County	RO	Romania	133	1	11392	4835	18	5
Shopping City Galati		301080780030438	Facebook	braila_county	Brăila County	RO	Romania	1	1	9804	1960	19	0
Calin Popescu Tariceanu		227922987222524	Facebook	braila_county	Brăila County	RO	Romania	8	1	8287	1789	18	3
Cătălin Boboc		377148845785636	Facebook	braila_county	Brăila County	RO	Romania	1	1	7475	1495	15	3
George Simion Unire		294035851052538	Facebook	braila_county	Brăila County	RO	Romania	17	1	5123	1042	20	0
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	braila_county	Brăila County	RO	Romania	82	1	3908	1768	13	3
Partidul Mișcarea Populară Brăila		439980729422420	Facebook	braila_county	Brăila County	RO	Romania	1	1	3210	642	13	0
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	braila_county	Brăila County	RO	Romania	40	1	3097	1408	4	1
European Parliament		178362315106	Facebook	braila_county	Brăila County	RO	Romania	92	1	2793	1300	13	2
Corina Cretu	Corina Cretu	200813406761691	Facebook	braila_county	Brăila County	RO	Romania	27	1	2704	1141	7	0
Litere.net	litere.net	1504323906337545	Facebook	braila_county	Brăila County	RO	Romania	12	1	1752	823	1	0
ALDE BACĂU - Partidul Alianța Liberalilor și Democraților	Partidul Alianța Liberalilor și Democraților - ALDE	535445976897124	Facebook	braila_county	Brăila County	RO	Romania	11	1	1605	526	4	1
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	braila_county	Brăila County	RO	Romania	37	1	1529	709	4	1
European Commission		107898832590939	Facebook	braila_county	Brăila County	RO	Romania	11	1	1353	672	3	0
Departamentul Fonduri Europene al PSD	Partidul Social Democrat	1030472763816931	Facebook	braila_county	Brăila County	RO	Romania	7	1	1084	499	0	0
Politice.net	politice.net	2546711162025064	Facebook	braila_county	Brăila County	RO	Romania	12	1	993	463	0	0
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	braila_county	Brăila County	RO	Romania	14	1	884	349	0	0
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare		2006803969624108	Facebook	braila_county	Brăila County	RO	Romania	6	1	869	413	0	0
Traian Băsescu	Partidul Mișcarea Populară	361235817223309	Facebook	braila_county	Brăila County	RO	Romania	16	1	844	341	0	0
George Simion	George Simion	2212856535602171	Facebook	braila_county	Brăila County	RO	Romania	14	1	781	341	1	0
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	braila_county	Brăila County	RO	Romania	22	1	735	345	0	0
Video News		329122497569429	Facebook	braila_county	Brăila County	RO	Romania	4	1	524	216	0	0
Silvia Dinică		1128229287275038	Facebook	braila_county	Brăila County	RO	Romania	19	1	494	189	0	0
Siegfried Muresan		731035500293728	Facebook	braila_county	Brăila County	RO	Romania	5	1	457	183	0	0
Rares Bogdan		204397909629079	Facebook	braila_county	Brăila County	RO	Romania	14	1	382	157	0	0
WWF-Romania		189728367297	Facebook	braila_county	Brăila County	RO	Romania	2	1	379	148	0	0
Gregoriana Tudoran		1985293741779690	Facebook	braila_county	Brăila County	RO	Romania	24	1	378	114	0	0
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	braila_county	Brăila County	RO	Romania	4	1	375	187	0	0
Aresel		292847028010932	Facebook	braila_county	Brăila County	RO	Romania	8	1	373	147	0	0
Râsu Plânsu		1769713886444816	Facebook	braila_county	Brăila County	RO	Romania	2	1	345	153	0	0
Consiliul Național PSD	Partidul Social Democrat	428923027871330	Facebook	braila_county	Brăila County	RO	Romania	4	1	337	147	1	0
Eco friendly home		547824632336134	Facebook	braila_county	Brăila County	RO	Romania	3	1	330	151	0	0
Departamentul pentru Comunicații și Societate Informațională al PSD	Partidul Social Democrat	346281832652995	Facebook	braila_county	Brăila County	RO	Romania	2	1	291	121	0	0
Stiri.Obiective		569692119874171	Facebook	braila_county	Brăila County	RO	Romania	1	1	290	116	0	0
PRO România Galați		594140750966248	Facebook	braila_county	Brăila County	RO	Romania	1	1	281	56	1	0
USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	braila_county	Brăila County	RO	Romania	40	1	276	60	0	0
Departamentul pentru Turism - Partidul Social Democrat		339973510194748	Facebook	braila_county	Brăila County	RO	Romania	2	1	276	138	0	0
Ionel Dancă		227578001357165	Facebook	braila_county	Brăila County	RO	Romania	8	1	274	86	0	0
Departamentul pentru Afaceri Interne PSD	Partidul Social Democrat	797044747344438	Facebook	braila_county	Brăila County	RO	Romania	3	1	263	130	0	0
Ovidiu-Iosif Gal, candidat independent pentru Parlamentul European		354404288474557	Facebook	braila_county	Brăila County	RO	Romania	6	1	253	106	0	0
Departamentul pentru Mediul de Afaceri, Comerţ şi Antreprenoriat al PSD	Partidul Social Democrat	1238111743018265	Facebook	braila_county	Brăila County	RO	Romania	3	1	240	98	0	0
Daniel Buda	Buda Daniel	220579784732993	Facebook	braila_county	Brăila County	RO	Romania	41	1	236	60	0	0
European Greens		141366725876424	Facebook	braila_county	Brăila County	RO	Romania	18	1	225	110	0	0
Fara Ipocriti		766417387050905	Facebook	braila_county	Brăila County	RO	Romania	1	1	224	112	0	0
G4 Media		425074431631411	Facebook	braila_county	Brăila County	RO	Romania	3	1	223	86	0	0
Administraţie Liberală		2159559831039746	Facebook	braila_county	Brăila County	RO	Romania	2	1	201	100	0	0
Partidul Social Democrat-Departamentul pentru Infrastructura si Transport	Partidul Social Democrat	390855171647188	Facebook	braila_county	Brăila County	RO	Romania	1	1	200	100	0	0
Greenpeace Romania		291132089193	Facebook	braila_county	Brăila County	RO	Romania	31	1	195	74	0	0
Departamentul pentru Muncă și Justiție Socială	Partidul Social Democrat	1975738806067717	Facebook	braila_county	Brăila County	RO	Romania	2	1	194	77	0	0
Grupul sustinatorilor Antena 3		413428396067521	Facebook	braila_county	Brăila County	RO	Romania	4	1	191	87	0	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	braila_county	Brăila County	RO	Romania	49	1	189	85	0	0
Razvan Popa		128861244581738	Facebook	braila_county	Brăila County	RO	Romania	45	1	189	61	0	0
Dan Barna	Uniunea Salvați România - USR	207255636351408	Facebook	braila_county	Brăila County	RO	Romania	9	1	183	72	0	0
Partidul Mișcarea Populară	Partidul Mișcarea Populară	581911828514783	Facebook	braila_county	Brăila County	RO	Romania	9	1	171	67	0	0
Mircea Draghici		1149297625184695	Facebook	braila_county	Brăila County	RO	Romania	1	1	171	85	0	0
Departamentul pentru Educatie Nationala	 Partidul Social Democrat	2330908257186424	Facebook	braila_county	Brăila County	RO	Romania	2	1	163	81	0	0
Declic	Declic	686190454826244	Facebook	braila_county	Brăila County	RO	Romania	10	1	162	60	0	0
B1.tv		425911761553777	Facebook	braila_county	Brăila County	RO	Romania	3	1	155	58	0	0
PNL Prahova		148993498505135	Facebook	braila_county	Brăila County	RO	Romania	15	1	146	44	0	0
Norica Nicolai	Increase Digital	121265151226126	Facebook	braila_county	Brăila County	RO	Romania	14	1	137	27	0	0
Mihai Goţiu	Uniunea Salvați România	602280189818804	Facebook	braila_county	Brăila County	RO	Romania	13	1	136	28	0	0
România Politică		1719567741620517	Facebook	braila_county	Brăila County	RO	Romania	1	1	133	66	0	0
Departamentul pentru Tineret și Sport PSD	Partidul Social Democrat	2077524885664207	Facebook	braila_county	Brăila County	RO	Romania	4	1	128	63	0	0
Eugen Tomac	Partidul Mișcarea Populară	494469087244449	Facebook	braila_county	Brăila County	RO	Romania	8	1	127	42	0	0
Alexandru Kocsis		509479962851716	Facebook	braila_county	Brăila County	RO	Romania	3	1	121	54	0	0
PNL Bucuresti		678840505584990	Facebook	braila_county	Brăila County	RO	Romania	8	1	117	48	0	0
Naomi Reniuț-Ursoiu	Uniunea Salvați România	708334336169853	Facebook	braila_county	Brăila County	RO	Romania	22	1	116	26	0	0
