advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Rädda Barnen		72659261793	Facebook	m35_44	male (35-44)	SE	Sweden	252	1	1092881	267728	7219	1860
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	m35_44	male (35-44)	SE	Sweden	51	1	779043	240955	9621	2511
Centerpartiet	Centerpartiet	12690894340	Facebook	m35_44	male (35-44)	SE	Sweden	190	1	558014	203830	7437	1792
Facebook Nordic	Facebook	334318366655425	Facebook	m35_44	male (35-44)	SE	Sweden	5	1	501232	249036	2306	464
EU-kommissionen i Sverige		155824787799	Facebook	m35_44	male (35-44)	SE	Sweden	19	1	484808	236746	2065	512
Moderaterna	Moderaterna	7719591155	Facebook	m35_44	male (35-44)	SE	Sweden	161	1	462093	118202	4372	1102
European Commission		107898832590939	Facebook	m35_44	male (35-44)	SE	Sweden	7	1	413020	197025	2089	499
Vattenfall Sverige		608975645850217	Facebook	m35_44	male (35-44)	SE	Sweden	28	1	394468	183305	4739	1466
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	m35_44	male (35-44)	SE	Sweden	35	1	386268	165653	3970	959
Plan International Sverige		382243262003	Facebook	m35_44	male (35-44)	SE	Sweden	314	1	355821	130463	2889	695
Håll Sverige Rent	Håll Sverige Rent	236879092476	Facebook	m35_44	male (35-44)	SE	Sweden	14	1	348294	150213	2655	584
Fotografiska Stockholm		142320852554	Facebook	m35_44	male (35-44)	SE	Sweden	10	1	299042	130684	214	49
Liberalerna	Liberalerna	132266740623	Facebook	m35_44	male (35-44)	SE	Sweden	95	1	287503	111016	1871	543
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	m35_44	male (35-44)	SE	Sweden	59	1	280975	101432	1895	511
European Greens		141366725876424	Facebook	m35_44	male (35-44)	SE	Sweden	43	1	264731	114970	2893	746
Skandia		139767876088719	Facebook	m35_44	male (35-44)	SE	Sweden	3	1	262920	124280	1017	288
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	m35_44	male (35-44)	SE	Sweden	87	1	259728	62504	2300	566
European Parliament		178362315106	Facebook	m35_44	male (35-44)	SE	Sweden	89	1	238582	98067	2791	641
Kristdemokraterna Stockholm	Kristdemokraterna Stockholm	176875999028086	Facebook	m35_44	male (35-44)	SE	Sweden	111	1	215558	62979	1726	490
Sverige för UNHCR		643137272398136	Facebook	m35_44	male (35-44)	SE	Sweden	78	1	206896	66432	1305	313
Jörgen Warborn EU-kandidat		56002955332	Facebook	m35_44	male (35-44)	SE	Sweden	97	1	185519	47727	2018	511
Kialo		729627343834501	Facebook	m35_44	male (35-44)	SE	Sweden	354	1	167520	65579	1262	343
Saco	Saco	133910158381	Facebook	m35_44	male (35-44)	SE	Sweden	41	1	166519	34332	868	224
Sara Skyttedal	Sara Skyttedal	249195615122371	Facebook	m35_44	male (35-44)	SE	Sweden	43	1	166397	41254	1400	368
LO Sverige		163820136238	Facebook	m35_44	male (35-44)	SE	Sweden	5	1	163522	66827	1711	342
