advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	d023	2019-01-23	UK	United Kingdom	81	1	394892	86422	3960	817
We are the 52%	We are the 52%	466744973727718	Facebook	d023	2019-01-23	UK	United Kingdom	20	1	345028	131271	982	142
People's Vote UK	People's Vote	748608695327755	Facebook	d023	2019-01-23	UK	United Kingdom	228	1	258719	47601	9423	439
Conservatives	The Conservative Party	8807334278	Facebook	d023	2019-01-23	UK	United Kingdom	139	1	126491	52057	998	133
Nick4Mayor	Nick Forbes for North of Tyne Mayor Campaign	1223209701167500	Facebook	d023	2019-01-23	UK	United Kingdom	2	1	99997	20000	229	0
Best For Britain	Best for Britain	1863944713844924	Facebook	d023	2019-01-23	UK	United Kingdom	30	1	80773	37111	719	259
38 Degrees	38 Degrees	200006375787	Facebook	d023	2019-01-23	UK	United Kingdom	12	1	74877	36494	436	59
London Labour Party	The London Labour Party 	474613052643462	Facebook	d023	2019-01-23	UK	United Kingdom	6	1	62548	26941	203	60
NT Live	NT Live	107334993856	Facebook	d023	2019-01-23	UK	United Kingdom	66	1	43245	13312	566	28
Simple Politics		1052029294841900	Facebook	d023	2019-01-23	UK	United Kingdom	2	1	32791	13116	75	37
Bournemouth Green Party	South East Dorset Green Party	140064492697345	Facebook	d023	2019-01-23	UK	United Kingdom	4	1	30665	6083	239	28
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	d023	2019-01-23	UK	United Kingdom	2	1	25999	5200	80	0
Rory Palmer MEP	Rory Palmer MEP (Labour Member of the European Parliament for the East Midlands, UK) 	1832404216799553	Facebook	d023	2019-01-23	UK	United Kingdom	1	1	24999	5000	57	0
Plaid Cymru	Plaid Cymru	26416930992	Facebook	d023	2019-01-23	UK	United Kingdom	3	1	23941	9889	58	22
Oxfam Great Britain	Oxfam GB	7214031395	Facebook	d023	2019-01-23	UK	United Kingdom	5	1	16749	6944	186	35
Cheltenham Liberal Democrats	Cheltenham Liberal Democrats	176267409201041	Facebook	d023	2019-01-23	UK	United Kingdom	1	1	16666	3333	38	0
LGBT+ for a People's Vote		287716388719375	Facebook	d023	2019-01-23	UK	United Kingdom	1	1	16666	3333	38	0
Our Future, Our Choice	Our Future, Our Choice	1777176712575796	Facebook	d023	2019-01-23	UK	United Kingdom	8	1	16663	3333	381	0
Sheffield City Region Mayor	Sheffield City Region Mayoral Combined Authority	2064459193832465	Facebook	d023	2019-01-23	UK	United Kingdom	6	1	14128	2825	74	10
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	d023	2019-01-23	UK	United Kingdom	37	1	13216	5342	72	5
Now Brexit	donors to NowBrexit	292444058229546	Facebook	d023	2019-01-23	UK	United Kingdom	1	1	12499	2500	28	0
Holborn Studios	Holborn Studios Ltd	150159499911	Facebook	d023	2019-01-23	UK	United Kingdom	2	1	12499	2500	144	28
Scientists for EU	Scientists for EU	642444842524195	Facebook	d023	2019-01-23	UK	United Kingdom	1	1	12195	4878	141	28
Studyintheuk		170953716896026	Facebook	d023	2019-01-23	UK	United Kingdom	18	1	10899	2499	176	24
Office of the Police and Crime Commissioner for Gloucestershire	Gloucestershire's Office of the Police and Crime Commissioner	748480935192911	Facebook	d023	2019-01-23	UK	United Kingdom	1	1	9999	2000	115	23
