advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partito Democratico	Partito Democratico	77034286895	Facebook	u	unknown	IT	Italy	204	1	88173	38326	326	75
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	u	unknown	IT	Italy	96	1	69763	29243	243	39
Kialo		729627343834501	Facebook	u	unknown	IT	Italy	393	1	65629	26357	370	88
European Greens		141366725876424	Facebook	u	unknown	IT	Italy	53	1	50741	22855	257	59
Save the Children Italia		46590675335	Facebook	u	unknown	IT	Italy	29	1	44584	18910	167	47
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	u	unknown	IT	Italy	369	1	43979	17864	212	40
Medici Senza Frontiere		65737832194	Facebook	u	unknown	IT	Italy	25	1	42277	17807	172	56
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	u	unknown	IT	Italy	64	1	34703	14578	96	25
European Parliament		178362315106	Facebook	u	unknown	IT	Italy	190	1	33515	13427	134	18
WeWorld Onlus		299584710061488	Facebook	u	unknown	IT	Italy	170	1	33363	12556	220	32
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	u	unknown	IT	Italy	34	1	28135	12878	77	20
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	u	unknown	IT	Italy	85	1	19033	7538	116	26
Oxfam Italia		150200761667597	Facebook	u	unknown	IT	Italy	139	1	16635	5076	141	13
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u	unknown	IT	Italy	74	1	16181	6835	44	9
Petizioni.it		1410474395723679	Facebook	u	unknown	IT	Italy	32	1	15115	6878	94	20
Roberto Rosso	Roberto Rosso	1735684256653359	Facebook	u	unknown	IT	Italy	52	1	14430	6264	82	20
CIWF Italia		576664002355828	Facebook	u	unknown	IT	Italy	25	1	12632	5328	95	22
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	u	unknown	IT	Italy	49	1	11065	4698	33	8
Lara Comi	Lara Comi	155619044465389	Facebook	u	unknown	IT	Italy	94	1	10354	3064	36	6
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	u	unknown	IT	Italy	53	1	9888	4426	19	4
Amref Health Africa - Italia		48677844864	Facebook	u	unknown	IT	Italy	30	1	9482	3555	61	4
Treedom		316091912308	Facebook	u	unknown	IT	Italy	34	1	9213	3294	31	2
Capire il cambiamento climatico		340472676679938	Facebook	u	unknown	IT	Italy	10	1	9212	4278	36	8
Fabrizio Marrazzo		174478206566341	Facebook	u	unknown	IT	Italy	50	1	9204	2830	38	3
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	u	unknown	IT	Italy	59	1	8693	3886	42	8
